osmid,highway,maxspeed,oneway,reversed,length,ref,name,geometry,bridge
174069983,residential,30,False,True,210.206,,,"LINESTRING (79.8630807 7.4098124, 79.8629822 7.4117003)",
303102305,secondary,50,False,False,123.30199999999999,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8630807 7.4098124, 79.863678 7.40984, 79.8638742 7.4099643, 79.8640601 7.4101817)",
303102305,secondary,50,False,True,98.394,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8630807 7.4098124, 79.8629466 7.4098084, 79.8621886 7.4098245)",
48598816,secondary,50,False,True,134.904,B419,Thoppuwa-Nattandiya-Madampe Road,"LINESTRING (79.8653237 7.4117537, 79.8650343 7.4124306, 79.8648503 7.4128724)",
"[303102305, 309103978, 187055746]",secondary,50,False,False,116.227,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8653237 7.4117537, 79.865444 7.4118098, 79.8658495 7.4119469, 79.8660974 7.4120043, 79.8662737 7.4120585, 79.8663253 7.4120727)",yes
303102305,secondary,50,False,True,223.575,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8653237 7.4117537, 79.8647083 7.4110175, 79.8643548 7.4105664, 79.8640601 7.4101817)",
174050890,residential,30,False,False,287.63800000000003,,,"LINESTRING (79.8640601 7.4101817, 79.8637482 7.4108022, 79.8634655 7.4114568, 79.8634288 7.4115416, 79.8634174 7.4116323, 79.863449 7.4117091, 79.863516 7.41183, 79.8634935 7.412066, 79.8633578 7.4125887)",
303102305,secondary,50,False,False,223.575,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8640601 7.4101817, 79.8643548 7.4105664, 79.8647083 7.4110175, 79.8653237 7.4117537)",
303102305,secondary,50,False,True,123.30199999999999,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8640601 7.4101817, 79.8638742 7.4099643, 79.863678 7.40984, 79.8630807 7.4098124)",
"[174050890, 600425908]",residential,30,False,"[False, True]",194.769,,,"LINESTRING (79.8633578 7.4125887, 79.8635891 7.4127769, 79.8638895 7.413011, 79.863997 7.4130832, 79.8640836 7.4131185, 79.8642354 7.4131719, 79.8642848 7.4131838, 79.8643248 7.4131782, 79.8643998 7.4131314, 79.8648503 7.4128724)",
174050890,residential,30,False,True,287.63800000000003,,,"LINESTRING (79.8633578 7.4125887, 79.8634935 7.412066, 79.863516 7.41183, 79.863449 7.4117091, 79.8634174 7.4116323, 79.8634288 7.4115416, 79.8634655 7.4114568, 79.8637482 7.4108022, 79.8640601 7.4101817)",
600257336,residential,,False,False,141.18800000000002,,,"LINESTRING (79.8633578 7.4125887, 79.8630283 7.4125111, 79.862726 7.4124204, 79.8626766 7.4124103, 79.8626387 7.4124436, 79.8624308 7.4129215)",
174069963,residential,30,False,True,383.599,,Ambagahawadiya Road,"LINESTRING (79.8663253 7.4120727, 79.8662176 7.4117077, 79.8659341 7.4108364, 79.865603 7.4101286, 79.8652365 7.4094317, 79.8650239 7.4088831)",
"[303102305, 187055746, 309103978]",secondary,50,False,True,116.22700000000002,B272,Marawila-Udubeddawa Road,"LINESTRING (79.8663253 7.4120727, 79.8662737 7.4120585, 79.8660974 7.4120043, 79.8658495 7.4119469, 79.865444 7.4118098, 79.8653237 7.4117537)",yes
174069981,residential,30,False,True,9.703,,,"LINESTRING (79.8629078 7.4159969, 79.8628777 7.4159149)",
