osmid,highway,oneway,reversed,length,ref,geometry,name,bridge,junction
688881833,unclassified,False,False,65.039,,"LINESTRING (26.9792602 -16.8151481, 26.9786961 -16.8153729)",,,
1030280507,tertiary,False,False,6.506,D356,"LINESTRING (26.9792602 -16.8151481, 26.9792297 -16.8150974)",,,
1030280507,tertiary,False,True,111.55799999999999,D356,"LINESTRING (26.9792602 -16.8151481, 26.9795928 -16.815678, 26.979798 -16.8160092)",,,
254033634,unclassified,False,True,18.594,,"LINESTRING (26.9811814 -16.8182686, 26.9810227 -16.8183385)",,,
1030280507,tertiary,False,False,105.226,D356,"LINESTRING (26.9811814 -16.8182686, 26.9807001 -16.8174776, 26.9806838 -16.8174509)",,,
416392724,residential,False,True,64.956,,"LINESTRING (26.9766652 -16.8161914, 26.9768805 -16.816738)",,,
688881833,unclassified,False,True,234.548,,"LINESTRING (26.9766652 -16.8161914, 26.9786961 -16.8153729)",,,
688881833,unclassified,False,False,223.944,,"LINESTRING (26.9766652 -16.8161914, 26.9760396 -16.8164406, 26.975361 -16.8167057, 26.9752698 -16.816748, 26.9751819 -16.8168032, 26.9751182 -16.8168687, 26.9750827 -16.8169232, 26.9750378 -16.8170029, 26.9750042 -16.8170921, 26.974996 -16.8171198, 26.9749903 -16.8171505, 26.9749799 -16.8172168)",,,
79262623,trunk,False,False,72.195,T1,"LINESTRING (26.9781632 -16.8134192, 26.9782953 -16.8133381, 26.9785801 -16.8131582, 26.9787351 -16.8130704)",Livingstone Road,,
79262623,trunk,False,True,64.00999999999999,T1,"LINESTRING (26.9781632 -16.8134192, 26.9779184 -16.8135636, 26.9777796 -16.8136477, 26.9776538 -16.8137251)",Livingstone Road,,
1030280507,tertiary,False,True,163.756,D356,"LINESTRING (26.9781632 -16.8134192, 26.978528 -16.8139802, 26.9788244 -16.8144456, 26.9789719 -16.814672)",,,
254033627,unclassified,False,False,12.66,,"LINESTRING (26.9749799 -16.8172168, 26.9748614 -16.817207)",,,
688881833,unclassified,False,True,223.944,,"LINESTRING (26.9749799 -16.8172168, 26.9749903 -16.8171505, 26.974996 -16.8171198, 26.9750042 -16.8170921, 26.9750378 -16.8170029, 26.9750827 -16.8169232, 26.9751182 -16.8168687, 26.9751819 -16.8168032, 26.9752698 -16.816748, 26.975361 -16.8167057, 26.9760396 -16.8164406, 26.9766652 -16.8161914)",,,
