osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,access,tunnel,ref
642233130,tertiary,50,roundabout,True,False,13.972999999999999,"LINESTRING (6.0755427 46.2323982, 6.0755258 46.2323846, 6.0755139 46.2323686, 6.0755077 46.2323512, 6.0755074 46.2323332, 6.0755131 46.2323157, 6.0755245 46.2322996, 6.0755409 46.2322857)",,,,,
7974656,tertiary,50,roundabout,True,False,13.793,"LINESTRING (6.075696 46.2322852, 6.0757147 46.2323013, 6.0757266 46.2323203, 6.0757308 46.2323407, 6.075727 46.2323612, 6.0757156 46.2323803, 6.0756972 46.2323967)",,,,,
7974656,tertiary,50,roundabout,True,False,13.078000000000001,"LINESTRING (6.0756972 46.2323967, 6.0756746 46.2324085, 6.0756485 46.2324161, 6.0756204 46.2324188, 6.0755923 46.2324166, 6.0755658 46.2324096, 6.0755427 46.2323982)",,,,,
"[353259510, 353259511]",tertiary,"['40', '50']",,False,False,188.132,"LINESTRING (6.073004 46.2303022, 6.072756 46.2300512, 6.0726785 46.2299805, 6.0725777 46.2298972, 6.0724676 46.2298189, 6.0723469 46.2297438, 6.0723083 46.2297216, 6.0722129 46.22967, 6.0721759 46.2296487, 6.0720429 46.2295667, 6.0718903 46.2294554, 6.0717612 46.2293565, 6.0715999 46.229227, 6.0715395 46.2291737, 6.0714908 46.2291178, 6.0714329 46.2290225)",2,Avenue de Vaudagne,,,
353259510,tertiary,40,,False,True,29.613,"LINESTRING (6.073004 46.2303022, 6.0731119 46.2304078, 6.0732317 46.2305169)",2,Avenue de Vaudagne,,,
918371461,residential,,,False,False,57.721,"LINESTRING (6.073004 46.2303022, 6.0729165 46.2303484, 6.0724166 46.2306252)",,Parc des Arbères,,,
"[186613305, 621126332]",tertiary,50,,False,True,82.429,"LINESTRING (6.0714329 46.2290225, 6.0715379 46.228986, 6.0717033 46.2289323, 6.0717735 46.2289126, 6.0719674 46.2288605, 6.0721088 46.2288225, 6.0723268 46.2287638, 6.0723563 46.2287559, 6.0723765 46.2287505, 6.0724221 46.2287387)",2,Route de Meyrin,,,
"[353259510, 353259511]",tertiary,"['40', '50']",,False,True,188.132,"LINESTRING (6.0714329 46.2290225, 6.0714908 46.2291178, 6.0715395 46.2291737, 6.0715999 46.229227, 6.0717612 46.2293565, 6.0718903 46.2294554, 6.0720429 46.2295667, 6.0721759 46.2296487, 6.0722129 46.22967, 6.0723083 46.2297216, 6.0723469 46.2297438, 6.0724676 46.2298189, 6.0725777 46.2298972, 6.0726785 46.2299805, 6.072756 46.2300512, 6.073004 46.2303022)",2,Avenue de Vaudagne,,,
"[813436377, 621126331]",tertiary,50,,True,False,173.844,"LINESTRING (6.0714329 46.2290225, 6.0713698 46.2290455, 6.0712201 46.2291082, 6.0711815 46.2291243, 6.0711342 46.2291424, 6.0709422 46.2291963, 6.0704377 46.2293285, 6.0701326 46.2294086, 6.0699607 46.2294563, 6.0694921 46.2295764, 6.0693376 46.2295941)",1,Route de Meyrin,,,
176646152,residential,30,,False,True,225.6,"LINESTRING (6.0732317 46.2305169, 6.0732837 46.2304877, 6.0738332 46.2301795, 6.074042 46.2300597, 6.074475 46.229815, 6.0750023 46.2296126, 6.0752912 46.2295261, 6.0754633 46.2294799, 6.0756094 46.2294533, 6.0756815 46.2294401)",,Rue de la Campagne-Charnaux,,,
353259510,tertiary,40,,False,False,29.613,"LINESTRING (6.0732317 46.2305169, 6.0731119 46.2304078, 6.073004 46.2303022)",2,Avenue de Vaudagne,,,
"[37090444, 353259510]",tertiary,"['40', '50']",,False,True,265.653,"LINESTRING (6.0732317 46.2305169, 6.0735076 46.2307878, 6.0735859 46.2308602, 6.0737913 46.2310399, 6.0739378 46.2311669, 6.0740576 46.2312589, 6.0745521 46.2315987, 6.0748843 46.2318421, 6.0750528 46.2319576, 6.0754567 46.2322345, 6.0755409 46.2322857)",2,Avenue de Vaudagne,,,
7974764,residential,30,,False,False,71.28399999999999,"LINESTRING (6.0709731 46.2283056, 6.0710728 46.2282645, 6.0711184 46.2282386, 6.0711636 46.228203, 6.0712633 46.2281275, 6.0713968 46.2280289, 6.0715523 46.2279124, 6.0716254 46.2278548)",,Chemin du Grand-Puits,,,
27256761,residential,30,,False,False,69.404,"LINESTRING (6.0709731 46.2283056, 6.0708754 46.2283465, 6.0706258 46.2284612, 6.070476 46.2285512, 6.070363 46.2286232, 6.0703367 46.2286422, 6.0702689 46.2286915)",,Chemin du Bournoud,,,
61043864,residential,30,,False,False,418.934,"LINESTRING (6.0709731 46.2283056, 6.0709126 46.2282469, 6.0708728 46.2282038, 6.0708379 46.2281499, 6.0707249 46.2279754, 6.0706195 46.2278061, 6.070523 46.2276517, 6.0704822 46.2275934, 6.0704412 46.2275348, 6.07035 46.2274226, 6.0702588 46.2273279, 6.0700156 46.2270909, 6.069766 46.2268433, 6.0696553 46.2267346, 6.0695158 46.2266238, 6.0694581 46.2265709, 6.0694253 46.2265175, 6.0693991 46.226479, 6.0693321 46.2264145, 6.0691054 46.2262146, 6.068972 46.2260684, 6.0689063 46.2260045, 6.0687692 46.2258705, 6.0687015 46.2258069, 6.0684469 46.2255494, 6.0681733 46.225258, 6.0681623 46.2252445, 6.0680723 46.2251339)",,Rue Virginio-Malnati,,,
644437401,living_street,,,False,True,74.16499999999999,"LINESTRING (6.0709731 46.2283056, 6.0710319 46.2283895, 6.0711992 46.2286389, 6.0713884 46.2289075)",,Chemin Virgilio Malnati,,,
7974764,residential,30,,False,True,71.284,"LINESTRING (6.0716254 46.2278548, 6.0715523 46.2279124, 6.0713968 46.2280289, 6.0712633 46.2281275, 6.0711636 46.228203, 6.0711184 46.2282386, 6.0710728 46.2282645, 6.0709731 46.2283056)",,Chemin du Grand-Puits,,,
"[698027621, 353644145, 7974821]",residential,30,,False,False,118.77000000000001,"LINESTRING (6.0716254 46.2278548, 6.0717447 46.2279291, 6.0719533 46.2280624, 6.0720548 46.2281249, 6.0720743 46.2281355, 6.072103 46.2281843, 6.0722345 46.2284074, 6.0723214 46.2285601, 6.072383 46.2286713, 6.0723976 46.2286961, 6.0724151 46.2287256, 6.0724221 46.2287387)",,Chemin Antoine-Verchère,,,
72216065,residential,30,,False,False,172.16799999999998,"LINESTRING (6.0716254 46.2278548, 6.0716743 46.2278122, 6.0717326 46.2277567, 6.0717554 46.2277315, 6.0718057 46.2276796, 6.071846 46.227629, 6.0718761 46.2275789, 6.0719009 46.2275163, 6.0719103 46.2274611, 6.0719177 46.2273998, 6.0719172 46.2273475, 6.071911 46.2272945, 6.0718969 46.227225, 6.071858 46.2271178, 6.071801 46.2270055, 6.0717776 46.2269462, 6.0717595 46.226877, 6.0717494 46.2268135, 6.0717548 46.2267564, 6.0717621 46.2267059, 6.0717769 46.2266451, 6.071795 46.2266015, 6.0718191 46.2265574, 6.0718641 46.2264953, 6.0719003 46.2264586, 6.0719586 46.2264113)",,Chemin du Grand-Puits,,,
160615279,tertiary,50,,False,True,253.59300000000002,"LINESTRING (6.0724221 46.2287387, 6.0725112 46.2287147, 6.0729774 46.2285889, 6.073428 46.2284677, 6.0740528 46.2282997, 6.0741194 46.2282818, 6.0754946 46.227912)",2,Route de Meyrin,,,
"[353644145, 698027621, 7974821]",residential,30,,False,True,118.77000000000001,"LINESTRING (6.0724221 46.2287387, 6.0724151 46.2287256, 6.0723976 46.2286961, 6.072383 46.2286713, 6.0723214 46.2285601, 6.0722345 46.2284074, 6.072103 46.2281843, 6.0720743 46.2281355, 6.0720548 46.2281249, 6.0719533 46.2280624, 6.0717447 46.2279291, 6.0716254 46.2278548)",,Chemin Antoine-Verchère,,,
"[186613305, 621126332]",tertiary,50,,False,False,82.429,"LINESTRING (6.0724221 46.2287387, 6.0723765 46.2287505, 6.0723563 46.2287559, 6.0723268 46.2287638, 6.0721088 46.2288225, 6.0719674 46.2288605, 6.0717735 46.2289126, 6.0717033 46.2289323, 6.0715379 46.228986, 6.0714329 46.2290225)",2,Route de Meyrin,,,
72215851,living_street,,,False,False,105.844,"LINESTRING (6.0739708 46.2250704, 6.0739359 46.225042, 6.0730796 46.2243452)",,Chemin des Noyères,,,
72216065,residential,30,,False,True,85.82199999999999,"LINESTRING (6.0739708 46.2250704, 6.0738409 46.2251908, 6.0738208 46.2252126, 6.0737658 46.2252724, 6.0736585 46.2253717, 6.0735767 46.2254325, 6.0734721 46.2255317, 6.0732894 46.2256802)",,Chemin du Grand-Puits,,,
61043864,residential,30,,False,True,418.934,"LINESTRING (6.0680723 46.2251339, 6.0681623 46.2252445, 6.0681733 46.225258, 6.0684469 46.2255494, 6.0687015 46.2258069, 6.0687692 46.2258705, 6.0689063 46.2260045, 6.068972 46.2260684, 6.0691054 46.2262146, 6.0693321 46.2264145, 6.0693991 46.226479, 6.0694253 46.2265175, 6.0694581 46.2265709, 6.0695158 46.2266238, 6.0696553 46.2267346, 6.069766 46.2268433, 6.0700156 46.2270909, 6.0702588 46.2273279, 6.07035 46.2274226, 6.0704412 46.2275348, 6.0704822 46.2275934, 6.070523 46.2276517, 6.0706195 46.2278061, 6.0707249 46.2279754, 6.0708379 46.2281499, 6.0708728 46.2282038, 6.0709126 46.2282469, 6.0709731 46.2283056)",,Rue Virginio-Malnati,,,
496646446,residential,30,,False,False,117.71300000000001,"LINESTRING (6.0680723 46.2251339, 6.0679368 46.2251605, 6.0675403 46.2252765, 6.0670204 46.2254363, 6.0666713 46.2255565)",,Chemin Edmond-Rochat,,,
