osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,bridge
"[27956776, 434705277]",False,2,Schachenstrasse,residential,40,False,21.054,"LINESTRING (8.2772036 47.0341942, 8.2772726 47.0342473, 8.2774402 47.0342785)",,,
"[1089925288, 94711852, 94711861]",False,"['2', '3']",Luzernerstrasse,primary,50,False,39.194,"LINESTRING (8.2772036 47.0341942, 8.2771147 47.0342118, 8.2770592 47.0342178, 8.2769605 47.0342215, 8.2768501 47.0342258, 8.276806 47.034229, 8.2766914 47.0342304)",2.a,,
"[434705280, 434705278]",False,2,Luzernerstrasse,primary,50,True,16.031,"LINESTRING (8.2772036 47.0341942, 8.2772644 47.0341812, 8.2772844 47.0341759, 8.2773985 47.0341389)",2.a,,
37337878,False,,Schachenstrasse,residential,40,True,138.25500000000002,"LINESTRING (8.2854969 47.035324, 8.2852934 47.0353028, 8.2852709 47.035301, 8.284894 47.0352707, 8.2846441 47.0352534, 8.2844188 47.0352426, 8.2842328 47.0352373, 8.2841243 47.0352342, 8.2838493 47.0352263, 8.2837893 47.0352246, 8.2836802 47.0352215)",,,
37374332,False,,Schachenstrasse,residential,40,False,72.142,"LINESTRING (8.2854969 47.035324, 8.2855465 47.035287, 8.2860835 47.0348848, 8.286137 47.0348438)",,,
751559970,False,2,Horwerstrasse,tertiary,50,True,24.18,"LINESTRING (8.2838217 47.0320114, 8.2841406 47.0320049)",,,
"[28069843, 1056377124]",False,,Grossfeldstrasse,residential,30,True,172.046,"LINESTRING (8.2838217 47.0320114, 8.2838175 47.0320375, 8.2838078 47.0320972, 8.2837129 47.0325593, 8.2836694 47.0327626, 8.2836457 47.0328812, 8.2836056 47.0330606, 8.2835917 47.0331437, 8.2835124 47.0335151, 8.2835099 47.0335438)",,,
37339240,False,2,Horwerstrasse,tertiary,50,False,98.166,"LINESTRING (8.2838217 47.0320114, 8.2836064 47.0320185, 8.2835477 47.03202, 8.2826496 47.032042, 8.2826035 47.0320373, 8.2825693 47.0320342, 8.2825285 47.0320305)",,,
88192218,False,,Luzernerstrasse,residential,,True,40.539,"LINESTRING (8.2853388 47.034344, 8.2853275 47.0343912, 8.2853208 47.0344191, 8.2852511 47.0346273, 8.2851801 47.0346845)",,,
818077657,False,2,Luzernerstrasse,primary,50,False,151.47899999999998,"LINESTRING (8.2853388 47.034344, 8.2842649 47.0342368, 8.2838217 47.0341944, 8.283564 47.0341718, 8.2834995 47.0341673, 8.28336 47.0341524)",2.a,,
818077657,False,2,Luzernerstrasse,primary,50,True,93.316,"LINESTRING (8.2853388 47.034344, 8.2858633 47.0343978, 8.2862886 47.034436, 8.286372 47.0344454, 8.2865571 47.0344654)",2.a,,
