osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,access,width
23134600,False,Poststrasse,residential,True,108.51,"LINESTRING (8.361439 47.4214729, 8.3615219 47.4212358, 8.3616621 47.4210128, 8.3618186 47.4207898, 8.362006 47.4205825)",,,,
23134600,False,Poststrasse,residential,False,108.51,"LINESTRING (8.362006 47.4205825, 8.3618186 47.4207898, 8.3616621 47.4210128, 8.3615219 47.4212358, 8.361439 47.4214729)",,,,
437198572,False,Poststrasse,residential,False,22.601999999999997,"LINESTRING (8.362006 47.4205825, 8.3620866 47.4204985, 8.362175 47.4204145)",,,,
985175663,False,Althauweg,residential,False,122.432,"LINESTRING (8.362006 47.4205825, 8.3619752 47.4205475, 8.3619696 47.4205314, 8.3618716 47.4199488, 8.36184 47.419727, 8.3618178 47.4195572, 8.3618067 47.4194935)",,,,
"[26452219, 23134516]",False,Boostockstrasse,residential,False,257.81999999999994,"LINESTRING (8.3633954 47.418961, 8.3634915 47.4190134, 8.3636932 47.4191238, 8.3638455 47.4192155, 8.3641108 47.4193835, 8.3642071 47.4194482, 8.3642836 47.4194973, 8.3643568 47.4195442, 8.3643992 47.4195714, 8.364635 47.4197373, 8.3650664 47.420038, 8.3651917 47.4201472, 8.3652246 47.4201598, 8.3652639 47.4201614, 8.3653103 47.4201352, 8.3653288 47.4201026, 8.3653401 47.4200609, 8.3653558 47.4199429, 8.365334 47.419768, 8.3653149 47.4196156)",,,,
437198571,False,Poststrasse,residential,False,124.881,"LINESTRING (8.3633954 47.418961, 8.3634707 47.4188464, 8.3636195 47.4185895, 8.3636549 47.4185285, 8.3637234 47.4183924, 8.3638322 47.4181944, 8.3638482 47.4181558, 8.3639316 47.417977, 8.3639463 47.4179396, 8.3639573 47.4179055)",50,,,
437198572,False,Poststrasse,residential,True,96.15599999999999,"LINESTRING (8.3633954 47.418961, 8.3632828 47.4191044, 8.36317 47.419248, 8.3630295 47.4194268, 8.3627956 47.4197246)",,,,
"[191415505, 705810959]",False,"['Boostockstrasse', 'Althauweg']",residential,"[False, True]",168.064,"LINESTRING (8.3633954 47.418961, 8.3632797 47.418907, 8.362948 47.4187547, 8.362869 47.4187207, 8.3626618 47.4186331, 8.3625927 47.4186025, 8.3624136 47.4185275, 8.3621815 47.4184469, 8.3618714 47.4183855, 8.3618296 47.4181494, 8.3618151 47.4180892, 8.3618093 47.4180654)",,,,
23134513,False,Dorfstrasse,unclassified,False,90.16799999999999,"LINESTRING (8.3639573 47.4179055, 8.3639786 47.4179071, 8.3642016 47.4179237, 8.3643419 47.4179341, 8.3644635 47.4179453, 8.3647279 47.4179935, 8.3648859 47.4180111, 8.3651405 47.4180181)",50,,,
23134513,False,Dorfstrasse,unclassified,True,166.18099999999998,"LINESTRING (8.3639573 47.4179055, 8.363947 47.4179049, 8.3638577 47.4178998, 8.3638174 47.4178974, 8.3635782 47.4178813, 8.3633963 47.4178734, 8.3633432 47.4178734, 8.3632666 47.4178729, 8.3631041 47.4178708, 8.362866 47.4178648, 8.3626765 47.4178647, 8.362533 47.4178696, 8.3624439 47.4178832, 8.3623781 47.4178948, 8.3623123 47.4179095, 8.3622091 47.4179395, 8.3618093 47.4180654)",50,,,
