osmid,lanes,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,ref,junction,width,access
"[764425817, 37051329, 764425828, 25777911]","['1', '2']",Schützenstrasse,"['unclassified', 'tertiary']","['50', '30']",False,"[False, True]",100.477,yes,"LINESTRING (7.4626338 46.9965445, 7.4623941 46.9964619, 7.4620843 46.9963486, 7.4619984 46.9963243, 7.4616714 46.9962097, 7.4615236 46.9961568, 7.4614548 46.9961329)",,,,
438503583,,Länggasse,tertiary,50,False,False,148.212,,"LINESTRING (7.4626338 46.9965445, 7.4626527 46.996515, 7.4627529 46.9963333, 7.4627803 46.9962479, 7.4627913 46.9962086, 7.4628308 46.9960463, 7.4628547 46.9959512, 7.4628836 46.9958634, 7.4629315 46.9957631, 7.4630138 46.9956376, 7.463038 46.995604, 7.4631223 46.995487, 7.4632592 46.9952907)",,,,
4726478,,Bernstrasse,primary,50,False,False,233.095,,"LINESTRING (7.4570305 46.9926674, 7.4570528 46.9927645, 7.4571083 46.9929474, 7.4571737 46.9931685, 7.4572033 46.9932688, 7.4572809 46.9935297, 7.4573112 46.9936318, 7.4573914 46.9938415, 7.4574546 46.9940131, 7.4575128 46.994171, 7.4575787 46.9943498, 7.4576866 46.9946027, 7.4577118 46.9946622, 7.4577321 46.9947069)",1;6;12,,,
758137285,1,,primary,50,True,False,13.15,,"LINESTRING (7.4570305 46.9926674, 7.4569872 46.9926658, 7.4569471 46.9926546, 7.4569145 46.9926351, 7.4568931 46.9926094)",,roundabout,,
758137284,1,,primary,50,True,False,16.536,,"LINESTRING (7.4569894 46.9924916, 7.4570256 46.9924901, 7.4570612 46.9924954, 7.4570931 46.9925071, 7.457111 46.9925191, 7.4571191 46.9925245, 7.4571371 46.992546, 7.4571457 46.9925701)",,roundabout,,
5189218,1,,primary,50,True,False,16.951999999999998,,"LINESTRING (7.4568931 46.9926094, 7.4568854 46.9925845, 7.4568884 46.9925592, 7.4569017 46.9925355, 7.4569243 46.9925153, 7.4569543 46.9925003, 7.4569894 46.9924916)",,roundabout,,
"[1002284397, 363895175]",,Wahlackerstrasse,tertiary,40,False,True,59.756,,"LINESTRING (7.4568931 46.9926094, 7.4567687 46.992658, 7.4564738 46.992774, 7.456344 46.9928273, 7.4562185 46.9928865)",,,,
"[143231137, 1002356437]",2,Kreuzstrasse,unclassified,30,False,False,29.634999999999998,,"LINESTRING (7.4594633 46.9971947, 7.4595799 46.9971486, 7.4596858 46.9971057, 7.4597862 46.9970464)",,,,
1229033977,,,primary,50,True,False,14.942,,"LINESTRING (7.4594633 46.9971947, 7.4594787 46.9972145, 7.4594858 46.9972363, 7.4594838 46.9972587, 7.4594729 46.9972798, 7.4594541 46.9972982, 7.4594286 46.9973123)",,roundabout,,
37012317,,Länggasse,tertiary,50,False,True,115.934,,"LINESTRING (7.4641614 46.9944586, 7.4641106 46.994523, 7.4640888 46.9945459, 7.4640424 46.9945948, 7.4639796 46.9946531, 7.4639243 46.9946995, 7.4638588 46.99475, 7.4637428 46.9948308, 7.4635539 46.9949589, 7.4634473 46.9950504, 7.4633614 46.9951463, 7.4632592 46.9952907)",,,,
26376022,,Lindenweg,residential,,False,True,107.08099999999999,,"LINESTRING (7.4527269 46.9963355, 7.4526266 46.9963284, 7.4521371 46.9962977, 7.4520001 46.9962648, 7.4516112 46.9962468, 7.451537 46.9962438, 7.4513272 46.9962353)",,,,
"[532066120, 102775055]",2,Wahlackerstrasse,tertiary,40,False,False,266.908,,"LINESTRING (7.4527269 46.9963355, 7.4527333 46.9962912, 7.4527637 46.996066, 7.4528014 46.995672, 7.4528222 46.9954778, 7.4528626 46.9950632, 7.4528868 46.9948923, 7.4528961 46.9948475, 7.4529308 46.9947517, 7.4529693 46.9946635, 7.4529991 46.9946045, 7.453037 46.9945422, 7.4530777 46.9944864, 7.4530849 46.9944765, 7.4531572 46.9943912, 7.4532569 46.9942889, 7.453327 46.9942249, 7.4534185 46.9941532, 7.4535354 46.994067)",,,,
532066120,2,Wahlackerstrasse,tertiary,40,False,True,204.618,,"LINESTRING (7.4527269 46.9963355, 7.452718 46.9963882, 7.452642 46.9967199, 7.4526239 46.9968182, 7.4526108 46.9968723, 7.452594 46.9969171, 7.4525689 46.9969639, 7.4524682 46.9971044, 7.4524378 46.9971475, 7.4523996 46.9971942, 7.4523225 46.9972759, 7.4521694 46.9974402, 7.4520229 46.9975723, 7.4519705 46.9976195, 7.4517585 46.997804, 7.4516336 46.9979028, 7.4516113 46.9979204, 7.4515729 46.9979492)",,,,
26376022,,Lindenweg,residential,,False,False,107.081,,"LINESTRING (7.4513272 46.9962353, 7.451537 46.9962438, 7.4516112 46.9962468, 7.4520001 46.9962648, 7.4521371 46.9962977, 7.4526266 46.9963284, 7.4527269 46.9963355)",,,,
26376026,1,Hessweg,residential,30,False,False,159.75,,"LINESTRING (7.4535354 46.994067, 7.4531363 46.9938958, 7.4530442 46.9938499, 7.4528958 46.9937693, 7.4528448 46.9937458, 7.4527708 46.9937246, 7.4526792 46.9937019, 7.4522205 46.9936214, 7.4519521 46.9935853, 7.4516117 46.9935488)",,,4,
102775055,2,Wahlackerstrasse,tertiary,40,False,False,162.807,,"LINESTRING (7.4535354 46.994067, 7.4535726 46.9940428, 7.4537415 46.9939363, 7.4538629 46.9938691, 7.4539813 46.9938083, 7.4541669 46.9937241, 7.4542426 46.9936946, 7.4542883 46.9936777, 7.4543626 46.9936543, 7.4544513 46.9936272, 7.4545103 46.9936047, 7.4546163 46.9935621, 7.4546801 46.9935367, 7.4547418 46.9935118, 7.4547876 46.9934923, 7.4548453 46.9934667, 7.4549222 46.993429, 7.4549763 46.9934045, 7.4553222 46.9932663)",,,,
"[532066120, 102775055]",2,Wahlackerstrasse,tertiary,40,False,True,266.90799999999996,,"LINESTRING (7.4535354 46.994067, 7.4534185 46.9941532, 7.453327 46.9942249, 7.4532569 46.9942889, 7.4531572 46.9943912, 7.4530849 46.9944765, 7.4530777 46.9944864, 7.453037 46.9945422, 7.4529991 46.9946045, 7.4529693 46.9946635, 7.4529308 46.9947517, 7.4528961 46.9948475, 7.4528868 46.9948923, 7.4528626 46.9950632, 7.4528222 46.9954778, 7.4528014 46.995672, 7.4527637 46.996066, 7.4527333 46.9962912, 7.4527269 46.9963355)",,,,
"[995938490, 5189220]",2,Wahlackerstrasse,tertiary,40,False,True,29.898,,"LINESTRING (7.4515729 46.9979492, 7.4515513 46.9979676, 7.4514958 46.9980211, 7.4514583 46.9980684, 7.4514445 46.9980969, 7.4514414 46.9981059, 7.4514388 46.9981187, 7.4514382 46.9981388, 7.4514408 46.9981925)",,,,
26376050,,Buchrainweg,residential,,False,False,131.101,,"LINESTRING (7.4515729 46.9979492, 7.4511592 46.9979568, 7.4511237 46.9975216, 7.4510946 46.9972043, 7.4510894 46.9971494, 7.4510762 46.9970619)",,,,
