osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,junction
143768816,305,Birseckstrasse,secondary,50,False,False,10.378,"LINESTRING (7.6239877 47.5518732, 7.6239617 47.551847, 7.6239392 47.5518258, 7.6239079 47.551797)",,,
"[143768851, 182886803]",,Hardstrasse,tertiary,"['50', '30']",False,False,177.321,"LINESTRING (7.6239877 47.5518732, 7.6240549 47.551935, 7.6240906 47.5519787, 7.6243006 47.5522825, 7.6243434 47.5523087, 7.624387 47.552323, 7.6244503 47.5523111, 7.6250733 47.5521116, 7.625854 47.551949)",2,8,
26435952,,Rosenstrasse,residential,30,False,False,60.229,"LINESTRING (7.6256396 47.55612, 7.624837 47.5561187)",,6,
1180989530,,Hofstrasse,residential,30,False,True,106.203,"LINESTRING (7.6256396 47.55612, 7.6262792 47.556972)",,6,
"[143768912, 4305731]",,Sonnenbergstrasse,residential,30,False,"[False, True]",424.61999999999995,"LINESTRING (7.6256396 47.55612, 7.6264231 47.5560762, 7.6265608 47.5560684, 7.6267339 47.5560595, 7.6276137 47.5560106, 7.6277865 47.556001, 7.6278329 47.5559998, 7.6281025 47.5559933, 7.6284175 47.5559856, 7.6285641 47.5559806, 7.62872 47.5559788, 7.6298617 47.5559636, 7.6298598 47.5559179, 7.6298439 47.5555287, 7.6298223 47.5550001)",,7,
128955500,,Schulstrasse,residential,30,False,True,101.684,"LINESTRING (7.6256396 47.55612, 7.6252913 47.5556312, 7.6251068 47.5553769, 7.6250244 47.5553075)",,,
185812553,,Sternenfeldstrasse,tertiary,50,False,False,232.825,"LINESTRING (7.633205 47.5551647, 7.6332004 47.5545654, 7.633239 47.5540522, 7.633412 47.5530785)",2,,
"[874595453, 143768838]",,Friedhofstrasse,residential,30,False,True,138.67499999999998,"LINESTRING (7.633205 47.5551647, 7.6326898 47.5551668, 7.6315012 47.5551841, 7.6313574 47.5551867)",,8,
1180989530,,Hofstrasse,residential,30,False,False,106.203,"LINESTRING (7.6262792 47.556972, 7.6256396 47.55612)",,6,
143768808,,Am Stausee,residential,30,False,True,557.7539999999999,"LINESTRING (7.6262792 47.556972, 7.6265539 47.556967, 7.6269288 47.5569601, 7.6270384 47.5569581, 7.6273077 47.5569551, 7.6274179 47.556953, 7.6275214 47.556951, 7.627919 47.5569463, 7.6284548 47.5569399, 7.6285012 47.5569382, 7.6291944 47.5569289, 7.6294191 47.5569271, 7.6299068 47.5569157, 7.6304096 47.5569059, 7.6306396 47.5569025, 7.630818 47.5568998, 7.631121 47.5568953, 7.6311728 47.5568945, 7.6311864 47.556728, 7.6311978 47.5565874, 7.6311989 47.5565722, 7.6312013 47.5565452, 7.6312363 47.5562673, 7.6312494 47.5561516, 7.6312506 47.5561447, 7.6313006 47.5557335, 7.6313339 47.5554829, 7.6313574 47.5551867)",,6,
