osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,width
249159810,2,6;N18,primary,50,roundabout,True,False,23.653,"LINESTRING (7.3607909 47.3622198, 7.3607798 47.3622544, 7.3607524 47.3622846, 7.3607117 47.3623069, 7.3606624 47.3623188, 7.36061 47.3623188, 7.3605606 47.3623071)",,,
177268588,,6;18,primary,50,roundabout,True,False,16.713,"LINESTRING (7.3486208 47.3608945, 7.3486265 47.3608702, 7.348643 47.3608483, 7.3486687 47.3608309, 7.348701 47.3608197, 7.3487369 47.3608159, 7.3487766 47.3608206)",,,
"[177268587, 24292207]",2,6;18,primary,50,,False,False,422.499,"LINESTRING (7.3488374 47.3609338, 7.3489666 47.3609745, 7.3490775 47.361006, 7.3492012 47.3610355, 7.34932 47.3610596, 7.3523911 47.3616248, 7.3525376 47.3616476, 7.352692 47.3616684, 7.3528157 47.3616751, 7.3529622 47.3616784, 7.3530799 47.3616771, 7.3531809 47.3616704, 7.3533224 47.361657, 7.3537124 47.361594, 7.353847 47.3615785, 7.3539598 47.3615665, 7.3540558 47.3615665, 7.3541746 47.3615718, 7.3542749 47.3615837)",Route de Distribution Urbaine,,
177268588,,6;18,primary,50,roundabout,True,False,22.793,"LINESTRING (7.3488374 47.3609338, 7.3488134 47.3609536, 7.3487813 47.3609671, 7.3487445 47.360973, 7.3487068 47.3609705, 7.3486724 47.3609599, 7.3486448 47.3609424, 7.3486269 47.3609198, 7.3486208 47.3608945)",,,
24292209,1,6;18,primary,50,roundabout,True,False,19.338,"LINESTRING (7.3542749 47.3615837, 7.3542968 47.3615522, 7.3543323 47.3615271, 7.3543777 47.3615109, 7.3544284 47.3615053, 7.3544791 47.3615108)",,,
"[177268587, 24292207]",2,6;18,primary,50,,False,True,422.499,"LINESTRING (7.3542749 47.3615837, 7.3541746 47.3615718, 7.3540558 47.3615665, 7.3539598 47.3615665, 7.353847 47.3615785, 7.3537124 47.361594, 7.3533224 47.361657, 7.3531809 47.3616704, 7.3530799 47.3616771, 7.3529622 47.3616784, 7.3528157 47.3616751, 7.352692 47.3616684, 7.3525376 47.3616476, 7.3523911 47.3616248, 7.34932 47.3610596, 7.3492012 47.3610355, 7.3490775 47.361006, 7.3489666 47.3609745, 7.3488374 47.3609338)",Route de Distribution Urbaine,,
24292209,1,6;18,primary,50,roundabout,True,False,38.266,"LINESTRING (7.3545842 47.361639, 7.3545682 47.3616667, 7.3545416 47.3616905, 7.3545064 47.3617084, 7.3544654 47.3617192, 7.3544216 47.361722, 7.3543783 47.3617166, 7.3543349 47.3617015, 7.3543001 47.3616783, 7.3542774 47.361649, 7.3542687 47.3616165, 7.3542749 47.3615837)",,,
"[177268586, 42740243, 42740244, 24292215]",2,6;18,primary,50,,False,True,434.569,"LINESTRING (7.3545842 47.361639, 7.3546882 47.3616617, 7.3563022 47.3620559, 7.35723 47.3622823, 7.3579753 47.3624591, 7.3597113 47.3628756, 7.3597852 47.3628934, 7.3598219 47.3629025, 7.3599021 47.3629232, 7.3600188 47.3629513)",Route de Distribution Urbaine,yes,
24510569,2,,tertiary,,,False,False,134.564,"LINESTRING (7.3578054 47.3644102, 7.3576896 47.3643204, 7.3576099 47.3642507, 7.3575476 47.3641874, 7.3573212 47.3639214, 7.3571952 47.3637764, 7.3570645 47.3636687, 7.3569736 47.3636096, 7.3568145 47.3635346, 7.356689 47.3634914)",Route de Moutier,,
177269082,1,N18;18,primary,,roundabout,True,False,25.634000000000004,"LINESTRING (7.3578054 47.3644102, 7.3578397 47.3643796, 7.3578876 47.3643591, 7.3579432 47.3643514, 7.3579992 47.3643574, 7.3580485 47.3643764, 7.3580848 47.364406)",,,
34765890,,,residential,,,False,False,157.332,"LINESTRING (7.3529065 47.3627634, 7.3520286 47.3640473)",Rue des Prés,,
