osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,access,width
186649514,Bahnhofstrasse,residential,False,True,66.589,,,,"LINESTRING (7.6026338 47.4671444, 7.6021702 47.4676547)",,,
24077584,Hauptstrasse,primary,False,True,60.882999999999996,2,18,50,"LINESTRING (7.5979686 47.46724, 7.5980956 47.4669362, 7.5982239 47.4667212)",,,
24077585,Bahnhofstrasse,residential,False,False,191.08999999999997,,,50,"LINESTRING (7.5979686 47.46724, 7.5980201 47.467249, 7.5985895 47.4673487, 7.5990301 47.4673869, 7.5998733 47.4673647, 7.6001141 47.467389, 7.6004793 47.4674258)",,,
186649516,Hauptstrasse,primary,False,False,22.381999999999998,2,18,50,"LINESTRING (7.5979686 47.46724, 7.5979179 47.4673386, 7.5978644 47.4674285)",,,
186649513,Bahnhofstrasse,residential,False,True,28.831,,,50,"LINESTRING (7.6021702 47.4676547, 7.6025458 47.4677072)",,,
186649514,Bahnhofstrasse,residential,False,False,66.589,,,,"LINESTRING (7.6021702 47.4676547, 7.6026338 47.4671444)",,,
"[784778674, 904474379, 24077588, 230460355]",Bahnhofstrasse,residential,False,"[False, True]",89.673,,,50,"LINESTRING (7.6021702 47.4676547, 7.602026 47.4676356, 7.6014489 47.4675577, 7.6010999 47.4675138, 7.6009985 47.4675035)",yes,,
"[766531105, 25194882]",Dornacherstrasse,tertiary,False,True,144.00299999999996,,273,,"LINESTRING (7.5971314 47.4723999, 7.5971771 47.4723985, 7.5973159 47.4723941, 7.597458 47.472377, 7.5975505 47.4723576, 7.5976951 47.4723006, 7.5978931 47.4721702, 7.5981315 47.4719895, 7.5982507 47.471903, 7.5983703 47.4718388, 7.5984753 47.4718029, 7.5985838 47.4717796, 7.5987108 47.4717647)",,,
186651208,Hauptstrasse,primary,False,True,200.172,2,18,50,"LINESTRING (7.5971314 47.4723999, 7.5971355 47.4722294, 7.5971289 47.4717641, 7.5970895 47.4710641, 7.5970727 47.4706004)",,,
24434490,Ettingerstrasse,tertiary,False,True,156.23000000000002,2,273,50,"LINESTRING (7.5970727 47.4706004, 7.5970274 47.4706012, 7.5969821 47.470602, 7.59698 47.4706021, 7.5969269 47.4706056, 7.5967942 47.4706281, 7.5951724 47.4709025, 7.5950523 47.4709228)",,,
25194879,Dornacherstrasse,tertiary,True,False,127.50200000000001,,273,,"LINESTRING (7.5970727 47.4706004, 7.5971931 47.4707826, 7.5974171 47.471132, 7.5974891 47.4712168, 7.5975912 47.4712999, 7.5977027 47.471352, 7.5978354 47.4714034, 7.5980662 47.4714586)",,,
117739080,Hauptstrasse,primary,False,True,204.131,2,18,50,"LINESTRING (7.5970727 47.4706004, 7.597061 47.4704689, 7.5970443 47.4702604, 7.5970168 47.4697836, 7.5970101 47.4696666, 7.5970065 47.4696033, 7.5970076 47.4694555, 7.5970269 47.4692335, 7.5970377 47.4691152, 7.5970561 47.4689821, 7.5970842 47.4688381, 7.5970988 47.4687688)",,,
186651208,Hauptstrasse,primary,False,False,200.17200000000003,2,18,50,"LINESTRING (7.5970727 47.4706004, 7.5970895 47.4710641, 7.5971289 47.4717641, 7.5971355 47.4722294, 7.5971314 47.4723999)",,,
28701601,Steinackerstrasse,residential,False,True,38.713,,,,"LINESTRING (7.5950523 47.4709228, 7.5950904 47.47127)",,,
24434490,Ettingerstrasse,tertiary,False,False,156.23,2,273,50,"LINESTRING (7.5950523 47.4709228, 7.5951724 47.4709025, 7.5967942 47.4706281, 7.5969269 47.4706056, 7.59698 47.4706021, 7.5969821 47.470602, 7.5970274 47.4706012, 7.5970727 47.4706004)",,,
24434490,Ettingerstrasse,tertiary,False,True,72.379,2,273,50,"LINESTRING (7.5950523 47.4709228, 7.594318 47.4710378, 7.5941142 47.4710697)",,,
24609691,Gartenstrasse,residential,False,False,131.131,,,30,"LINESTRING (7.5950523 47.4709228, 7.5950073 47.4705341, 7.5949525 47.4700805, 7.5949001 47.4697481)",,,
24434492,Klusstrasse,residential,False,True,56.104,2,,30,"LINESTRING (7.5928841 47.4672809, 7.5921732 47.4674346)",,,
25314443,Rehhagweg,residential,False,False,122.152,,,30,"LINESTRING (7.5928841 47.4672809, 7.5932802 47.4683463)",,,
43177798,Weiherweg,residential,False,False,78.149,,,30,"LINESTRING (7.5928841 47.4672809, 7.5925605 47.466613)",,,
24434492,Klusstrasse,residential,False,False,107.21,2,,30,"LINESTRING (7.5928841 47.4672809, 7.5930821 47.4672972, 7.5932364 47.4673235, 7.5933669 47.4673428, 7.5935375 47.4673592, 7.5937787 47.4673412, 7.5940851 47.4672909, 7.5942853 47.4672652)",,,
491954441,Klusstrasse,residential,False,False,10.81,2,,30,"LINESTRING (7.5942853 47.4672652, 7.5944291 47.4672639)",,,
24434492,Klusstrasse,residential,False,True,107.21,2,,30,"LINESTRING (7.5942853 47.4672652, 7.5940851 47.4672909, 7.5937787 47.4673412, 7.5935375 47.4673592, 7.5933669 47.4673428, 7.5932364 47.4673235, 7.5930821 47.4672972, 7.5928841 47.4672809)",,,
