osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge,width,tunnel,junction
"[33720400, 1145850644, 212287029, 308011189]","['2', '3']",Muhlernstrasse,tertiary,50,False,True,343.57,"LINESTRING (7.4174155 46.9189541, 7.4172375 46.9190522, 7.4170101 46.9191749, 7.4169626 46.9192013, 7.4167811 46.9192944, 7.416637 46.9193684, 7.4165148 46.9194262, 7.4163934 46.9194851, 7.4161986 46.9195763, 7.4159028 46.9197011, 7.4153862 46.9199076, 7.4150946 46.9200125, 7.4149474 46.9200628, 7.4147965 46.9201151, 7.4147647 46.9201264, 7.4145545 46.9201974, 7.4145249 46.9202085, 7.4143689 46.9202561, 7.4140917 46.9203421, 7.4140277 46.9203579, 7.4139757 46.9203649, 7.4139414 46.9203674, 7.4139071 46.9203687, 7.4135992 46.9203568, 7.4134836 46.9203577)",,,,,,
418029018,2,Schwarzenburgstrasse,secondary,50,False,False,14.75,"LINESTRING (7.4173863 46.9261844, 7.4173274 46.9260903, 7.4173131 46.9260616)",232,,,,,
167901712,2,Landorfstrasse,tertiary,40,False,True,30.822999999999997,"LINESTRING (7.4128368 46.9229973, 7.4128261 46.9229716, 7.4128093 46.9229432, 7.4127966 46.9229258, 7.4127822 46.9229084, 7.4127493 46.9228837, 7.4127208 46.9228677, 7.412645 46.9228274, 7.412585 46.9227889)",,,,,,
211996328,2,Sägestrasse,tertiary,40,False,False,101.46000000000001,"LINESTRING (7.4128368 46.9229973, 7.413073 46.9238103, 7.4130945 46.9238926)",,,,,,
"[25960968, 627388297, 627388294]",2,Landorfstrasse,residential,50,False,False,101.16399999999999,"LINESTRING (7.4128368 46.9229973, 7.4130242 46.9229762, 7.4132375 46.9229451, 7.4134205 46.9229093, 7.4135176 46.9228885, 7.4135812 46.922876, 7.4136375 46.922862, 7.4136848 46.9228497, 7.4137291 46.9228366, 7.4139114 46.9227819, 7.4141016 46.9227247)",,,,,,
25074755,2,Dorfbachstrasse,residential,30,False,True,82.38300000000001,"LINESTRING (7.407544 46.9192228, 7.4073074 46.9196003, 7.4071185 46.9199043)",,,,,,
"[167901640, 25960959]",1,Dorfbachstrasse,residential,30,False,False,67.591,"LINESTRING (7.407544 46.9192228, 7.4076953 46.9192637, 7.4083357 46.9194368, 7.4083715 46.9194465)",,,,,,
35280192,,Schulhausgässli,residential,30,False,False,45.800999999999995,"LINESTRING (7.4118118 46.9214939, 7.4118961 46.921466, 7.4122393 46.9212089)",,,,,,
1066226611,2,Dorfbachstrasse,residential,30,False,False,17.721,"LINESTRING (7.4118118 46.9214939, 7.411801 46.9215219, 7.4117726 46.9215735, 7.4117368 46.9216447)",,,,,,
"[167901640, 1066226611]","['1', '2']",Dorfbachstrasse,residential,30,False,True,179.41899999999998,"LINESTRING (7.4118118 46.9214939, 7.4116972 46.9213678, 7.4106624 46.9203087, 7.4106378 46.9202837, 7.4104825 46.9201616)",,,,,,
