osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width,access
27564188,1,345;337,Hochstrasse,secondary,50,roundabout,True,False,21.977,"LINESTRING (8.7851265 47.3656929, 8.7851322 47.3657177, 8.7851246 47.3657464, 8.785105 47.3657694, 8.7850748 47.3657873, 8.7850336 47.3657979, 8.7849877 47.3657975, 8.7849483 47.3657869)",,
139842740,2,345;337,Hochstrasse,secondary,50,,False,False,30.224,"LINESTRING (8.7851265 47.3656929, 8.7851842 47.3656816, 8.7853746 47.3656153, 8.7854712 47.3655593)",,
5049068,,,Tunnelstrasse,tertiary,50,,False,False,118.75,"LINESTRING (8.7810293 47.367625, 8.7811334 47.3677223, 8.7812632 47.3678671, 8.7813018 47.3679175, 8.7813504 47.3679809, 8.7814438 47.3681203, 8.7815316 47.3682465, 8.7815383 47.3682553, 8.781585 47.3683065, 8.7815991 47.3683219, 8.7816696 47.3683826, 8.7817193 47.3684223, 8.7817723 47.3684573, 8.7818706 47.3685178)",,
"[313791184, 313791266, 41587964]","['2', '3']",345,Kempttalstrasse,secondary,50,,False,False,156.68699999999998,"LINESTRING (8.7810293 47.367625, 8.7806283 47.367792, 8.7805596 47.3678219, 8.7805076 47.3678483, 8.780353 47.3679297, 8.7802075 47.3680139, 8.7800688 47.3680951, 8.7799801 47.3681516, 8.7799092 47.3682014, 8.7794459 47.368528)",,
"[942515362, 4986331, 128573276, 205940919]",2,345,"['Kempttalstrasse', 'Hochstrasse']",secondary,50,,False,True,142.586,"LINESTRING (8.7810293 47.367625, 8.7812383 47.3675455, 8.7816002 47.3674068, 8.7816931 47.3673644, 8.7817328 47.3673451, 8.7817782 47.3673194, 8.7818717 47.3672606, 8.7819661 47.3671955, 8.782002 47.3671731, 8.7821245 47.367117, 8.782466 47.3670162, 8.7826362 47.3669651)",,
23458348,2,816,Russikerstrasse,tertiary,50,,False,False,49.117,"LINESTRING (8.7834445 47.3684125, 8.7834823 47.3685674, 8.783504 47.3686193, 8.7835312 47.3686643, 8.7835942 47.3687536, 8.7836057 47.3687744, 8.7836126 47.3688057, 8.7836142 47.368835)",,
41587965,2,816,Frohwiesstrasse,tertiary,50,,False,True,73.343,"LINESTRING (8.7834445 47.3684125, 8.7833995 47.3682885, 8.7833754 47.3682203, 8.7833252 47.3680989, 8.7832916 47.3680356, 8.7831731 47.367834, 8.7831374 47.3677886)",,
"[128573304, 48721601, 41587966]",2,,Zelglistrasse,tertiary,50,,False,True,542.783,"LINESTRING (8.7834445 47.3684125, 8.7838013 47.3681545, 8.7840701 47.3679644, 8.7841769 47.3678888, 8.7844318 47.3677247, 8.7845707 47.3676234, 8.7846211 47.3675876, 8.7846701 47.3675566, 8.7847229 47.3675267, 8.7847734 47.3675033, 8.7848317 47.3674809, 8.7848987 47.3674589, 8.7850368 47.3674179, 8.7850803 47.3674036, 8.7851262 47.3673856, 8.785171 47.3673647, 8.7852138 47.3673415, 8.7852632 47.3673109, 8.7853291 47.3672638, 8.7863117 47.3665372, 8.7864014 47.3664657, 8.786469 47.3663957, 8.7865464 47.3663088, 8.7866522 47.3661642, 8.7867247 47.3660612, 8.7867708 47.3660035, 8.7868191 47.3659516, 8.7868784 47.3658966, 8.7869467 47.365839, 8.7881256 47.3649771, 8.7881531 47.3649564, 8.788173 47.3649385, 8.7881957 47.364913, 8.788216 47.3648816, 8.7882415 47.3648327)",,
27336181,,,Turmstrasse,tertiary,50,roundabout,True,False,15.602,"LINESTRING (8.7819131 47.3686429, 8.7818839 47.3686246, 8.7818625 47.3685997, 8.7818528 47.3685707, 8.7818557 47.3685444, 8.7818706 47.3685178)",,
32845702,,,Turmstrasse,residential,50,,False,True,80.791,"LINESTRING (8.7819131 47.3686429, 8.7818228 47.3687052, 8.7816641 47.3688022, 8.7815894 47.3688437, 8.7814892 47.3688893, 8.7813754 47.3689401, 8.7812554 47.3689809, 8.7811724 47.3690382, 8.7811392 47.3691189)",,
