osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,junction
31675396,Neuguetweg,residential,False,False,67.65199999999999,"LINESTRING (8.8575564 47.2556387, 8.8575898 47.2556931, 8.8576274 47.2557846, 8.8576879 47.2559933, 8.8577155 47.2561966, 8.8577174 47.2562342)",,,,,
38417338,Ferrachstrasse,secondary,False,False,114.167,"LINESTRING (8.8575564 47.2556387, 8.8568753 47.2558404, 8.856651 47.2559068, 8.856168 47.2560463)",345,50,,,
38417338,Ferrachstrasse,secondary,False,True,42.055,"LINESTRING (8.8575564 47.2556387, 8.8577096 47.255616, 8.8578927 47.2555966, 8.8579382 47.2555945, 8.8579843 47.2555925, 8.8581076 47.2555934)",345,50,,,
"[31675851, 31109404, 31109405]",Dorfstrasse,primary,False,True,146.571,"LINESTRING (8.8509556 47.2595574, 8.8507992 47.2594486, 8.8507461 47.2594132, 8.8505625 47.2592918, 8.8504615 47.2592179, 8.8503254 47.2591397, 8.8501909 47.259104, 8.8500742 47.2590913, 8.8498616 47.2590685, 8.8498001 47.2590628, 8.8496537 47.2590458, 8.8494143 47.2590208, 8.849289 47.2589973)",15,50,2,yes,
31675543,Dorfstrasse,primary,False,False,57.358,"LINESTRING (8.8509556 47.2595574, 8.8512241 47.2597404, 8.8513843 47.2598747, 8.8514327 47.2599209, 8.8514571 47.2599436)",15,50,2,,
"[521305137, 521305138]",Ferrachstrasse,secondary,False,True,127.10500000000002,"LINESTRING (8.8509556 47.2595574, 8.8510018 47.2595145, 8.8510313 47.2594742, 8.8511228 47.2593043, 8.8513122 47.2590481, 8.851529 47.2588012, 8.8515535 47.258778, 8.8516254 47.2587101, 8.8517467 47.2586153, 8.8518014 47.2585785)",345,50,2,,
5446544,Dorfstrasse,primary,True,False,12.725999999999999,"LINESTRING (8.8514571 47.2599436, 8.8514925 47.2599281, 8.8515334 47.2599211, 8.8515755 47.2599233, 8.8516143 47.2599344)",,50,1,,roundabout
31675543,Dorfstrasse,primary,False,True,57.358,"LINESTRING (8.8514571 47.2599436, 8.8514327 47.2599209, 8.8513843 47.2598747, 8.8512241 47.2597404, 8.8509556 47.2595574)",15,50,2,,
5446544,Dorfstrasse,primary,True,False,14.435,"LINESTRING (8.8516143 47.2599344, 8.8516433 47.2599514, 8.8516638 47.2599733, 8.8516741 47.2599983, 8.8516733 47.2600242, 8.8516614 47.2600489)",,50,1,,roundabout
"[31303056, 1218295250]",Schlossbergstrasse,residential,True,False,58.706,"LINESTRING (8.8516143 47.2599344, 8.8516603 47.2599168, 8.8517449 47.2598927, 8.8518139 47.2598704, 8.8520738 47.2598124, 8.852343 47.2597524)",,30,,,
5446544,Dorfstrasse,primary,True,False,10.09,"LINESTRING (8.8516614 47.2600489, 8.8516426 47.2600679, 8.8516173 47.2600829, 8.8515872 47.2600931, 8.8515548 47.2600963)",,50,1,,roundabout
8907741,Dorfstrasse,primary,False,False,20.704,"LINESTRING (8.8516614 47.2600489, 8.851696 47.2600595, 8.8517697 47.2600852, 8.8519081 47.2601303)",15,50,2,,
5446544,Dorfstrasse,primary,True,False,9.931,"LINESTRING (8.8515548 47.2600963, 8.8515207 47.2600964, 8.8514887 47.2600894, 8.8514617 47.2600778, 8.8514397 47.2600621)",,50,1,,roundabout
