osmid,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry,lanes,tunnel
151411932,138,Rue du Villars,secondary,50,False,True,5.2,,"LINESTRING (6.5612488 46.5296589, 6.5613163 46.5296644)",,
23365094,,,secondary,50,True,False,17.151,roundabout,"LINESTRING (6.5612488 46.5296589, 6.5612425 46.5296805, 6.561226 46.5296994, 6.5612014 46.5297135, 6.5611713 46.529721, 6.5611393 46.5297213, 6.561109 46.5297141, 6.5610839 46.5297004)",,
151411932,138,Rue du Villars,secondary,50,False,False,115.71199999999999,,"LINESTRING (6.5627921 46.5294595, 6.5626447 46.5294705, 6.562343 46.529493, 6.5622649 46.5294999, 6.5620518 46.5295207, 6.5620002 46.5295258, 6.5618346 46.5295486, 6.5616843 46.5295802, 6.561402 46.5296527, 6.5613487 46.52966, 6.5613163 46.5296644)",,
151411932,138,Rue du Villars,secondary,50,False,True,39.208,,"LINESTRING (6.5627921 46.5294595, 6.5631528 46.5294648, 6.5633045 46.5294671)",,
209222546,,Chemin de Rosemont,residential,,False,False,147.52800000000002,,"LINESTRING (6.5627921 46.5294595, 6.5628307 46.5294214, 6.5629215 46.5293935, 6.5632895 46.529327, 6.563383 46.5293101, 6.5635443 46.5292787, 6.5635557 46.5292308, 6.563537 46.5291814, 6.5634479 46.5289904, 6.5640934 46.5288424)",,
27335919,138,Rue du Villars,secondary,50,False,True,81.99300000000001,,"LINESTRING (6.5670235 46.5287712, 6.5669553 46.5287879, 6.5668436 46.5288153, 6.5665178 46.528895, 6.5661721 46.5289796, 6.5660243 46.5290347)",4,
"[1115945945, 1115945943]",136,Avenue du Tir Fédéral,secondary,50,False,True,177.19899999999998,,"LINESTRING (6.5670235 46.5287712, 6.5669222 46.5285943, 6.5667539 46.5283598, 6.566145 46.5274475, 6.5660637 46.5273213)","['2', '4']",
"[23380868, 1104019708]",,Route de la Sorge,tertiary,50,False,False,169.76,,"LINESTRING (6.5642878 46.5221447, 6.5644532 46.5221193, 6.5646182 46.5220943, 6.5650572 46.5220621, 6.5658385 46.5220469, 6.5663216 46.5220525, 6.566353 46.5220529, 6.5664956 46.522056)",2,
23380868,,Route de la Sorge,tertiary,50,False,True,76.099,,"LINESTRING (6.5642878 46.5221447, 6.5638271 46.5222286, 6.5637592 46.5222441, 6.5637321 46.5222515, 6.5635845 46.5222921, 6.5633469 46.522362)",2,
23385359,,Avenue Jean-Rodolphe-Perronet,unclassified,30,False,False,78.22099999999999,,"LINESTRING (6.5642878 46.5221447, 6.5642372 46.5220448, 6.564195 46.5219975, 6.5641517 46.521963, 6.564064 46.5219151, 6.5639758 46.521895, 6.5639094 46.5218847, 6.5638166 46.5218764, 6.5636278 46.5218786, 6.5635499 46.5218743, 6.5634623 46.5218674)",,
23385359,,Avenue Jean-Rodolphe-Perronet,unclassified,30,False,True,78.221,,"LINESTRING (6.5634623 46.5218674, 6.5635499 46.5218743, 6.5636278 46.5218786, 6.5638166 46.5218764, 6.5639094 46.5218847, 6.5639758 46.521895, 6.564064 46.5219151, 6.5641517 46.521963, 6.564195 46.5219975, 6.5642372 46.5220448, 6.5642878 46.5221447)",,
