osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,access,junction
545447257,Route du Chasseur,tertiary,50,False,False,49.501000000000005,"LINESTRING (6.6064761 46.5387746, 6.606451 46.538638, 6.6064454 46.5385897, 6.6064135 46.5383316)",,3,,
"[194955896, 985174870]",Route de Prilly,primary,50,False,True,59.435,"LINESTRING (6.59975 46.5383082, 6.5996858 46.5383406, 6.5991881 46.5385919, 6.5991237 46.5386246)",9,,,
256028057,Chemin des Fleurs,residential,,False,True,75.641,"LINESTRING (6.59975 46.5383082, 6.6002765 46.5387298, 6.6003944 46.5388242)",,,,
387720804,Route de Cossonay,primary,50,False,False,241.29299999999998,"LINESTRING (6.59975 46.5383082, 6.6006703 46.5378353, 6.6010067 46.5376624, 6.6010944 46.5376176, 6.6019324 46.5371894, 6.6022799 46.5370119)",9,2,,
52581907,Chemin Aimé-Steinlen,residential,30,False,True,79.276,"LINESTRING (6.611624 46.5339752, 6.6112425 46.5345142, 6.6111458 46.5346061)",,,,
45772528,Chemin d'Ombreval,residential,30,False,True,77.762,"LINESTRING (6.6111458 46.5346061, 6.6110941 46.5345334, 6.6105917 46.534289, 6.6104436 46.5342235, 6.610348 46.5341896)",,,,
52169345,Avenue de Chantegrive,residential,30,False,True,167.279,"LINESTRING (6.6111458 46.5346061, 6.6111341 46.5346472, 6.6111077 46.5347005, 6.6108447 46.5350883, 6.6104 46.5357439, 6.610352 46.5358368, 6.6103376 46.5359927)",,,,
52581907,Chemin Aimé-Steinlen,residential,30,False,False,79.276,"LINESTRING (6.6111458 46.5346061, 6.6112425 46.5345142, 6.611624 46.5339752)",,,,
45772528,Chemin d'Ombreval,residential,30,False,False,77.762,"LINESTRING (6.610348 46.5341896, 6.6104436 46.5342235, 6.6105917 46.534289, 6.6110941 46.5345334, 6.6111458 46.5346061)",,,,
"[545036744, 545036745, 220408482]",Route de Neuchâtel,primary,50,False,True,104.21499999999999,"LINESTRING (6.610348 46.5341896, 6.6102148 46.5344126, 6.6100651 46.5346443, 6.6098979 46.5348748, 6.6097983 46.5350091, 6.6097752 46.5350394)",5,"['2', '3']",,
30277921,Avenue de la Rapille,residential,30,False,False,102.313,"LINESTRING (6.6114034 46.5365466, 6.6113186 46.5364974, 6.6106492 46.5361328, 6.6104008 46.5360145, 6.6103376 46.5359927)",,,,
30277921,Avenue de la Rapille,residential,30,False,True,102.313,"LINESTRING (6.6103376 46.5359927, 6.6104008 46.5360145, 6.6106492 46.5361328, 6.6113186 46.5364974, 6.6114034 46.5365466)",,,,
52169345,Avenue de Chantegrive,residential,30,False,False,167.279,"LINESTRING (6.6103376 46.5359927, 6.610352 46.5358368, 6.6104 46.5357439, 6.6108447 46.5350883, 6.6111077 46.5347005, 6.6111341 46.5346472, 6.6111458 46.5346061)",,,,
220405684,Chemin du Vieux-Collège,residential,,True,False,16.049,"LINESTRING (6.6069927 46.5337941, 6.6070981 46.5339189)",,,,
28259817,Route de Cossonay,primary,50,False,False,59.762,"LINESTRING (6.6069927 46.5337941, 6.6070694 46.5337661, 6.6076823 46.5335415)",9,,,
"[545447254, 545447255]",Route de Cossonay,primary,50,False,True,148.226,"LINESTRING (6.6069927 46.5337941, 6.6066976 46.5338868, 6.6065272 46.5339387, 6.6063561 46.5339908, 6.6060913 46.5340917, 6.6057554 46.534239, 6.6055512 46.5343546, 6.6053393 46.5344745)",9,"['4', '3']",,
29381575,Avenue de Jolimont,residential,30,False,True,74.708,"LINESTRING (6.6030282 46.5370747, 6.6031529 46.5367905, 6.6032471 46.5365405, 6.6032897 46.5364275)",,,,
29381699,Avenue des Cerisiers,residential,30,False,False,129.899,"LINESTRING (6.6030282 46.5370747, 6.6030824 46.5370958, 6.604507 46.5376491)",,,destination,
28259815,,primary,50,True,False,10.254000000000001,"LINESTRING (6.6052197 46.5346407, 6.6051812 46.5346323, 6.6051477 46.5346172, 6.6051218 46.534596, 6.6051164 46.5345876)",,1,,roundabout
29991936,Route de Cossonay,primary,50,True,False,70.718,"LINESTRING (6.6052197 46.5346407, 6.6050822 46.5347238, 6.6049046 46.5349043, 6.6048459 46.5349631, 6.6047652 46.5350259, 6.6046093 46.5351111)",9,1,,
31964856,Chemin de l'Union,residential,30,False,False,83.92399999999999,"LINESTRING (6.6062048 46.5359317, 6.606346 46.5359514, 6.6063659 46.5359542, 6.606567 46.5359868, 6.6067015 46.5360072, 6.6072158 46.5360848, 6.6072766 46.5360929)",,,,
"[314926291, 917482637]",Route du Chasseur,tertiary,50,False,False,76.941,"LINESTRING (6.6062048 46.5359317, 6.6062019 46.5358622, 6.6061818 46.5357934, 6.6061011 46.5355996, 6.6060742 46.5355349, 6.6060064 46.5353721, 6.6059656 46.5352616)",,2,,
314926291,Route du Chasseur,tertiary,50,False,True,144.824,"LINESTRING (6.6062048 46.5359317, 6.6061927 46.5361426, 6.6061917 46.5361991, 6.6062001 46.5362543, 6.6063367 46.5368722, 6.6063992 46.5371783, 6.6064062 46.5372233)",,2,,
30072927,Chemin de Bel Orne,residential,30,False,True,94.20400000000001,"LINESTRING (6.6043446 46.5307612, 6.6044436 46.5309459, 6.6045674 46.5311386, 6.6047009 46.5313201, 6.6048576 46.5315303)",,,,
31793321,Chemin de la Moraine,residential,30,False,False,127.388,"LINESTRING (6.6043446 46.5307612, 6.6048904 46.5309172, 6.6059377 46.5310816)",,,destination,
31793325,Chemin des Chalets,residential,30,False,True,161.76399999999998,"LINESTRING (6.6043446 46.5307612, 6.6038603 46.5306006, 6.6037332 46.5305643, 6.6036832 46.5305825, 6.6031097 46.53141, 6.6030881 46.5314412)",,,destination,
31793326,Chemin de l'Ochette,residential,30,False,False,108.68,"LINESTRING (6.6043446 46.5307612, 6.603776 46.5316196, 6.6037555 46.5316506)",,,destination,
30072934,Chemin de Champrilly,residential,50,False,False,274.593,"LINESTRING (6.6073664 46.5307589, 6.607503 46.5308008, 6.6077477 46.5308686, 6.6077889 46.53088, 6.6081041 46.5309652, 6.608381 46.5310429, 6.6085298 46.5310796, 6.6086873 46.5311264, 6.6090018 46.5312071, 6.6093209 46.5312891, 6.6096206 46.5313818, 6.609648 46.5313924, 6.6098217 46.5314717, 6.6099879 46.5315735, 6.6100839 46.5316385, 6.6103842 46.5318492, 6.6104739 46.5319172)",,,,
45838866,Avenue de la Confrérie,residential,50,False,False,90.256,"LINESTRING (6.6073664 46.5307589, 6.6073521 46.5309107, 6.6071746 46.531398, 6.6071035 46.5315474)",,2,,
30072934,Chemin de Champrilly,residential,50,False,True,274.59299999999996,"LINESTRING (6.6104739 46.5319172, 6.6103842 46.5318492, 6.6100839 46.5316385, 6.6099879 46.5315735, 6.6098217 46.5314717, 6.609648 46.5313924, 6.6096206 46.5313818, 6.6093209 46.5312891, 6.6090018 46.5312071, 6.6086873 46.5311264, 6.6085298 46.5310796, 6.608381 46.5310429, 6.6081041 46.5309652, 6.6077889 46.53088, 6.6077477 46.5308686, 6.607503 46.5308008, 6.6073664 46.5307589)",,,,
"[28259817, 545447251]","['Route de Cossonay', 'Route de Prilly']",primary,50,False,True,174.15400000000002,"LINESTRING (6.6104739 46.5319172, 6.6098611 46.5323328, 6.6096899 46.5324537, 6.609271 46.5327495, 6.6091977 46.5327959, 6.6089856 46.53293, 6.608851 46.5330151)",9,,,
545447252,Route de Prilly,primary,50,False,False,57.744,"LINESTRING (6.6104739 46.5319172, 6.6106469 46.5317976, 6.6110065 46.5315492)",9,3,,
30281588,Chemin de Corminjoz,residential,30,False,False,106.68900000000001,"LINESTRING (6.6022799 46.5370119, 6.6022074 46.5369562, 6.6020908 46.536913, 6.6019832 46.5368732, 6.6014459 46.5366919, 6.6011658 46.5365974, 6.6010571 46.5365607)",,,,
"[37289421, 387720799]",Route de Cossonay,primary,50,False,False,101.05999999999999,"LINESTRING (6.6022799 46.5370119, 6.6025153 46.5368906, 6.6027763 46.5367529, 6.6028745 46.5366886, 6.6030225 46.5365918, 6.6032897 46.5364275)",9,,,
387720804,Route de Cossonay,primary,50,False,True,241.293,"LINESTRING (6.6022799 46.5370119, 6.6019324 46.5371894, 6.6010944 46.5376176, 6.6010067 46.5376624, 6.6006703 46.5378353, 6.59975 46.5383082)",9,2,,
173060738,Avenue du Château,residential,30,False,False,157.15,"LINESTRING (6.604507 46.5376491, 6.6050296 46.5362823)",,,,
29381699,Avenue des Cerisiers,residential,30,False,False,165.779,"LINESTRING (6.604507 46.5376491, 6.6054278 46.5380026, 6.6062909 46.5383363, 6.6064135 46.5383316)",,,destination,
29381699,Avenue des Cerisiers,residential,30,False,True,129.899,"LINESTRING (6.604507 46.5376491, 6.6030824 46.5370958, 6.6030282 46.5370747)",,,destination,
173060738,Avenue du Château,residential,30,False,True,81.122,"LINESTRING (6.604507 46.5376491, 6.6044125 46.5378343, 6.6041009 46.5383226)",,,,
759172195,Route de Cossonay,primary,50,False,False,3.811,"LINESTRING (6.6043079 46.5354076, 6.6043358 46.5353792)",9,3,,
