osmid,lanes,name,highway,oneway,reversed,length,geometry,access,maxspeed,junction
"[28290665, 998683935]","['2', '3']",Mühlebachstrasse,secondary,False,False,23.700000000000003,"LINESTRING (8.5677055 47.2965545, 8.5676464 47.2965261, 8.5675953 47.2964997, 8.5675759 47.2964842, 8.5675286 47.2964439, 8.5674883 47.2964037)",,,
"[1001368768, 28290665]",2,Mühlebachstrasse,secondary,False,False,160.838,"LINESTRING (8.5674883 47.2964037, 8.567479 47.2963877, 8.5674633 47.2963525, 8.5674488 47.2962758, 8.5674649 47.2961996, 8.5676373 47.2959125, 8.5676656 47.2958398, 8.5676682 47.2957939, 8.5676587 47.2957445, 8.5674812 47.2954503, 8.5673491 47.2952534, 8.5672543 47.2951159, 8.5672166 47.2950494)",,,
"[28290665, 998683935]","['2', '3']",Mühlebachstrasse,secondary,False,True,23.7,"LINESTRING (8.5674883 47.2964037, 8.5675286 47.2964439, 8.5675759 47.2964842, 8.5675953 47.2964997, 8.5676464 47.2965261, 8.5677055 47.2965545)",,,
"[687200139, 1217338948]",,Parkweg,residential,False,True,89.8,"LINESTRING (8.5674883 47.2964037, 8.5674071 47.2964068, 8.5673901 47.2964061, 8.567331 47.2964037, 8.5672056 47.2963529, 8.5670617 47.2962797, 8.5666915 47.2960713, 8.56652 47.2959713)",yes,,
38433077,,Bäckerstrasse,residential,False,True,52.098,"LINESTRING (8.566967 47.2935804, 8.5668981 47.2935917, 8.56688 47.2936078, 8.5668682 47.2936301, 8.5668806 47.2937715, 8.5668771 47.2937928, 8.5668478 47.2938146, 8.5666998 47.2938969, 8.566654 47.2939105, 8.5666251 47.2939154)",,,
85863484,2,Mühlebachstrasse,secondary,False,True,52.135999999999996,"LINESTRING (8.566967 47.2935804, 8.5669633 47.2936619, 8.5669752 47.2937583, 8.5670199 47.2940473)",,,
"[119787481, 1026333835]","['2', '3']",Mühlebachstrasse,secondary,False,False,55.41,"LINESTRING (8.566967 47.2935804, 8.5669715 47.2934812, 8.5669742 47.2934256, 8.5669838 47.2933638, 8.5670022 47.2933014, 8.5670256 47.2932402, 8.5670709 47.2931532, 8.567105 47.2930955)",,,
42773907,,Kirchbodenweg,residential,False,False,108.58,"LINESTRING (8.5672209 47.2927053, 8.567303 47.2926707, 8.5683 47.2921059, 8.5683342 47.2920871)",,30,
998683932,3,Mühlebachstrasse,secondary,False,False,17.302,"LINESTRING (8.5672209 47.2927053, 8.5671904 47.2926792, 8.567142 47.292652, 8.5670874 47.2926346, 8.5670327 47.2926234)",,,
"[1026333836, 998683932]","['2', '3']",Mühlebachstrasse,secondary,False,True,46.494,"LINESTRING (8.5672209 47.2927053, 8.5672429 47.2927323, 8.5672645 47.2927811, 8.5672673 47.2928206, 8.5672515 47.2928654, 8.5672218 47.2929161, 8.5671922 47.2929669, 8.567105 47.2930955)",,,
28015638,,Isisbüelstrasse,residential,False,True,232.137,"LINESTRING (8.5668646 47.2926269, 8.5668561 47.2925718, 8.566852 47.2925491, 8.5671849 47.2923175, 8.5672131 47.2922784, 8.5672199 47.2922355, 8.5671571 47.2919641, 8.5671544 47.291854, 8.5671758 47.2917652, 8.5672097 47.291684, 8.5672673 47.2916036, 8.5674762 47.2913914, 8.5675236 47.2913217, 8.5675496 47.2912574, 8.5675652 47.2908005, 8.567563 47.2907534, 8.5675608 47.2907055)",,,
"[119787482, 157213298]",2,Mühlebachstrasse,secondary,False,False,79.551,"LINESTRING (8.5668646 47.2926269, 8.5667652 47.2926698, 8.5665949 47.29279, 8.5662644 47.2930395, 8.566225 47.2930672, 8.5661917 47.2930855, 8.566143 47.2930948, 8.5660966 47.2930931)",,,
