osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,tunnel,geometry,name,junction
"[28898170, 28898179, 24049708, 28898174]",3,3;5,primary,50,False,"[False, True]",382.62699999999995,yes,yes,"LINESTRING (8.2108545 47.4868879, 8.2109691 47.4867281, 8.2110913 47.486506, 8.2111549 47.4863587, 8.2112115 47.4862203, 8.2112944 47.4859295, 8.2113251 47.4857721, 8.2113463 47.4856126, 8.2113589 47.4854584, 8.2113546 47.4852959, 8.211349 47.4851162, 8.2113307 47.4849688, 8.2113074 47.4848295, 8.2112421 47.4845562, 8.2111735 47.4843406, 8.210811 47.4835452)",,
"[27549548, 1174517734]","['4', '3']",3,primary,50,False,True,113.272,,,"LINESTRING (8.2108545 47.4868879, 8.2106234 47.486806, 8.2104835 47.4867664, 8.210284 47.4867161, 8.2099334 47.4866378, 8.2094384 47.4865477)",Zurzacherstrasse,
24049711,,,residential,50,True,False,70.62900000000002,,,"LINESTRING (8.2085075 47.4809625, 8.2083854 47.4810081, 8.2078557 47.4812065, 8.2077547 47.4812293, 8.2077225 47.4812321, 8.207667 47.4812283)",Bahnhofstrasse,
42364887,2,5,primary,50,False,True,73.16,,,"LINESTRING (8.2085075 47.4809625, 8.2082771 47.4806755, 8.2080397 47.4803855)",Bahnhofplatz,
"[42364888, 72293947, 460603923]",2,5,primary,50,False,False,87.01399999999998,,,"LINESTRING (8.2085075 47.4809625, 8.2085705 47.4810392, 8.2086871 47.4811921, 8.2087916 47.4813024, 8.2088958 47.4814109, 8.2090028 47.4815196, 8.2091153 47.4816274)",Bahnhofplatz,
9370898,,,residential,50,False,False,81.75799999999998,,,"LINESTRING (8.2080397 47.4803855, 8.207923 47.4804707, 8.2078762 47.4805481, 8.2078245 47.4807688, 8.2077696 47.4809381, 8.2077232 47.4810733)",Aarauerstrasse,
42364885,2,5,primary,50,False,True,43.305,,,"LINESTRING (8.2080397 47.4803855, 8.2079414 47.4801938, 8.2078866 47.4800471, 8.2078758 47.4800126)",Aarauerstrasse,
42364887,2,5,primary,50,False,False,73.16,,,"LINESTRING (8.2080397 47.4803855, 8.2082771 47.4806755, 8.2085075 47.4809625)",Bahnhofplatz,
4988515,2,5,primary,50,False,True,65.346,,,"LINESTRING (8.2073413 47.4792064, 8.2068215 47.4788971, 8.2066777 47.4788274)",Aarauerstrasse,
27494966,,,residential,50,True,False,97.347,,,"LINESTRING (8.2073413 47.4792064, 8.207279 47.4792496, 8.2072185 47.4793893, 8.2071663 47.4797354, 8.2071192 47.4800555)",Stapferstrasse,
42364885,2,5,primary,50,False,False,100.049,,,"LINESTRING (8.2073413 47.4792064, 8.2075356 47.479359, 8.2076704 47.4795105, 8.2077488 47.4796577, 8.2078131 47.4798209, 8.2078758 47.4800126)",Aarauerstrasse,
"[551144440, 28898177]",3,3;5,primary,50,False,False,106.721,,yes,"LINESTRING (8.210811 47.4835452, 8.2107441 47.4834744, 8.2105645 47.4830825, 8.2104167 47.4827545, 8.2103803 47.4826958, 8.2103383 47.4826441)",,
"[28898170, 28898179, 24049708, 28898174]",3,3;5,primary,50,False,"[False, True]",382.627,yes,yes,"LINESTRING (8.210811 47.4835452, 8.2111735 47.4843406, 8.2112421 47.4845562, 8.2113074 47.4848295, 8.2113307 47.4849688, 8.211349 47.4851162, 8.2113546 47.4852959, 8.2113589 47.4854584, 8.2113463 47.4856126, 8.2113251 47.4857721, 8.2112944 47.4859295, 8.2112115 47.4862203, 8.2111549 47.4863587, 8.2110913 47.486506, 8.2109691 47.4867281, 8.2108545 47.4868879)",,
"[407227096, 407227083, 24443141]","['2', '4']",3,primary,50,False,"[False, True]",125.192,,yes,"LINESTRING (8.2103383 47.4826441, 8.2105296 47.4826093, 8.2113559 47.4824287, 8.2115839 47.4823641, 8.2117618 47.482309, 8.2118323 47.482286, 8.2119008 47.4822605)",Zürcherstrasse,
"[551144440, 28898177]",3,3;5,primary,50,False,True,106.72099999999999,,yes,"LINESTRING (8.2103383 47.4826441, 8.2103803 47.4826958, 8.2104167 47.4827545, 8.2105645 47.4830825, 8.2107441 47.4834744, 8.210811 47.4835452)",,
"[694512872, 610026172, 43660543]",2,5,primary,50,False,False,145.93099999999998,,,"LINESTRING (8.2103383 47.4826441, 8.2102609 47.4825615, 8.2101878 47.482494, 8.2099981 47.4823512, 8.2098094 47.482208, 8.2096209 47.4820644, 8.2094358 47.4819196, 8.2093557 47.4818542, 8.2092785 47.4817879, 8.2091153 47.4816274)",,
