osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel,width
13071205,4,5;6,Georg-Friedrich-Heilmann-Strasse,primary,50,False,False,23.609,"LINESTRING (7.2488687 47.1424098, 7.248826 47.1423574, 7.2488024 47.1423195, 7.2487865 47.1422741, 7.2487751 47.14221)",,,,
713785756,2,6,Rue Adam-Göuffi / Adam-Göuffi-Strasse,primary,50,False,False,31.641,"LINESTRING (7.2488687 47.1424098, 7.2488382 47.1425027, 7.2488277 47.1425327, 7.248827 47.142555, 7.2488227 47.1426912)",,,,
713791514,2,5,Rue Georg-Friedrich-Heilmann / Georg-Friedrich-Heilmann-Strasse,primary,50,False,True,25.71,"LINESTRING (7.2488687 47.1424098, 7.2490143 47.1424819, 7.2490752 47.1425147, 7.2491396 47.1425494)",,,,
713791517,4,5;6,Rue Franche / Freiestrasse,primary,50,False,False,12.734,"LINESTRING (7.2487751 47.14221, 7.248755 47.1420963)",,,,
13071205,4,5;6,Georg-Friedrich-Heilmann-Strasse,primary,50,False,True,23.609,"LINESTRING (7.2487751 47.14221, 7.2487865 47.1422741, 7.2488024 47.1423195, 7.248826 47.1423574, 7.2488687 47.1424098)",,,,
713791515,,,Rue du Jura / Jurastrasse,residential,50,True,False,71.62899999999999,"LINESTRING (7.2487751 47.14221, 7.2485974 47.1422895, 7.2485705 47.1423031, 7.2482368 47.1424641, 7.248008 47.1425872)",,,,
31678136,,,Rue du Manège / Reitschulstrasse,residential,,False,True,44.489,"LINESTRING (7.2480539 47.14121, 7.2483773 47.1408758)",,,,
702147892,3,5;6,Rue du Canal / Kanalgasse,primary,50,False,False,37.463,"LINESTRING (7.2480539 47.14121, 7.2479611 47.1411648, 7.2478102 47.141104, 7.2476314 47.1410347)",,,,
"[790990760, 713795339, 713791516, 665726446]",3,5;6,Rue Franche / Freiestrasse,primary,50,False,True,95.943,"LINESTRING (7.2480539 47.14121, 7.248065 47.1412174, 7.2481872 47.1412988, 7.2483764 47.1414827, 7.2484787 47.1416035, 7.2486548 47.1418272, 7.2486736 47.1418561, 7.2487101 47.1419246, 7.2487162 47.1419378)",,,,
546322141,3,,Rue du Marché-Neuf / Neumarktstrasse,secondary,50,False,True,47.653,"LINESTRING (7.2476314 47.1410347, 7.2477375 47.1409341, 7.2477776 47.140889, 7.2479766 47.1406764)",,,,
660220294,1,,Rue des Tanneurs / Gerbergasse,residential,50,False,True,182.34300000000002,"LINESTRING (7.2476314 47.1410347, 7.247642 47.1411008, 7.2476382 47.1412541, 7.2476401 47.1414306, 7.2476466 47.1415564, 7.2476531 47.1416838, 7.2478351 47.1426662)",,,,
