osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,width,tunnel
284230844,Vordere Vorstadt,tertiary,50,False,True,33.132,"LINESTRING (8.044721 47.3913617, 8.0446065 47.3916494)",,,,,,
167437048,Rain,tertiary,50,False,True,119.09,"LINESTRING (8.044721 47.3913617, 8.0446224 47.3913154, 8.0444909 47.3912186, 8.044408 47.3911021, 8.0443859 47.391071, 8.044287 47.3908966, 8.0441911 47.3906639, 8.0441666 47.3905754, 8.0441449 47.3905159, 8.0440744 47.3904116)",,,,,,
24648159,Schachenallee,tertiary,30,False,False,40.769999999999996,"LINESTRING (8.0423435 47.3914169, 8.0422527 47.391392, 8.0420561 47.3913335, 8.0419311 47.3912918, 8.0418508 47.391265)",,,,,,
"[26125321, 26689986, 392154070]","['Stritengässli', 'Asylstrasse']","['residential', 'unclassified']",30,True,False,319.919,"LINESTRING (8.0423435 47.3914169, 8.0422931 47.3914846, 8.0421115 47.3915996, 8.0420102 47.3916535, 8.0419507 47.3916852, 8.0418264 47.3917519, 8.0417555 47.3918088, 8.0417209 47.3918677, 8.0417236 47.3919382, 8.0417322 47.3919831, 8.0417477 47.3921149, 8.0417337 47.3921726, 8.0416761 47.3922708, 8.0416124 47.3923616, 8.0415404 47.3924641, 8.0413607 47.3925899, 8.0411763 47.3925726, 8.0409913 47.39255, 8.0408365 47.3925188, 8.0407345 47.3924924, 8.0405266 47.3924157, 8.040462 47.392387, 8.0402393 47.3922625, 8.0399665 47.3921088, 8.0398487 47.3920475, 8.0397184 47.3919885, 8.0396155 47.3919478, 8.0395354 47.3918949)",1,,,,,
"[303856241, 4720236, 390475198]",Ziegelrain,tertiary,30,False,True,172.531,"LINESTRING (8.0423435 47.3914169, 8.0424913 47.3914318, 8.0427889 47.3914454, 8.0430634 47.3914735, 8.0434594 47.3915302, 8.0434769 47.3915327, 8.0437418 47.3915686, 8.043938 47.3915925, 8.0441875 47.391623, 8.0444207 47.3916408, 8.0445302 47.391646, 8.0446065 47.3916494)",,,,,,
24648167,Dammweg,residential,30,False,True,31.747999999999998,"LINESTRING (8.0397703 47.3886943, 8.0397987 47.3887327, 8.0399739 47.3889443)",,,,,,
"[339006251, 74859044]",Allmendweg,primary,50,False,False,269.797,"LINESTRING (8.0384947 47.3893379, 8.0385393 47.3896762, 8.03856 47.3898827, 8.0385478 47.3900246, 8.0385078 47.3902237, 8.0384324 47.3904362, 8.0383856 47.3905396, 8.038266 47.3908042, 8.0380598 47.3912716, 8.0378706 47.3916357, 8.0378398 47.3916914)","['2', '3']",5,,,,
"[390465368, 4720237]",Schanzrain,tertiary,50,False,True,119.656,"LINESTRING (8.0384947 47.3893379, 8.0385569 47.3893188, 8.0386927 47.3892814, 8.0394868 47.3890725, 8.0395946 47.3890441, 8.0398364 47.3889805, 8.0399739 47.3889443)",,,,,,
"[390465368, 4720237]",Schanzrain,tertiary,50,False,False,119.656,"LINESTRING (8.0399739 47.3889443, 8.0398364 47.3889805, 8.0395946 47.3890441, 8.0394868 47.3890725, 8.0386927 47.3892814, 8.0385569 47.3893188, 8.0384947 47.3893379)",,,,,,
24648167,Dammweg,residential,30,False,False,31.747999999999998,"LINESTRING (8.0399739 47.3889443, 8.0397987 47.3887327, 8.0397703 47.3886943)",,,,,,
