osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,bridge,width,access
28938733,Kirchenstrasse,residential,False,False,128.985,"LINESTRING (8.4301038 47.140354, 8.4298192 47.140291, 8.4295499 47.1402863, 8.4293785 47.1403153, 8.4291042 47.1403889, 8.4289067 47.1404358, 8.4286864 47.1405799, 8.4285702 47.1406448)",,,,,,,
778811432,Meierskappelerstrasse,secondary,False,False,78.88999999999999,"LINESTRING (8.4301038 47.140354, 8.43005 47.1404632, 8.4300278 47.1405043, 8.4299042 47.1407551, 8.4298646 47.1408568, 8.4298544 47.1408975, 8.4298552 47.1409462, 8.4298603 47.1410065, 8.4298641 47.1410368)",A,50,,,,,
778811432,Meierskappelerstrasse,secondary,False,True,200.197,"LINESTRING (8.4301038 47.140354, 8.4301573 47.1402269, 8.4303391 47.1398304, 8.4303924 47.1397092, 8.4305293 47.1394043, 8.4305523 47.1393532, 8.4306211 47.1391999, 8.430656 47.1391161, 8.4307422 47.138925, 8.430804 47.1387881, 8.4308738 47.1386315)",A,50,,,,,
"[321709657, 32765982]",Buonaserstrasse,"['secondary', 'living_street']",False,False,133.571,"LINESTRING (8.4298641 47.1410368, 8.4290703 47.1410734, 8.4289984 47.1410768, 8.4285971 47.1410924, 8.4282387 47.1411071, 8.4281014 47.1411077)",,"['20', '50']",,,,,
"[636381312, 276456626, 28272790]",Buonaserstrasse,tertiary,False,True,215.53099999999998,"LINESTRING (8.4298641 47.1410368, 8.4301238 47.1410266, 8.4301983 47.1410245, 8.4309966 47.1410016, 8.4312134 47.1409953, 8.4317913 47.1409665, 8.432049 47.1409554, 8.4325459 47.1409248, 8.4327068 47.1409102)",,50,,,,,
778811432,Meierskappelerstrasse,secondary,False,True,78.89,"LINESTRING (8.4298641 47.1410368, 8.4298603 47.1410065, 8.4298552 47.1409462, 8.4298544 47.1408975, 8.4298646 47.1408568, 8.4299042 47.1407551, 8.4300278 47.1405043, 8.43005 47.1404632, 8.4301038 47.140354)",A,50,,,,,
28272793,,primary,True,False,18.39,"LINESTRING (8.4261281 47.1397871, 8.4261162 47.1398192, 8.42609 47.139847, 8.4260523 47.1398679, 8.4260068 47.1398796, 8.4259582 47.139881)",,60,1,roundabout,,,
34022517,Luzernerstrasse,secondary,False,True,23.804,"LINESTRING (8.4261281 47.1397871, 8.4261999 47.1397953, 8.4262973 47.1398074, 8.4264295 47.1398443)",,50,,,,,
33112769,Luzernerstrasse,primary,False,False,5.72,"LINESTRING (8.4240256 47.1388232, 8.4240865 47.1388537)",4,60,3,,,,
28272793,,primary,True,False,26.423000000000002,"LINESTRING (8.4258849 47.1396948, 8.4259292 47.1396792, 8.4259786 47.1396742, 8.4260277 47.1396803, 8.4260713 47.1396968, 8.4261047 47.1397221, 8.4261243 47.1397533, 8.4261281 47.1397871)",,60,1,roundabout,,,
