osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref,width
5488425,1,secondary,50,roundabout,True,False,9.565,"LINESTRING (8.3620217 46.9597914, 8.3619902 46.9597904, 8.3619601 46.9597841, 8.3619332 46.9597729, 8.3619112 46.9597575)",,,
24891457,2,secondary,50,,False,False,115.662,"LINESTRING (8.3620217 46.9597914, 8.3620187 46.9598206, 8.3620143 46.9598629, 8.3619008 46.9600619, 8.3618706 46.9601005, 8.3615552 46.960514, 8.3615112 46.960576, 8.3614322 46.9606605, 8.3613773 46.9607265)",Stansstaderstrasse,,
5488425,1,secondary,50,roundabout,True,False,9.437000000000001,"LINESTRING (8.3619112 46.9597575, 8.3618921 46.9597324, 8.3618859 46.9597044, 8.3618934 46.9596766)",,,
5488426,1,secondary,50,,True,False,33.938,"LINESTRING (8.3619112 46.9597575, 8.3618595 46.9597622, 8.3617782 46.9597818, 8.3614891 46.9598559)",Ennetmooserstrasse,377,
5488425,1,secondary,50,roundabout,True,False,8.108,"LINESTRING (8.3618934 46.9596766, 8.3619101 46.9596551, 8.361935 46.9596378, 8.361966 46.9596258)",,,
5488425,1,secondary,50,roundabout,True,False,19.171,"LINESTRING (8.3621204 46.9596626, 8.3621352 46.9596895, 8.3621361 46.9597182, 8.3621231 46.9597456, 8.3620976 46.9597684, 8.3620625 46.9597843, 8.3620217 46.9597914)",,,
164365015,2,secondary,50,,False,True,151.448,"LINESTRING (8.3621204 46.9596626, 8.362144 46.9596423, 8.3621876 46.9596048, 8.3623056 46.9595035, 8.3623539 46.959462, 8.3625852 46.9592963, 8.3626355 46.9592687, 8.3629966 46.959074, 8.3630549 46.9590449, 8.3633368 46.9589184, 8.3633613 46.9589074, 8.3636423 46.9588012)",Stansstaderstrasse,,
"[172687606, 132327295]",,residential,20,,False,"[False, True]",89.22999999999999,"LINESTRING (8.3672109 46.957849, 8.3671507 46.9578898, 8.3670526 46.9579564, 8.3669655 46.9580028, 8.3667922 46.9580633, 8.3666387 46.9581102, 8.3665637 46.9581189, 8.3664994 46.9581417, 8.366209 46.9582496)",Bahnhofstrasse,,4
"[162868216, 1112988481]",1,secondary,30,,True,False,100.285,"LINESTRING (8.3672109 46.957849, 8.3667477 46.9575884, 8.3666818 46.9575503, 8.3665152 46.9574214, 8.3664609 46.9573675, 8.366289 46.9572106)",Bahnhofstrasse,377,4
5488425,1,secondary,50,roundabout,True,False,13.466,"LINESTRING (8.361966 46.9596258, 8.3620005 46.9596203, 8.362036 46.9596216, 8.3620695 46.9596295, 8.3620984 46.9596436, 8.3621204 46.9596626)",,,
"[173642283, 1151578764, 36794027, 24891564, 342535695]",,"['residential', 'living_street']",20,,False,"[False, True]",460.1779999999999,"LINESTRING (8.361966 46.9596258, 8.361964 46.959597, 8.3619628 46.9595793, 8.3619625 46.9595646, 8.3619695 46.9591694, 8.3619772 46.9587557, 8.3620287 46.9586737, 8.3620897 46.9585859, 8.3626275 46.9583591, 8.3627722 46.9583181, 8.3630308 46.9581795, 8.363171 46.9581118, 8.3633278 46.9580627, 8.3635522 46.9579894, 8.363663 46.9579614, 8.3637433 46.957933, 8.3640529 46.9577673, 8.3643327 46.957598, 8.3644766 46.957502, 8.3645661 46.9574438, 8.3646815 46.9573598, 8.3648524 46.9572292, 8.3649915 46.9571067, 8.3650378 46.9570459, 8.3650899 46.9569728, 8.3651095 46.9569526, 8.3651895 46.9568685, 8.3652081 46.9568497, 8.3653813 46.9566841, 8.365449 46.9566179)",Nägeligasse,,
710468766,2,secondary,50,,False,False,77.36500000000001,"LINESTRING (8.3642144 46.9605996, 8.3644339 46.9604875, 8.365025 46.9601777)",Robert-Durrer-Strasse,,
74007605,,residential,30,,False,False,151.064,"LINESTRING (8.3656864 46.9598624, 8.3656075 46.9598212, 8.3655542 46.9597966, 8.3650293 46.959554, 8.3649511 46.9595162, 8.3648325 46.9594542, 8.3644076 46.9592321, 8.3642544 46.959165, 8.3640366 46.9591136)",Büntistrasse,,
