osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,junction,ref
214761039,True,1,Poststrasse,residential,50,7.5,False,34.203,"LINESTRING (8.6182277 47.6818254, 8.6181215 47.6818429, 8.6180335 47.6818619, 8.6179378 47.681897, 8.6178098 47.6819445)",,
"[4576693, 1068485639]",False,2,Poststrasse,residential,30,"['12.0', '13.0']",True,85.961,"LINESTRING (8.6182277 47.6818254, 8.6183071 47.6818248, 8.6184135 47.6818345, 8.6185222 47.6818583, 8.6186029 47.6818859, 8.6186985 47.6819289, 8.6187835 47.6819867, 8.6188621 47.6820635, 8.6190484 47.6822883)",,
4580167,False,,,residential,30,6.0,True,46.599999999999994,"LINESTRING (8.6220626 47.6845258, 8.622215 47.6844996, 8.622417 47.684475, 8.6226758 47.6844586)",,
336649101,False,,Zentralstrasse,tertiary,30,14.0,False,49.972,"LINESTRING (8.6220626 47.6845258, 8.6220456 47.6844704, 8.6219996 47.6843468, 8.6219172 47.6841761, 8.621875 47.684095)",,
336649101,False,,Zentralstrasse,tertiary,30,14.0,True,65.106,"LINESTRING (8.6220626 47.6845258, 8.6221104 47.684685, 8.622133 47.6847827, 8.6221916 47.6850269, 8.6222075 47.685103)",,
336649101,False,,Zentralstrasse,tertiary,30,14.0,True,13.894,"LINESTRING (8.6218079 47.6839785, 8.621875 47.684095)",,
4580257,False,,Arthur Moser-Strasse,living_street,20,,False,53.028,"LINESTRING (8.6218079 47.6839785, 8.6214633 47.6840707, 8.62115 47.6841553)",,
1061060161,False,,Zentralstrasse,tertiary,30,12.0,False,27.46,"LINESTRING (8.6218079 47.6839785, 8.6217756 47.6839325, 8.6216538 47.6837544)",,
4576693,False,,Poststrasse,residential,30,12.0,False,59.894999999999996,"LINESTRING (8.6208035 47.682606, 8.620742 47.6826129, 8.6206469 47.6826486, 8.6203566 47.6827867, 8.6201333 47.6828929)",,
226223047,False,,Bahnhofstrasse,tertiary,50,6.4,True,74.831,"LINESTRING (8.6208035 47.682606, 8.6208559 47.6825981, 8.6209575 47.6825825, 8.6211183 47.6825801, 8.6211626 47.6825828, 8.6213375 47.6825934, 8.6217957 47.6826261)",,
