osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,tunnel,bridge,ref
4674544,Wallisellerstrasse,secondary,50,roundabout,True,False,10.926,"LINESTRING (8.5741691 47.4289187, 8.5741163 47.4289239, 8.5740813 47.4289248, 8.5740264 47.4289148)",,,,
14874831,Wallisellerstrasse,secondary,50,,True,False,66.77000000000001,"LINESTRING (8.5741691 47.4289187, 8.5741301 47.4290166, 8.5740594 47.4293313, 8.5739896 47.4295058)",,,,
4674544,Wallisellerstrasse,secondary,50,roundabout,True,False,17.851,"LINESTRING (8.5741621 47.4286915, 8.5742084 47.4287088, 8.5742501 47.4287394, 8.574274 47.4287777, 8.5742772 47.4288192)",,,,
"[1163708481, 1163708482]",Wallisellerstrasse,secondary,50,,False,True,69.2,"LINESTRING (8.5741621 47.4286915, 8.574168 47.4286698, 8.5741847 47.4286087, 8.5742512 47.4283433, 8.5742827 47.4282076, 8.5743138 47.4280777)",3,,,
4674544,Wallisellerstrasse,secondary,50,roundabout,True,False,7.757,"LINESTRING (8.5739239 47.4287848, 8.5739397 47.4287516, 8.5739688 47.4287228)",,,,
"[107414035, 10589957]",Thurgauerstrasse,secondary,"['60', '50']",,True,False,80.22200000000001,"LINESTRING (8.5739239 47.4287848, 8.5738054 47.4287341, 8.5737191 47.4286957, 8.5736607 47.4286703, 8.5735967 47.4286362, 8.5735342 47.4285993, 8.5730962 47.4283328)",2,,,
4674544,Wallisellerstrasse,secondary,50,roundabout,True,False,7.2010000000000005,"LINESTRING (8.5742772 47.4288192, 8.5742652 47.4288505, 8.5742413 47.4288786)",,,,
11419782,Ringstrasse,residential,50,,True,False,97.485,"LINESTRING (8.5742772 47.4288192, 8.5743997 47.4288427, 8.5745435 47.4288702, 8.5746695 47.4288895, 8.5748028 47.4289052, 8.574973 47.4289163, 8.5751567 47.42892, 8.5755562 47.4289077)",,,,
4674544,Wallisellerstrasse,secondary,50,roundabout,True,False,15.796999999999997,"LINESTRING (8.5739688 47.4287228, 8.5740078 47.4287013, 8.5740542 47.428688, 8.5741042 47.428684, 8.5741621 47.4286915)",,,,
10590008,,motorway_link,60,,True,False,23.179000000000002,"LINESTRING (8.5730962 47.4283328, 8.5729983 47.4283238, 8.5729693 47.4283221, 8.5729424 47.4283225, 8.5729259 47.4283247, 8.5728915 47.4283337, 8.5728619 47.4283433, 8.5728078 47.4283698)",,,,
