osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,bridge,tunnel,access
24826948,Rue de la Promenade,residential,30,False,False,146.333,"LINESTRING (6.8354994 47.099709, 6.8353221 47.0997262, 6.8352239 47.0997608, 6.8350678 47.0998159, 6.834631 47.0999757, 6.8342878 47.1001683, 6.8341237 47.1002816, 6.8340167 47.1003598, 6.8339282 47.1004304)",,,,,,
28340450,Rue de l'Hôtel-de-Ville,secondary,50,False,True,190.96,"LINESTRING (6.8354994 47.099709, 6.8353067 47.0998226, 6.835038 47.099981, 6.8349205 47.1000692, 6.8348224 47.1002022, 6.8346693 47.1004754, 6.8345663 47.1007319, 6.8345207 47.1008812, 6.8344756 47.1012029)",,,,,,
37530407,Rue de l'Hôtel-de-Ville,secondary,50,False,False,85.035,"LINESTRING (6.8354994 47.099709, 6.8356046 47.09964, 6.8356747 47.0995713, 6.8357355 47.0994891, 6.8357935 47.0993837, 6.8358411 47.099245, 6.8358916 47.0990129)",,,,,,
24510243,Rue de l'Hôtel-de-Ville,secondary,,True,False,19.731,"LINESTRING (6.8326826 47.1032795, 6.8325366 47.1034265)",,,,,,
"[24381710, 742277263]",Rue Fritz-Courvoisier,primary,50,True,False,116.036,"LINESTRING (6.8326826 47.1032795, 6.8327289 47.103305, 6.8328077 47.103375, 6.8328815 47.1034415, 6.83295 47.1034774, 6.8330645 47.1035333, 6.8338054 47.1036705, 6.8340245 47.1037092)",18,,,,,
875858196,Rue de l'Hôtel-de-Ville,secondary,50,False,False,45.938,"LINESTRING (6.8326826 47.1032795, 6.8327936 47.1031678, 6.833016 47.1029343)",,,,,,
781129564,Giratoire de la Grande Fontaine,primary,50,True,False,20.359,"LINESTRING (6.8301986 47.1029589, 6.8301544 47.1029615, 6.8301108 47.102956, 6.830071 47.1029428, 6.8300371 47.1029223, 6.8300126 47.1028964, 6.8299995 47.1028668)",18,1,roundabout,,,
24164948,Rue du Stand,living_street,20,False,False,22.634,"LINESTRING (6.8313991 47.1036358, 6.8312246 47.1038011)",,,,,,
"[38343400, 4719237]",Rue Neuve,primary,50,True,False,118.303,"LINESTRING (6.8313991 47.1036358, 6.8307415 47.1033149, 6.8305307 47.1031741, 6.8304223 47.1031021, 6.8301986 47.1029589)",18,,,,,
28228581,Rue des Musées,unclassified,,False,True,23.487,"LINESTRING (6.8309241 47.1015652, 6.8306834 47.1014319)",,,,,,
118544757,Rue de L'Arsenal,unclassified,,True,False,47.292,"LINESTRING (6.8309241 47.1015652, 6.8305237 47.1018917)",,,,,,
28228581,Rue des Musées,unclassified,,False,False,53.711,"LINESTRING (6.8309241 47.1015652, 6.8311004 47.1015766, 6.83163 47.1016145)",,,,,,
351516337,Rue du Grenier,unclassified,50,False,True,33.666,"LINESTRING (6.83163 47.1016145, 6.8317255 47.1013188)",,,,,,
28228581,Rue des Musées,unclassified,,False,True,53.711,"LINESTRING (6.83163 47.1016145, 6.8311004 47.1015766, 6.8309241 47.1015652)",,,,,,
37614516,Rue du Grenier,unclassified,50,False,False,27.43,"LINESTRING (6.83163 47.1016145, 6.8316086 47.1017715, 6.8316175 47.1018603)",,,,,,
35733892,Rue du Grenier,unclassified,50,False,True,8.362,"LINESTRING (6.832033 47.1000905, 6.8320429 47.1000156)",,,,,,
24826947,Rue du Banneret,residential,30,False,False,138.11299999999997,"LINESTRING (6.832033 47.1000905, 6.8332652 47.1006638, 6.8334625 47.1007556, 6.8335393 47.1007915)",,,,,,
37614515,Rue du Grenier,unclassified,50,False,False,39.444,"LINESTRING (6.832033 47.1000905, 6.832019 47.1001939, 6.8319937 47.1004442)",,,,,,
4719143,Rue des Régionaux,residential,,False,False,11.396,"LINESTRING (6.8321066 47.0995865, 6.8320353 47.099569, 6.8319652 47.0995513)",,,,,,
"[351513979, 35733892, 35733895]",Rue du Grenier,unclassified,50,False,False,47.956,"LINESTRING (6.8321066 47.0995865, 6.832093 47.0996747, 6.8320567 47.0999155, 6.8320543 47.0999299, 6.8320481 47.0999767, 6.8320429 47.1000156)",,,,yes,,
351513979,Rue du Grenier,unclassified,50,False,True,34.75,"LINESTRING (6.8321066 47.0995865, 6.8321403 47.0994822, 6.8321895 47.0993437, 6.8322145 47.0992828)",,,,,,
4719143,Rue des Régionaux,residential,,False,True,106.6,"LINESTRING (6.8284803 47.099421, 6.829858 47.0996198)",,,,,,
"[49804621, 49804623, 24521015]",Rue du Midi,unclassified,,False,False,55.768,"LINESTRING (6.8284803 47.099421, 6.8284512 47.0994762, 6.8284113 47.0995497, 6.8282682 47.0998284, 6.8282337 47.0998936)",,,,,yes,
25219403,Rue du Temple-Allemand,unclassified,30,False,False,49.143,"LINESTRING (6.8277237 47.1062752, 6.8281778 47.1065911)",,,,,,
44384789,Rue du Stand,unclassified,50,False,False,43.596,"LINESTRING (6.8277237 47.1062752, 6.8273181 47.1065536)",,,,,,
44384789,Rue du Stand,unclassified,50,False,True,51.577,"LINESTRING (6.8277237 47.1062752, 6.8281984 47.1059424)",,,,,,
37614520,Rue Numa-Droz,secondary,50,False,False,65.277,"LINESTRING (6.828909 47.1054601, 6.8287549 47.1053545, 6.8285771 47.1052373, 6.8282912 47.1050505)",,2,,,,
37614520,Rue Numa-Droz,secondary,50,False,True,65.547,"LINESTRING (6.828909 47.1054601, 6.8290452 47.1055536, 6.8295292 47.1058715)",,2,,,,
44384789,Rue du Stand,unclassified,50,False,False,75.95100000000001,"LINESTRING (6.828909 47.1054601, 6.8288682 47.1054879, 6.8287964 47.1055366, 6.8287143 47.1055922, 6.8281984 47.1059424)",,,,,,
44384789,Rue du Stand,unclassified,50,False,True,40.995,"LINESTRING (6.828909 47.1054601, 6.8289609 47.1054249, 6.8290128 47.1053897, 6.8291487 47.1052982, 6.8293021 47.1052067)",,,,,,
25275629,Rue du Marais,unclassified,50,False,False,113.26899999999999,"LINESTRING (6.8361161 47.1073181, 6.8361749 47.107277, 6.8362009 47.1072564, 6.8362718 47.1071999, 6.8365789 47.1069553, 6.8366768 47.1068774, 6.8367159 47.1068533, 6.8370425 47.1066091, 6.8371098 47.1065569)",,,,,,
34875012,Rue du Collège,primary,50,False,False,153.56099999999998,"LINESTRING (6.8361161 47.1073181, 6.8360495 47.1072764, 6.8355691 47.1069952, 6.8353139 47.106847, 6.8352171 47.1067901, 6.8351627 47.1067584, 6.8348344 47.1065674, 6.8347185 47.1065, 6.8345776 47.1064178)",18,,,,,
24047982,Rue de la Balance,primary,,False,False,24.747,"LINESTRING (6.831378 47.1047054, 6.8315436 47.1045135)",18,,,,,
875858182,Rue de la Balance,secondary,50,False,True,46.282,"LINESTRING (6.831378 47.1047054, 6.8310796 47.1050687)",,,,,,
24955838,Passage Louis-Robert,unclassified,,False,True,39.963,"LINESTRING (6.8310796 47.1050687, 6.8306452 47.1048644)",,,,,,
875858182,Rue de la Balance,secondary,50,False,False,46.282,"LINESTRING (6.8310796 47.1050687, 6.831378 47.1047054)",,,,,,
23885423,Rue du Versoix,secondary,50,False,False,25.386,"LINESTRING (6.8310796 47.1050687, 6.8309897 47.1052482, 6.8309714 47.1052848)",,,,,,
24827042,Rue du Puits,unclassified,30,True,False,126.928,"LINESTRING (6.8310796 47.1050687, 6.8315537 47.105344, 6.8323554 47.1058096)",,,,,,
23885415,Rue de Bel-Air,residential,40,False,False,75.19,"LINESTRING (6.830663 47.106657, 6.8299336 47.1071161)",,,,,,
23927162,Rue de la Charrière,secondary,40,False,False,16.623,"LINESTRING (6.830663 47.106657, 6.8305167 47.1065455)",,2,,,,
