osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,tunnel,bridge,junction
26773017,Zielstrasse,residential,30,False,False,6.021999999999999,"LINESTRING (9.4080498 47.3325553, 9.4080855 47.3325261, 9.4080935 47.3325108)",,,,,
38566260,Zielstrasse,tertiary,,False,True,24.596999999999998,"LINESTRING (9.4080498 47.3325553, 9.4080878 47.3325889, 9.4081148 47.3326368, 9.4081129 47.3327148, 9.4081086 47.3327643)",,,,,
40809563,Blattenheimatstrasse,tertiary,,False,False,194.46300000000002,"LINESTRING (9.4080498 47.3325553, 9.4080068 47.3325391, 9.4079267 47.3325255, 9.4074446 47.3325178, 9.4073535 47.3325095, 9.407328 47.3325043, 9.4072272 47.3324872, 9.4071131 47.332456, 9.4070216 47.3324229, 9.4062836 47.3321367, 9.4061985 47.3321027, 9.4061666 47.33209, 9.4060954 47.3320546, 9.4060501 47.3320161, 9.4059996 47.3319115, 9.4059868 47.3318342, 9.4059401 47.3317797)",,,,,
260848844,Hauptgasse,residential,30,False,True,3.613,"LINESTRING (9.4059401 47.3317797, 9.4059792 47.3317609)",,,,,
35194151,Hauptgasse,tertiary,,False,False,75.422,"LINESTRING (9.4059401 47.3317797, 9.4058322 47.3317588, 9.4057169 47.3317611, 9.404946 47.3318017)",,,,,
40809563,Blattenheimatstrasse,tertiary,,False,True,194.463,"LINESTRING (9.4059401 47.3317797, 9.4059868 47.3318342, 9.4059996 47.3319115, 9.4060501 47.3320161, 9.4060954 47.3320546, 9.4061666 47.33209, 9.4061985 47.3321027, 9.4062836 47.3321367, 9.4070216 47.3324229, 9.4071131 47.332456, 9.4072272 47.3324872, 9.407328 47.3325043, 9.4073535 47.3325095, 9.4074446 47.3325178, 9.4079267 47.3325255, 9.4080068 47.3325391, 9.4080498 47.3325553)",,,,,
26078227,Unterrainstrasse,residential,,False,True,96.044,"LINESTRING (9.4120103 47.3294565, 9.4118833 47.3294115, 9.4111642 47.3291603, 9.4110361 47.3291158, 9.4109795 47.3290873, 9.4109507 47.3290591, 9.4109343 47.3290221)",,,,,
545840300,Weissbadstrasse,tertiary,30,False,False,164.91199999999998,"LINESTRING (9.4120103 47.3294565, 9.4118826 47.3296175, 9.4116317 47.3299508, 9.4116151 47.3299713, 9.4115407 47.3300623, 9.411496 47.3301154, 9.4114709 47.3301452, 9.41127 47.3303793, 9.4111006 47.3306334, 9.4110895 47.3306584, 9.4110731 47.3306952, 9.4110407 47.3307815)",458,,,,
179756664,Gaiserstrasse,tertiary,30,False,True,6.745,"LINESTRING (9.4113522 47.3311258, 9.4112861 47.3310849)",,,,,
182845578,Brauereiplatz,residential,30,False,True,161.101,"LINESTRING (9.4113522 47.3311258, 9.4114612 47.3310837, 9.4114856 47.3310741, 9.4115785 47.331042, 9.4117493 47.3309904, 9.4118801 47.3309665, 9.4121505 47.3309306, 9.4123172 47.3308946, 9.4123327 47.3308912, 9.4124257 47.3308582, 9.4125901 47.3307778, 9.4131181 47.3304431, 9.4131694 47.3304223)",,,,,
