osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed,access
819945210,1,Via Traunter Plazzas,secondary,roundabout,True,False,12.643,"LINESTRING (9.8378838 46.4971143, 9.8378996 46.4971328, 9.8379094 46.4971519, 9.8379101 46.4971731, 9.8379027 46.497198, 9.8378854 46.4972204)",,
819945211,,Via Serlas,secondary,,False,True,46.480000000000004,"LINESTRING (9.8378838 46.4971143, 9.8379232 46.4970962, 9.8379569 46.4970808, 9.8379929 46.4970703, 9.8380379 46.4970613, 9.8380734 46.4970566, 9.8381095 46.4970547, 9.8384702 46.4970431)",30,
25303489,2,Via Traunter Plazzas,secondary,,False,False,127.066,"LINESTRING (9.8377423 46.4972516, 9.8377331 46.497286, 9.8377175 46.4973443, 9.8376952 46.4974366, 9.8376923 46.4974751, 9.837695 46.4975136, 9.8377053 46.4975503, 9.8377235 46.4975845, 9.8377477 46.497617, 9.8377762 46.4976427, 9.8378142 46.4976677, 9.8378799 46.4977069, 9.8379131 46.4977238, 9.8381617 46.4978511, 9.8384805 46.4980229, 9.8386144 46.4980977)",30,
894576902,1,Via Traunter Plazzas,secondary,roundabout,True,False,9.392999999999999,"LINESTRING (9.8377423 46.4972516, 9.8377061 46.4972386, 9.8376776 46.4972183, 9.83766 46.4971929)",,
25412020,,Via Maistra,tertiary,,False,True,47.311,"LINESTRING (9.8393119 46.4989611, 9.8392667 46.4989492, 9.8392215 46.4989339, 9.8391723 46.4989099, 9.8390994 46.4988639, 9.8390098 46.498788, 9.8389424 46.4987213, 9.8389117 46.4986736, 9.8389008 46.4986587)",30,
"[268146944, 268146940]",,"['Via Maistra', 'Plazza dal Mulin']",tertiary,,False,False,99.00999999999999,"LINESTRING (9.8393119 46.4989611, 9.8393561 46.4989654, 9.8394041 46.4989625, 9.8394489 46.4989542, 9.8397165 46.4988829, 9.8399439 46.4988181, 9.8399931 46.4988092, 9.8400427 46.4988051, 9.8400781 46.4988047, 9.8401282 46.4988106, 9.8401663 46.4988184, 9.8402198 46.4988394, 9.8402812 46.498863, 9.8404661 46.4989309, 9.840513 46.4989478)",30,
25303490,1,Via Traunter Plazzas,secondary,roundabout,True,False,12.8,"LINESTRING (9.83766 46.4971929, 9.8376551 46.497164, 9.8376641 46.4971355, 9.8376861 46.4971107, 9.837717 46.4970928)",,
1068735336,,Via Somplaz,tertiary,,False,False,123.244,"LINESTRING (9.83766 46.4971929, 9.837612 46.4972067, 9.837575 46.497211, 9.8375305 46.4972075, 9.8373736 46.4971776, 9.837322 46.4971669, 9.8372683 46.4971531, 9.8372194 46.497136, 9.8371657 46.4971126, 9.8370764 46.4970719, 9.8369955 46.4970196, 9.8369307 46.4969602, 9.83682 46.4968112, 9.8367339 46.496691, 9.8365959 46.4964926)",,
268146940,,Via Maistra,tertiary,,False,True,10.031,"LINESTRING (9.8415642 46.4995374, 9.8414758 46.4994708)",30,
25366042,,Via Brattas,residential,,False,False,1049.5990000000004,"LINESTRING (9.8415642 46.4995374, 9.8415506 46.4995571, 9.8415456 46.4995762, 9.8415466 46.4995918, 9.8415563 46.499611, 9.8416527 46.4997333, 9.8417049 46.4997906, 9.8417157 46.4998086, 9.8417191 46.499827, 9.841716 46.4998462, 9.841707 46.499864, 9.8416742 46.499922, 9.841668 46.4999421, 9.8416714 46.4999624, 9.8416812 46.4999818, 9.8416976 46.4999965, 9.8418009 46.5000691, 9.842235 46.5003614, 9.8427723 46.5007279, 9.8430147 46.5009105, 9.8430721 46.500952, 9.8431114 46.5009891, 9.8431332 46.5010199, 9.8431467 46.5010528, 9.8431657 46.5011331, 9.8432185 46.5013631, 9.8432216 46.5014008, 9.8432192 46.5014437, 9.8432108 46.5014878, 9.8431921 46.5015267, 9.8431659 46.5015528, 9.8431335 46.5015709, 9.8430951 46.5015842, 9.8430455 46.5015885, 9.8429929 46.5015873, 9.8429451 46.501578, 9.8429083 46.5015606, 9.8428782 46.5015371, 9.8425793 46.5012712, 9.8425338 46.5012387, 9.8424725 46.5012032, 9.842379 46.5011601, 9.842261 46.501113, 9.8421832 46.5010914, 9.8421415 46.5010862, 9.8421071 46.5010861, 9.8420734 46.5010919, 9.8420498 46.5011006, 9.8420337 46.5011136, 9.842025 46.5011313, 9.8420197 46.5011534, 9.8420207 46.5011773, 9.8421466 46.5016372, 9.8421499 46.5016715, 9.8421468 46.5016932, 9.8421368 46.5017156, 9.842121 46.5017315, 9.8420998 46.5017433, 9.84207 46.5017505, 9.8420395 46.5017494, 9.842016 46.5017428, 9.8419958 46.5017322, 9.8419754 46.5017144, 9.8418627 46.50156, 9.8417832 46.5014882, 9.8416042 46.5013538, 9.8413409 46.5011827, 9.8410665 46.5009735, 9.8409727 46.5009111, 9.8408461 46.5008403, 9.8407347 46.5007854, 9.8405819 46.5007203, 9.8405575 46.5007022, 9.8405405 46.5006825, 9.840532 46.5006581, 9.8405296 46.5006345, 9.8405357 46.5006089, 9.8405543 46.5005869, 9.8405783 46.5005694, 9.8406061 46.5005556, 9.8406351 46.500546, 9.8406706 46.5005397, 9.8407085 46.5005374, 9.840974 46.500557, 9.8410175 46.5005593, 9.8410516 46.5005563, 9.8410968 46.5005463, 9.8411278 46.500534, 9.8411504 46.5005188, 9.8411649 46.5004998, 9.8411702 46.5004825, 9.8411698 46.5004621, 9.8411613 46.5004393, 9.8411476 46.5004197, 9.8411313 46.5004043, 9.8409866 46.5003132, 9.840743 46.5001824, 9.8407134 46.5001697, 9.8406727 46.5001583, 9.8406345 46.5001528, 9.8405887 46.5001535, 9.8404433 46.5001666, 9.8403915 46.5001704, 9.8403526 46.5001684, 9.8403094 46.5001601, 9.8402789 46.5001479, 9.8400439 46.5000294, 9.8400221 46.5000111, 9.8400062 46.4999887, 9.8399993 46.4999662, 9.8399978 46.4999389, 9.8400031 46.4999134, 9.8400155 46.4998892, 9.8400395 46.4998656, 9.8400685 46.4998472, 9.8401085 46.4998351, 9.8401612 46.4998284, 9.8402292 46.4998283, 9.8403182 46.4998338, 9.8404051 46.4998455, 9.8405049 46.4998687, 9.8407214 46.4999295, 9.8407923 46.4999457, 9.8408518 46.4999515, 9.8409093 46.4999533, 9.8409455 46.4999468, 9.8409741 46.4999372, 9.8409959 46.49992, 9.8410024 46.4998998, 9.8409994 46.4998797, 9.8409852 46.4998563, 9.8409604 46.4998287, 9.8409314 46.4998004, 9.8408974 46.4997739, 9.8408593 46.4997491, 9.8407606 46.499693, 9.8405705 46.4995876, 9.8402537 46.4994202, 9.8401699 46.499378, 9.8401181 46.4993615, 9.8400696 46.499354, 9.8399916 46.4993543, 9.8399128 46.4993582, 9.8398249 46.4993689, 9.8397508 46.4993856, 9.8396835 46.4994061, 9.8396528 46.4994202, 9.8396267 46.499438, 9.8395907 46.4994653, 9.8395659 46.4994728, 9.83954 46.4994749, 9.839515 46.4994714, 9.8394982 46.4994607, 9.8394754 46.4994298)",30,
