osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,access
"[1240810601, 148908741]",Blumenrain,residential,30,False,True,77.888,"LINESTRING (7.5861313 47.5615468, 7.5861913 47.561473, 7.5862335 47.5614268, 7.586255 47.5614032, 7.5862859 47.5613722, 7.5863868 47.5612831, 7.5865516 47.5611662, 7.5867913 47.561012)",,,
479835154,Petersgraben,residential,30,False,False,49.655,"LINESTRING (7.5861313 47.5615468, 7.586117 47.5615349, 7.5859111 47.5613634, 7.5857739 47.5612708, 7.5856927 47.5612131)",,,
148908748,Blumenrain,residential,30,False,True,61.474,"LINESTRING (7.5867913 47.561012, 7.5870166 47.5608552, 7.5870985 47.5607834, 7.5872095 47.5606644, 7.5872714 47.56057)",,,
"[1240810601, 148908741]",Blumenrain,residential,30,False,False,77.88799999999999,"LINESTRING (7.5867913 47.561012, 7.5865516 47.5611662, 7.5863868 47.5612831, 7.5862859 47.5613722, 7.586255 47.5614032, 7.5862335 47.5614268, 7.5861913 47.561473, 7.5861313 47.5615468)",,,
"[172612128, 148908746]","['Schifflände', 'Blumenrain']",residential,30,False,"[False, True]",82.784,"LINESTRING (7.5872714 47.56057, 7.5874326 47.5603426, 7.5874556 47.5603137, 7.5875632 47.5601789, 7.5876522 47.5600761, 7.5877094 47.5600215, 7.5877662 47.5599883, 7.5878283 47.5599563, 7.5878488 47.5599462)",,,
148908748,Blumenrain,residential,30,False,False,61.47399999999999,"LINESTRING (7.5872714 47.56057, 7.5872095 47.5606644, 7.5870985 47.5607834, 7.5870166 47.5608552, 7.5867913 47.561012)",,,
"[172612133, 801956510]",Spiegelgasse,residential,30,False,False,149.36899999999997,"LINESTRING (7.5872714 47.56057, 7.5872449 47.5605552, 7.5872139 47.5605344, 7.5871873 47.5605135, 7.5871507 47.5604714, 7.5870303 47.5603409, 7.5869718 47.5602691, 7.5869371 47.560191, 7.5868884 47.5599568, 7.5868576 47.5597845, 7.5868305 47.5595838, 7.5868106 47.5594103, 7.5868078 47.559367, 7.5868068 47.5593253, 7.5868085 47.5592989)",3,,
19752015,Herbergsgasse,living_street,20,True,False,102.44000000000001,"LINESTRING (7.5850954 47.5605165, 7.5860978 47.5600071, 7.5861907 47.5599669)",,,
23472645,Petersgraben,residential,30,True,False,64.20400000000001,"LINESTRING (7.5850954 47.5605165, 7.5848969 47.560205, 7.5848019 47.5600515, 7.5847604 47.5599852)",,,
"[13289477, 1217344775]",Petersgraben,residential,30,True,False,31.572000000000003,"LINESTRING (7.5840424 47.5567876, 7.5840469 47.5568304, 7.5840657 47.5568745, 7.5841235 47.5569705, 7.5841294 47.5569936, 7.5841308 47.5570261, 7.5841276 47.5570616)",,,
