osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,tunnel,bridge
41266022,True,2,7,St.-Georgen-Strasse,primary,50,False,87.912,"LINESTRING (8.7275531 47.5024875, 8.7263829 47.5024985)",,,
8137023,False,2,,Theaterstrasse,unclassified,50,True,157.132,"LINESTRING (8.7275531 47.5024875, 8.7274672 47.5024022, 8.7272175 47.5021257, 8.7271466 47.5020469, 8.7267514 47.5016173, 8.7266515 47.5015041, 8.7266171 47.501473, 8.7264105 47.5013063)",,,
4249545,False,,,Gärtnerstrasse,residential,30,False,190.40699999999998,"LINESTRING (8.7337237 47.4974493, 8.7337821 47.4975047, 8.733794 47.497516, 8.7339653 47.4977568, 8.7340746 47.4979259, 8.7341234 47.4979769, 8.7341572 47.498005, 8.734221 47.4980203, 8.734285 47.4980251, 8.7344552 47.498015, 8.7349569 47.4979836, 8.7351196 47.4979751, 8.735749 47.4979421)",,,
315171367,False,3,15,Tösstalstrasse,primary,50,False,135.943,"LINESTRING (8.7337237 47.4974493, 8.7340016 47.4973, 8.7343768 47.4970984, 8.7350343 47.496767, 8.7351601 47.4967061)",,,
"[1003648025, 582203935, 144588676, 315171367]",False,3,15,Tösstalstrasse,primary,50,True,102.19999999999999,"LINESTRING (8.7337237 47.4974493, 8.7335946 47.4975182, 8.7333132 47.4976554, 8.73326 47.4976825, 8.7330146 47.4978075, 8.7327918 47.4979132, 8.7326267 47.4979926)",,,
51754321,True,2,7,St.-Georgen-Strasse,primary,30,False,51.452,"LINESTRING (8.7305809 47.5025085, 8.7304817 47.5025082, 8.7304477 47.5025081, 8.7300223 47.5025047, 8.729896 47.5025037)",,,
"[315171338, 783564451, 254710140, 133794903]",False,"['2', '3']",15,Lindstrasse,primary,50,False,142.025,"LINESTRING (8.7305809 47.5025085, 8.7306046 47.502422, 8.7307025 47.5019789, 8.730719 47.5019128, 8.730757 47.5017466, 8.730821 47.5014624, 8.7308708 47.5012464)",,,
315171367,False,3,15,Tösstalstrasse,primary,50,True,4.465,"LINESTRING (8.7352084 47.4966827, 8.7351601 47.4967061)",,,
4249793,False,,,Adlerstrasse,residential,30,False,154.23,"LINESTRING (8.7352084 47.4966827, 8.735306 47.4967643, 8.7355587 47.4969754, 8.7357351 47.4971218, 8.7357526 47.4971676, 8.7357513 47.4973958, 8.7357537 47.4976893, 8.7357508 47.4978413, 8.735749 47.4979421)",,,
"[4249562, 32599461, 315171390]",False,"['2', '3']",,Zeughausstrasse,tertiary,50,False,86.01400000000001,"LINESTRING (8.7309398 47.4978662, 8.7309946 47.4977498, 8.7310113 47.4976967, 8.7310701 47.4974153, 8.7310547 47.4972169, 8.7310574 47.4971807, 8.7310737 47.4971437, 8.731099 47.4971082)",,,
"[409000992, 8136998, 777280397, 64261814, 901280567, 64261817, 1207938942]",False,"['2', '4', '3']",1,Technikumstrasse,primary,50,True,237.45499999999998,"LINESTRING (8.7309398 47.4978662, 8.7307765 47.4979033, 8.7307135 47.4979141, 8.7306297 47.4979193, 8.7305686 47.4979193, 8.7305303 47.4979193, 8.7302926 47.4978998, 8.7294983 47.497826, 8.7294666 47.497823, 8.7293658 47.4978137, 8.7288216 47.4977631, 8.7282737 47.4977122, 8.7279402 47.4976812, 8.7278145 47.4976758)",yes,,
30164092,False,4,1,Technikumstrasse,primary,50,False,64.242,"LINESTRING (8.7309398 47.4978662, 8.7311902 47.4978045, 8.7317461 47.4976738)",,,
22702459,False,2,,Schaffhauserstrasse,secondary,50,False,36.944,"LINESTRING (8.7245331 47.5026325, 8.7246324 47.5027884, 8.7247428 47.5029328)",,,
