osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,bridge,access,junction
25809311,False,Poststrasse,living_street,20,False,53.019999999999996,"LINESTRING (8.7053325 47.2074004, 8.7053858 47.2074531, 8.7054644 47.2075718, 8.705529 47.2077058, 8.7055513 47.2078467)",,,,,
25809449,False,Dorfbachstrasse,living_street,20,False,83.259,"LINESTRING (8.7053325 47.2074004, 8.7051293 47.2073025, 8.7047649 47.2072322, 8.7043666 47.2070573)",,,,,
"[541950968, 42886321, 42886322]",False,Dorfstrasse,"['living_street', 'residential']","['20', '50']",True,104.249,"LINESTRING (8.7053325 47.2074004, 8.7058875 47.2069462, 8.7059402 47.2069063, 8.7060087 47.2068523, 8.7060941 47.2067872, 8.7061596 47.2067297, 8.7062079 47.2066766)",,,,,
"[149861491, 1172488012, 153144055]",False,Dorfstrasse,living_street,20,False,50.341,"LINESTRING (8.7053325 47.2074004, 8.7052132 47.207426, 8.7050802 47.207522, 8.7049803 47.2076, 8.7049357 47.2076451, 8.7049004 47.2077195)",,,,,
8081518,False,Poststrasse,residential,30,True,18.491,"LINESTRING (8.7067702 47.2087499, 8.7067206 47.2087303, 8.7066742 47.2087074, 8.706626 47.2086777, 8.706583 47.2086446)",,,,,
"[1181073912, 1181073911, 1181073910, 149670471]",False,Seestrasse,primary,60,True,230.828,"LINESTRING (8.7067702 47.2087499, 8.7067501 47.2087672, 8.7063588 47.2091042, 8.7062543 47.20919, 8.7061542 47.2092723, 8.7061158 47.2093035, 8.7058436 47.2095245, 8.7054877 47.2098082, 8.7053905 47.2098843, 8.7053513 47.2099214, 8.7048724 47.2103754)","['2', '3']",3,,,
"[149861562, 1181073909]",False,Seestrasse,primary,60,False,89.49499999999999,"LINESTRING (8.7067702 47.2087499, 8.7069153 47.2085738, 8.7069341 47.208551, 8.7069917 47.2084742, 8.7070325 47.2083837, 8.7070624 47.2082736, 8.7070726 47.2081532, 8.7070943 47.208066, 8.7071153 47.2079923)","['2', '3']",3,,,
25809449,False,Dorfbachstrasse,living_street,20,False,9.379,"LINESTRING (8.7020309 47.2062271, 8.7019202 47.2062653)",,,,,
25809299,False,Etzelstrasse,residential,50,True,36.446,"LINESTRING (8.7020309 47.2062271, 8.7019454 47.2061176, 8.7018324 47.2059288)",,,,,
25809449,False,Dorfbachstrasse,living_street,20,True,47.727999999999994,"LINESTRING (8.7020309 47.2062271, 8.7021733 47.2063086, 8.702295 47.2063475, 8.7025823 47.2064286)",,,,,
25802256,False,Juchmattstrasse,residential,50,False,92.636,"LINESTRING (8.7018324 47.2059288, 8.7012926 47.2058033, 8.7010756 47.2058012, 8.7008623 47.2058599, 8.7007374 47.2059734)",,,,,
25809299,False,Etzelstrasse,residential,50,False,36.446,"LINESTRING (8.7018324 47.2059288, 8.7019454 47.2061176, 8.7020309 47.2062271)",,,,,
25809299,False,Etzelstrasse,residential,50,True,193.077,"LINESTRING (8.7018324 47.2059288, 8.702071 47.2058025, 8.7023387 47.2056324, 8.7026992 47.2053234, 8.7033409 47.204972, 8.7035764 47.2048491, 8.703698 47.2047541)",,,,,
44648279,False,Bergstrasse,residential,50,False,8.088,"LINESTRING (8.6995971 47.2072242, 8.6996545 47.2072856)",,,,,
25802254,False,Bodenstrasse,residential,50,False,134.063,"LINESTRING (8.6995971 47.2072242, 8.6994951 47.2072564, 8.6994464 47.2072931, 8.699429 47.2073391, 8.6994125 47.2074211, 8.6995071 47.2079001, 8.6995719 47.2081993, 8.6995554 47.2082936, 8.699514 47.2083565)",,,,,
44648279,False,Bergstrasse,residential,50,True,72.933,"LINESTRING (8.6995971 47.2072242, 8.6995594 47.2071525, 8.6995383 47.2070934, 8.6994522 47.2068528, 8.6993722 47.2066335, 8.6993534 47.206606, 8.6993432 47.2065926)",,,,,
44648279,False,Bergstrasse,residential,50,False,72.627,"LINESTRING (8.7010894 47.2075811, 8.7012804 47.2076652, 8.7017482 47.2079651, 8.7018322 47.2079882)",,,,,
