osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,width,bridge,access
26526418,9;21,primary,50,roundabout,True,False,23.027,"LINESTRING (7.0785124 46.1033264, 7.0784868 46.1032968, 7.0784755 46.1032632, 7.0784796 46.1032288, 7.0784987 46.1031969, 7.0785309 46.1031706, 7.0785732 46.1031524)",,,,,
"[1019091544, 26562866, 1019091541, 1019091543]",9;21,primary,50,,False,False,157.929,"LINESTRING (7.0785124 46.1033264, 7.0783938 46.1033798, 7.0782515 46.1034383, 7.0781774 46.1034716, 7.0781079 46.1035075, 7.0779878 46.1035785, 7.0777138 46.1037562, 7.0776197 46.1038175, 7.0770641 46.1041752, 7.0769581 46.1042451)",2,Rue du Léman,,,
26526417,,residential,30,,False,True,112.833,"LINESTRING (7.0779277 46.1050011, 7.0779745 46.1049687, 7.0789868 46.1043008)",,Rue de la Moya,,,
"[1065807113, 531275851]",,tertiary,30,,False,False,87.61800000000001,"LINESTRING (7.0779277 46.1050011, 7.0785512 46.1054439, 7.0787006 46.1055776)",2,Avenue de la Gare,,,
531275851,,tertiary,30,,False,True,104.255,"LINESTRING (7.0779277 46.1050011, 7.0771095 46.1044123, 7.0770331 46.1043709, 7.0769631 46.1043503)",,Avenue de la Gare,,,
169154706,,tertiary_link,30,,False,False,261.966,"LINESTRING (7.0787006 46.1055776, 7.0786071 46.105638, 7.078568 46.1056588, 7.0785158 46.1056879, 7.078471 46.1057042, 7.0784176 46.105716, 7.0783565 46.1057245, 7.0775898 46.1058381, 7.0775426 46.1058391, 7.0774915 46.1058337, 7.0774534 46.10582, 7.0774234 46.1058001, 7.0773759 46.1057505, 7.0773143 46.1056707, 7.0772272 46.1055386, 7.0772061 46.105513, 7.0771401 46.1054284, 7.0771004 46.1053788, 7.0770691 46.1053397, 7.0769924 46.1052634, 7.0768904 46.1051905, 7.0768256 46.1051442, 7.0767197 46.1050685, 7.0764964 46.1049185, 7.0763245 46.1048031, 7.0762529 46.1047471, 7.0761997 46.1047055)",,Rue de la Maladière,,,
"[1065807113, 531275851]",,tertiary,30,,False,True,87.61800000000001,"LINESTRING (7.0787006 46.1055776, 7.0785512 46.1054439, 7.0779277 46.1050011)",2,Avenue de la Gare,,,
1037427835,,residential,30,,False,False,71.04,"LINESTRING (7.0760235 46.1070179, 7.0761839 46.1069948, 7.0765659 46.1069371, 7.0767596 46.1068793, 7.0768349 46.1068544, 7.076897 46.1068286)",,Rue des Bonnes Luites,,,
"[1037427836, 1057386398]",,secondary,50,,False,True,192.332,"LINESTRING (7.0760235 46.1070179, 7.0758627 46.1064795, 7.0757714 46.1061874, 7.075716 46.1059844, 7.0755225 46.1053235)","['2', '3']",Avenue de Fully,,,
208028226,9;21,primary,50,,False,False,12.671,"LINESTRING (7.0753105 46.1051409, 7.0751692 46.1051991)",3,Rue du Léman,,,
