osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,access,tunnel
363102851,Viale Stefano Franscini,residential,50,False,True,77.001,"LINESTRING (9.0217937 46.1894437, 9.0217087 46.1894888, 9.020924 46.1897842)",,,,,
1101400108,Via Lugano,residential,50,False,True,16.466,"LINESTRING (9.0217937 46.1894437, 9.0218333 46.1893754, 9.0218282 46.189301)",,,,,
183554522,Largo Elvezia,residential,,False,True,60.258,"LINESTRING (9.0254307 46.1931433, 9.0247004 46.1933385)",,,,,
"[1246170018, 8102092]",Via Claudio Pellandini,tertiary,,False,False,122.583,"LINESTRING (9.0256466 46.194012, 9.0254172 46.1941535, 9.0253486 46.1941975, 9.0250776 46.194371, 9.024981 46.1944261, 9.0249119 46.1944585, 9.0248454 46.1944836, 9.0245147 46.1945923, 9.0243616 46.1946469)",3,,,,
1246170018,Via Claudio Pellandini,tertiary,,False,True,58.099,"LINESTRING (9.0256466 46.194012, 9.0260798 46.1937076, 9.0261785 46.1936413)",,,,,
35210459,Viale Stazione,tertiary,,False,False,32.482,"LINESTRING (9.0261785 46.1936413, 9.0264881 46.1938398)",,,,,
110522365,Viale Stazione,residential,,True,False,79.872,"LINESTRING (9.0261785 46.1936413, 9.0254307 46.1931433)",,,,,
1246170018,Via Claudio Pellandini,tertiary,,False,False,58.099,"LINESTRING (9.0261785 46.1936413, 9.0260798 46.1937076, 9.0256466 46.194012)",,,,,
8102090,Viale Portone,primary,50,True,False,50.911,"LINESTRING (9.0243616 46.1946469, 9.024201 46.1945683, 9.0238603 46.1943495)",2,2;13,,,
"[1246170018, 8102092]",Via Claudio Pellandini,tertiary,,False,True,122.583,"LINESTRING (9.0243616 46.1946469, 9.0245147 46.1945923, 9.0248454 46.1944836, 9.0249119 46.1944585, 9.024981 46.1944261, 9.0250776 46.194371, 9.0253486 46.1941975, 9.0254172 46.1941535, 9.0256466 46.194012)",3,,,,
246308134,Via Generale Henri Guisan,primary,50,False,True,70.097,"LINESTRING (9.0243616 46.1946469, 9.0245143 46.1947981, 9.0245436 46.1948344, 9.0245651 46.1948611, 9.0246682 46.1949961, 9.0248008 46.1951972)",4,2;13,,,
35193021,Viale Stefano Franscini,residential,50,False,False,145.839,"LINESTRING (9.0173579 46.19111, 9.0174544 46.191071, 9.017536 46.1910415, 9.0175835 46.1910243, 9.0180582 46.1908525, 9.0181779 46.1908092, 9.0190215 46.1904827)",,,,,
44222578,Via Franco Zorzi,primary,50,False,True,267.84299999999996,"LINESTRING (9.0173579 46.19111, 9.017226 46.1909287, 9.0165436 46.1899908, 9.0157927 46.1889587)",3,2;13,,,
990136225,Via Emilio Motta,primary,50,False,False,46.236999999999995,"LINESTRING (9.0173579 46.19111, 9.0174614 46.1912498, 9.017632 46.19148)",2,2;13,,,
35193021,Viale Stefano Franscini,residential,50,False,True,145.83900000000003,"LINESTRING (9.0190215 46.1904827, 9.0181779 46.1908092, 9.0180582 46.1908525, 9.0175835 46.1910243, 9.017536 46.1910415, 9.0174544 46.191071, 9.0173579 46.19111)",,,,,
158829385,Via Canonico Ghiringhelli,residential,,False,True,118.55,"LINESTRING (9.0190215 46.1904827, 9.0190028 46.1904564, 9.0189688 46.1904082, 9.0183468 46.1895243)",,,,,
183551916,Via Canonico Ghiringhelli,residential,,True,False,67.416,"LINESTRING (9.0190215 46.1904827, 9.0190895 46.1905673, 9.0191162 46.1906096, 9.0191828 46.1907153, 9.0193663 46.1910062, 9.019384 46.1910342)",,,,,
