osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
60610912,2,7,Baslerstrasse,primary,50,False,False,91.869,"LINESTRING (8.055283 47.5577103, 8.055409 47.5579177, 8.0554767 47.5580122, 8.0556391 47.5582391, 8.0558312 47.5584471)",,,
1238034053,,,Gartenweg,residential,30,False,False,40.001999999999995,"LINESTRING (8.055283 47.5577103, 8.0552022 47.5577314, 8.0548471 47.557914)",4.5,,
1268139382,3,7,Baslerstrasse,primary,50,False,False,23.683,"LINESTRING (8.0582568 47.559654, 8.0585541 47.5597255)",,,
60610912,2,7,Baslerstrasse,primary,50,False,True,93.90100000000001,"LINESTRING (8.0582568 47.559654, 8.0579753 47.5595839, 8.0578267 47.5595479, 8.05749 47.5594467, 8.0571305 47.5592939)",,,
155479024,3,K 462,Kaisterstrasse,tertiary,50,False,True,57.330999999999996,"LINESTRING (8.0582568 47.559654, 8.0582809 47.5595367, 8.0582339 47.5591408)",,,
4719063,2,,Markusweg,unclassified,30,False,False,23.262,"LINESTRING (8.0627447 47.5607716, 8.0627991 47.5606849, 8.0628972 47.5605908)",,,
1237585203,2,7,Winterthurerstrasse,primary,50,False,True,181.465,"LINESTRING (8.0627447 47.5607716, 8.0619255 47.560571, 8.061651 47.5605025, 8.060856 47.5603065, 8.060474 47.5602101)",,,
4719062,,,Schützenweg,residential,30,False,False,143.226,"LINESTRING (8.0628972 47.5605908, 8.0619888 47.5601388, 8.0618412 47.5600976, 8.0617275 47.5600926, 8.0616272 47.5600928, 8.0615598 47.5600796, 8.0612693 47.5599657)",,,
4719063,2,,Markusweg,unclassified,30,False,True,23.262,"LINESTRING (8.0628972 47.5605908, 8.0627991 47.5606849, 8.0627447 47.5607716)",,,
185571350,2,,Markusweg,unclassified,30,False,False,35.847,"LINESTRING (8.0628972 47.5605908, 8.0629444 47.5605484, 8.0630509 47.5604483, 8.0631818 47.5603319)",,,
4869329,,,Dürrenbächlistrasse,residential,30,False,True,41.339999999999996,"LINESTRING (8.058347 47.5566499, 8.0584905 47.5566013, 8.0585726 47.556565, 8.0586667 47.5564998, 8.0587764 47.5564237)",5.5,,
"[700032648, 699992247]",,K 462,Kaisterstrasse,tertiary,50,False,False,136.103,"LINESTRING (8.058347 47.5566499, 8.0584079 47.5568541, 8.0584276 47.5569784, 8.05843 47.5570595, 8.0584318 47.5571219, 8.0584205 47.5572823, 8.0584035 47.5574007, 8.0583779 47.5574978, 8.0582821 47.5578611)","['7', '7.5']",,
