osmid,name,highway,maxspeed,access,oneway,reversed,length,geometry,lanes,tunnel,ref,bridge,junction
23960701,Ochsengasse,residential,50,permissive,False,False,205.64499999999998,"LINESTRING (7.5380746 47.5499186, 7.5381077 47.5499247, 7.5391495 47.5497763, 7.5395231 47.5497231, 7.5397554 47.5496634, 7.5398707 47.5495834, 7.540342 47.5491098)",,,,,
"[1217339108, 23057951]",Oberwilerstrasse,tertiary,40,,False,False,57.18,"LINESTRING (7.5380746 47.5499186, 7.5381041 47.5498465, 7.5381196 47.5494307, 7.5381196 47.5494072)",,,,,
"[1217339108, 1217339109]",Oberwilerstrasse,tertiary,40,,False,True,160.33599999999998,"LINESTRING (7.5380746 47.5499186, 7.5379902 47.5500107, 7.5378819 47.5500616, 7.5376528 47.5501197, 7.5374786 47.5501703, 7.5374017 47.5502145, 7.5373844 47.5502244, 7.5365778 47.5507952, 7.5365079 47.5508587)",,,,,
23057951,Oberwilerstrasse,tertiary,40,,False,False,222.87,"LINESTRING (7.5381818 47.5488244, 7.5383189 47.5486743, 7.5383789 47.5485005, 7.5383789 47.5482455, 7.5382931 47.548037, 7.5381602 47.5475044, 7.5381198 47.5471992, 7.5381095 47.5471146, 7.5380946 47.5469855, 7.5380814 47.5468686)",,,,,
23057951,Oberwilerstrasse,tertiary,40,,False,True,65.438,"LINESTRING (7.5381818 47.5488244, 7.5381326 47.5489223, 7.5381196 47.5490987, 7.5381196 47.5493686, 7.5381196 47.5494072)",,,,,
150674912,Rebgässli,residential,50,permissive,False,False,232.803,"LINESTRING (7.5381818 47.5488244, 7.5381449 47.5487899, 7.5380468 47.5486982, 7.5378701 47.5485196, 7.5377587 47.5484212, 7.5376371 47.548246, 7.537613 47.548123, 7.5376005 47.5479347, 7.537654 47.5477149, 7.5379805 47.5470825, 7.5379782 47.5469888, 7.5379767 47.5469255, 7.5379757 47.5468816)",,,,,
23661035,Baslerstrasse,tertiary,50,,False,True,199.726,"LINESTRING (7.5397024 47.5521919, 7.5394011 47.5520422, 7.5393616 47.5520224, 7.5391332 47.5519077, 7.5388454 47.5517936, 7.5385595 47.551707, 7.5382228 47.5516186, 7.5381274 47.5515935, 7.5379108 47.5515365, 7.5375755 47.5514481, 7.5373419 47.551388)",2,,,,
185796107,Baslerstrasse,tertiary,50,,False,False,238.57399999999996,"LINESTRING (7.5397024 47.5521919, 7.5398762 47.5522819, 7.539967 47.5523222, 7.5404436 47.5524973, 7.5408639 47.5526327, 7.5414525 47.5528223, 7.5417398 47.5529044, 7.541997 47.552944, 7.5421887 47.552958, 7.5423408 47.5529559, 7.5424734 47.5529457, 7.5426073 47.5529279)",2,,,,
"[802455400, 23058813]",Binningerstrasse,tertiary,50,,False,False,114.918,"LINESTRING (7.5397024 47.5521919, 7.5397103 47.5521817, 7.5397473 47.552133, 7.5397847 47.5520839, 7.5400182 47.5517837, 7.5400416 47.5517535, 7.5400659 47.5517221, 7.5402921 47.5514688, 7.5403967 47.5513517, 7.5404569 47.5512935)","['2', '3']",,,,
176644733,Baslerstrasse,tertiary,50,,True,False,30.493000000000002,"LINESTRING (7.5426073 47.5529279, 7.5426575 47.552897, 7.542776 47.5528553, 7.5429633 47.5527995)",1,,,,
185796107,Baslerstrasse,tertiary,50,,False,True,238.57399999999998,"LINESTRING (7.5426073 47.5529279, 7.5424734 47.5529457, 7.5423408 47.5529559, 7.5421887 47.552958, 7.541997 47.552944, 7.5417398 47.5529044, 7.5414525 47.5528223, 7.5408639 47.5526327, 7.5404436 47.5524973, 7.539967 47.5523222, 7.5398762 47.5522819, 7.5397024 47.5521919)",2,,,,
784778676,Dorfplatz,tertiary,50,,True,False,11.779,"LINESTRING (7.5363071 47.5509079, 7.536362 47.5508682, 7.5364322 47.5508477)",,,,,
"[683556842, 345897878]",Dorfplatz,tertiary,50,,True,False,89.92399999999998,"LINESTRING (7.5365079 47.5508587, 7.5365431 47.550894, 7.5365703 47.550921, 7.5366236 47.5509922, 7.53665 47.551043, 7.5366821 47.5510865, 7.5367157 47.5511053, 7.5367838 47.551135, 7.5370438 47.551222, 7.5370974 47.55124, 7.5372402 47.5512878, 7.537303 47.5513324, 7.5373332 47.5513696, 7.5373419 47.551388)",,,,,
"[1217339108, 1217339109]",Oberwilerstrasse,tertiary,40,,False,False,160.336,"LINESTRING (7.5365079 47.5508587, 7.5365778 47.5507952, 7.5373844 47.5502244, 7.5374017 47.5502145, 7.5374786 47.5501703, 7.5376528 47.5501197, 7.5378819 47.5500616, 7.5379902 47.5500107, 7.5380746 47.5499186)",,,,,
23960669,Schönenbuchstrasse,tertiary,40,,True,False,191.66299999999995,"LINESTRING (7.5342868 47.5516432, 7.5343418 47.5516175, 7.5345409 47.5515609, 7.5347295 47.5514794, 7.5349012 47.5513624, 7.5350194 47.5512391, 7.5351523 47.551086, 7.535232 47.5510018, 7.5353342 47.5509231, 7.5354324 47.5508734, 7.5355836 47.5508366, 7.5357831 47.5508348, 7.5359876 47.5508655, 7.5361205 47.5508928, 7.5363071 47.5509079)",,,,,
