osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,access,bridge,tunnel
"[32071290, 996609651]",Rue des Terreaux,residential,False,False,171.626,"LINESTRING (6.858183 46.4519815, 6.8583002 46.4520528, 6.8583317 46.4520741, 6.8585562 46.4522259, 6.8586142 46.4522641, 6.8586728 46.4523062, 6.8591239 46.4526322, 6.8595841 46.4530004, 6.8596765 46.4530655, 6.8597264 46.4530985)",,,,,,,
895190772,Grand-Rue,primary,False,True,41.469,"LINESTRING (6.858183 46.4519815, 6.8581249 46.452033, 6.8580922 46.4520612, 6.8580762 46.452075, 6.8579345 46.4521951, 6.8578355 46.4522671)",3,9,50,,,,
921319436,Route de Saint-Maurice,primary,False,False,101.332,"LINESTRING (6.858183 46.4519815, 6.8582717 46.4519, 6.858497 46.4516744, 6.8585595 46.4516072, 6.8586496 46.4515045, 6.8587638 46.4513519, 6.858787 46.451315, 6.8588644 46.4512032)",3,9,60,,,,
706221372,Rond-Point d'Entre-Deux-Villes,primary,True,False,6.567,"LINESTRING (6.8527928 46.457674, 6.8527657 46.4577037, 6.8527394 46.4577194)",,,50,roundabout,,,
153236752,Rue d'Italie,tertiary,False,True,140.248,"LINESTRING (6.8503965 46.4581339, 6.8507091 46.4581277, 6.8508306 46.4581192, 6.850972 46.4580974, 6.8511447 46.4580656, 6.8519736 46.457877, 6.8521617 46.4578313)",,,50,,,,
199778352,Rond-Point d'Entre-Deux-Villes,primary,True,False,27.98,"LINESTRING (6.8524862 46.4575705, 6.8525089 46.4575504, 6.8525488 46.4575266, 6.8525966 46.4575122, 6.852648 46.4575022, 6.8527006 46.4575017, 6.8527478 46.4575105, 6.8527817 46.4575206, 6.8528054 46.4575349)",,,50,roundabout,,,
"[921428889, 1212831887]",Rue d'Entre-deux-Villes,primary,True,False,23.887,"LINESTRING (6.8524862 46.4575705, 6.8524893 46.4574807, 6.8525042 46.4574174, 6.8525221 46.4573578)",2,9,50,,,,
26997828,Rue d'Italie,tertiary,True,False,34.489000000000004,"LINESTRING (6.8521617 46.4578313, 6.8523196 46.4577141, 6.8524732 46.4576074)",,,50,,,,
153236752,Rue d'Italie,tertiary,False,False,140.248,"LINESTRING (6.8521617 46.4578313, 6.8519736 46.457877, 6.8511447 46.4580656, 6.850972 46.4580974, 6.8508306 46.4581192, 6.8507091 46.4581277, 6.8503965 46.4581339)",,,50,,,,
30486364,Avenue de la Perrausaz,tertiary,False,False,75.913,"LINESTRING (6.863046 46.4575058, 6.8628952 46.4575737, 6.862675 46.4577059, 6.8624762 46.4578468, 6.8623378 46.4579764)",,,50,,,,
32071305,Chemin Adolphe Burnat,residential,False,False,42.372,"LINESTRING (6.863046 46.4575058, 6.8628558 46.4573654, 6.8626236 46.4572647)",,,,,,,
30486364,Avenue de la Perrausaz,tertiary,False,True,75.913,"LINESTRING (6.8623378 46.4579764, 6.8624762 46.4578468, 6.862675 46.4577059, 6.8628952 46.4575737, 6.863046 46.4575058)",,,50,,,,
32071304,Avenue de la Perrausaz,residential,True,False,87.139,"LINESTRING (6.8623378 46.4579764, 6.8622541 46.4579146, 6.8622869 46.4578183, 6.8624716 46.4575146, 6.8626236 46.4572647)",,,,,,,
30567498,,residential,True,False,23.299,"LINESTRING (6.8550351 46.456791, 6.8550475 46.4567623, 6.8550721 46.4567376, 6.8551066 46.4567194, 6.8551476 46.4567095, 6.855191 46.4567087, 6.8552327 46.4567172, 6.8552685 46.4567341)",,,50,roundabout,,,
30567498,,residential,True,False,15.533000000000001,"LINESTRING (6.8553089 46.4568234, 6.855298 46.4568454, 6.8552796 46.456865, 6.855255 46.4568809, 6.8552255 46.4568923, 6.8551929 46.4568984, 6.8551591 46.4568989)",,,50,roundabout,,,
31899742,Avenue des Alpes,residential,True,False,22.627,"LINESTRING (6.8553089 46.4568234, 6.8553646 46.456915, 6.8554439 46.4570037)",,,50,,,,
30567498,,residential,True,False,10.836,"LINESTRING (6.8552685 46.4567341, 6.8552909 46.456753, 6.8553056 46.4567751, 6.8553117 46.4567991, 6.8553089 46.4568234)",,,50,roundabout,,,
30567500,Avenue du Clos-d'Aubonne,residential,False,False,52.051,"LINESTRING (6.8552685 46.4567341, 6.8553476 46.456676, 6.8555419 46.4565642, 6.8557918 46.456437)",,,50,,,,
30567498,,residential,True,False,13.047,"LINESTRING (6.8551093 46.4568888, 6.8550811 46.4568756, 6.8550585 46.456858, 6.8550427 46.4568373, 6.8550347 46.4568144, 6.8550351 46.456791)",,,50,roundabout,,,
385969951,Rue de l'Oyonne,residential,True,False,27.822000000000003,"LINESTRING (6.8551093 46.4568888, 6.8549333 46.4569254, 6.8547669 46.4569715)",,,50,,,,
30567498,,residential,True,False,3.995,"LINESTRING (6.8551591 46.4568989, 6.8551335 46.4568955, 6.8551093 46.4568888)",,,50,roundabout,,,
30567499,Rue de l'Oyonne,residential,True,False,30.29,"LINESTRING (6.8531663 46.4575972, 6.8530822 46.4576313, 6.8530154 46.4576468, 6.8528396 46.4576751, 6.8527928 46.457674)",,,50,,,,
153236755,Rue de l'Oyonne,residential,False,False,141.531,"LINESTRING (6.8531663 46.4575972, 6.8535164 46.4575035, 6.8536992 46.4574422, 6.8537775 46.4574159, 6.8538281 46.4573943, 6.8540508 46.4573044, 6.8543641 46.457163, 6.8544795 46.4571084, 6.8547669 46.4569715)",,,50,,,,
153236755,Rue de l'Oyonne,residential,False,True,141.531,"LINESTRING (6.8547669 46.4569715, 6.8544795 46.4571084, 6.8543641 46.457163, 6.8540508 46.4573044, 6.8538281 46.4573943, 6.8537775 46.4574159, 6.8536992 46.4574422, 6.8535164 46.4575035, 6.8531663 46.4575972)",,,50,,,,
385969948,Rue de l'Oyonne,residential,True,False,28.737999999999996,"LINESTRING (6.8547669 46.4569715, 6.8548965 46.4568901, 6.8549771 46.4568306, 6.8550351 46.456791)",,,50,,,,
31899736,Avenue de la Gare,residential,False,True,83.912,"LINESTRING (6.858805 46.4548746, 6.8592575 46.4551053, 6.8595855 46.4552357, 6.8596984 46.4553076)",,,30,,,,
32473973,Avenue du Clos-d'Aubonne,residential,False,True,166.36599999999999,"LINESTRING (6.858805 46.4548746, 6.858737 46.4549137, 6.8586407 46.454967, 6.8583315 46.4551435, 6.8579428 46.4553705, 6.8577236 46.4554907, 6.8574613 46.4556229, 6.8572188 46.4557451, 6.8570806 46.4557702)",,,30,,,,
"[996609648, 32071289, 32071293]","['Rue du Collège', 'Avenue de la Gare', 'Avenue des Mousquetaires']",residential,False,False,255.03,"LINESTRING (6.858805 46.4548746, 6.8585692 46.4547026, 6.8580704 46.4543692, 6.8580533 46.454347, 6.8580527 46.4543289, 6.8580633 46.4543118, 6.8580891 46.4542937, 6.8585912 46.4539294, 6.8586238 46.4539072, 6.858718 46.4538313, 6.8589315 46.4539626, 6.859608 46.4544299)",,,30,,,,
996609650,Avenue de Traménaz,residential,False,False,78.926,"LINESTRING (6.858805 46.4548746, 6.8588594 46.4548459, 6.8595356 46.4544701, 6.859608 46.4544299)",,,30,,,,
30567505,Avenue de Traménaz,residential,False,True,106.583,"LINESTRING (6.860578 46.4537464, 6.8605277 46.4537851, 6.8601229 46.4540962, 6.8600007 46.4541943, 6.8598433 46.454304, 6.859608 46.4544299)",,,30,,,,
502089381,Rue des Terreaux,residential,False,True,97.217,"LINESTRING (6.860578 46.4537464, 6.8600439 46.4533273, 6.8598264 46.45317, 6.8597746 46.4531349, 6.8597264 46.4530985)",,,,,,,
