osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,access,ref,junction,tunnel
18494437,Ringgasse,secondary,50,False,True,67.128,"LINESTRING (9.5409699 47.3772727, 9.5409206 47.3772505, 9.5404534 47.3770706, 9.5401918 47.3769785)",,,,,,
"[99375449, 99375482, 99375495]",Klausstrasse,secondary,50,False,True,79.465,"LINESTRING (9.5409699 47.3772727, 9.541035 47.3772493, 9.5412421 47.3771277, 9.5412993 47.3770952, 9.5413161 47.377085, 9.5413717 47.3770533, 9.5413984 47.3770371, 9.54166 47.3768589, 9.5417201 47.3768255, 9.5417669 47.3768087)",yes,2,,,,
193024739,Engelgasse,living_street,50,False,False,3.133,"LINESTRING (9.5409699 47.3772727, 9.5409418 47.3772886, 9.540938 47.3772908)",,1,permissive,,,
"[18455106, 30926973, 1183889422]","['Ringstrasse', 'Ringgasse']",residential,,True,False,104.17599999999999,"LINESTRING (9.5409699 47.3772727, 9.5410924 47.3773315, 9.5412277 47.3774045, 9.5413758 47.3774646, 9.5419861 47.3777024, 9.5420513 47.3777317, 9.542142 47.377768)",,1,,,,
"[99375449, 18455242, 99375491]",Klausstrasse,secondary,50,False,False,127.82500000000002,"LINESTRING (9.5432504 47.3764625, 9.5431871 47.3764724, 9.5431565 47.376478, 9.5431056 47.3764941, 9.5430409 47.3765255, 9.5429033 47.3766006, 9.5426786 47.3767271, 9.5425042 47.376823, 9.5424083 47.3768584, 9.5422906 47.3768806, 9.5421751 47.3768776, 9.5420051 47.3768496, 9.5418819 47.3768174, 9.5418425 47.3768083, 9.5418017 47.3768062, 9.5417669 47.3768087)",yes,2,,,,
"[1106413426, 785730295]",Churerstrasse,primary,30,False,True,105.67099999999999,"LINESTRING (9.5432504 47.3764625, 9.5432408 47.3767561, 9.5432502 47.3768261, 9.5432566 47.3768562, 9.5432857 47.3769366, 9.5433032 47.3770193, 9.5432857 47.3770872, 9.5432182 47.3771624, 9.543005 47.3773449)",,2,,13,,
"[38281849, 1185334002]",Churerstrasse,primary,50,False,False,384.092,"LINESTRING (9.5432504 47.3764625, 9.5433043 47.3763455, 9.5433719 47.3762791, 9.5434678 47.3762034, 9.5436397 47.3761064, 9.5438806 47.3760087, 9.5440018 47.3759544, 9.5443123 47.3758327, 9.5446396 47.3757562, 9.544948 47.3756967, 9.5452151 47.3756565, 9.5453706 47.3756427, 9.5454203 47.3756431, 9.5455132 47.375644, 9.5456373 47.3756603, 9.5457426 47.3756823, 9.5458448 47.3757252, 9.5462903 47.3759957, 9.5464755 47.3760778, 9.5466144 47.3761232, 9.5467701 47.3761644, 9.5468226 47.3761766, 9.5468979 47.376194, 9.5470595 47.3762171, 9.5473165 47.3762317, 9.5475042 47.3762283, 9.5476651 47.3762246)",,2,,13,,
"[38281882, 38281885]","['Trogenerstrasse', 'Rorschacherstrasse']",tertiary,50,False,"[False, True]",107.31399999999998,"LINESTRING (9.5423845 47.3782998, 9.5423481 47.3783041, 9.5422932 47.3783107, 9.5422384 47.3783142, 9.5418267 47.3783421, 9.5417617 47.378347, 9.5416711 47.3783541, 9.5414719 47.3783712, 9.5412438 47.3784124, 9.5411837 47.3784249, 9.540986 47.3784673)",,2,,,,
193018170,,primary,50,True,False,14.764,"LINESTRING (9.5423845 47.3782998, 9.5423804 47.3782778, 9.5423843 47.3782559, 9.5423958 47.3782352, 9.5424144 47.3782169, 9.5424389 47.3782023, 9.5424678 47.378192)",,1,,13,roundabout,
193018170,,primary,50,True,False,24.496,"LINESTRING (9.5426351 47.3783196, 9.5426168 47.3783378, 9.5425925 47.3783525, 9.5425638 47.3783628, 9.5425323 47.3783682, 9.5424997 47.3783683, 9.5424681 47.3783631, 9.5424392 47.378353, 9.5424148 47.3783384, 9.5423962 47.3783204, 9.5423845 47.3782998)",,1,,13,roundabout,
193018171,Rorschacherstrasse,primary,50,False,False,54.177,"LINESTRING (9.5426351 47.3783196, 9.5426675 47.3783312, 9.542715 47.3783476, 9.5427588 47.3783628, 9.5429571 47.3784304, 9.5430383 47.3784621, 9.5431633 47.378523, 9.5432459 47.3785728)",,2,,13,,
