osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge,width
614508026,1,Kreisel Birkenau,primary,50,roundabout,True,False,8.245000000000001,"LINESTRING (9.4816962 47.1672284, 9.4816342 47.1672448, 9.4815917 47.1672436)",,,
"[25240858, 119079178, 624201621]",2,Rheinstrasse,primary,50,,False,False,325.825,"LINESTRING (9.4812224 47.1669848, 9.4807528 47.166847, 9.4801313 47.1666665, 9.4793431 47.166439, 9.4789119 47.1663189, 9.4785958 47.1662257, 9.4783659 47.166144, 9.478251 47.1660857, 9.4781485 47.1660151, 9.4780475 47.1659087, 9.477989 47.1657887, 9.4779867 47.1656662, 9.4780249 47.1655574, 9.4781187 47.1654449)",16,yes,
624201622,1,Rheinstrasse,primary,50,,True,False,23.106,"LINESTRING (9.4812224 47.1669848, 9.481372 47.1670113, 9.4814743 47.1670362, 9.4815133 47.1670475)",16,,
"[119079178, 25240858, 624201621]",2,Rheinstrasse,primary,50,,False,True,325.82500000000005,"LINESTRING (9.4781187 47.1654449, 9.4780249 47.1655574, 9.4779867 47.1656662, 9.477989 47.1657887, 9.4780475 47.1659087, 9.4781485 47.1660151, 9.478251 47.1660857, 9.4783659 47.166144, 9.4785958 47.1662257, 9.4789119 47.1663189, 9.4793431 47.166439, 9.4801313 47.1666665, 9.4807528 47.166847, 9.4812224 47.1669848)",16,yes,
624202720,1,Rheinstrasse,primary,50,,True,False,31.543999999999997,"LINESTRING (9.4781187 47.1654449, 9.4781753 47.1653549, 9.4782965 47.1652409, 9.4783289 47.1652015)",16,,
"[30005066, 526733260]","['2', '3']",Rheinaustrasse,primary,50,,False,True,101.71800000000002,"LINESTRING (9.4770813 47.15916, 9.4772105 47.1592119, 9.4772437 47.1592276, 9.4773008 47.1592726, 9.4773362 47.1593085, 9.4774703 47.1594417, 9.4775819 47.1595475, 9.4776457 47.159594, 9.477693 47.1596285, 9.4777676 47.1596762, 9.4778223 47.1597072, 9.4779227 47.1597537, 9.4780268 47.15979)",16,,
"[526733266, 526733271]",3,Churerstrasse,primary,50,,False,False,51.565,"LINESTRING (9.4770813 47.15916, 9.4768549 47.1593666, 9.4766735 47.1595317)",13;16,,
48795308,,Schulhausstrasse,residential,30,,False,False,32.092,"LINESTRING (9.4730387 47.1589726, 9.4729834 47.1590846, 9.4729787 47.1590987, 9.4729408 47.1592132, 9.4729283 47.1592509)",,,
48806912,,Kreuzgasse,residential,30,,False,True,67.61,"LINESTRING (9.4730387 47.1589726, 9.4729471 47.1589399, 9.4728678 47.158917, 9.4727847 47.1589002, 9.4725394 47.1588471, 9.4723511 47.1588266, 9.4721819 47.158836)",,,
"[293774539, 186458869]",,Kreuzgasse,residential,"['30', '50']",,False,True,42.394999999999996,"LINESTRING (9.4730387 47.1589726, 9.4731569 47.1589841, 9.4732466 47.1589925, 9.4733225 47.1589949, 9.473597 47.1590034)",,,
48795308,,Schulhausstrasse,residential,30,,False,True,22.357,"LINESTRING (9.4726808 47.159995, 9.4727467 47.159799)",,,
"[156641681, 156641682, 48795308]",,Schulhausstrasse,residential,30,,False,False,58.688,"LINESTRING (9.4726808 47.159995, 9.4725384 47.1604142, 9.4725105 47.1604818, 9.4725025 47.1605086)",,yes,
118833831,,Grosse Grof,residential,30,,False,False,128.027,"LINESTRING (9.4726808 47.159995, 9.4726305 47.1599822, 9.4722134 47.1598872, 9.4714164 47.1597057, 9.4710758 47.1596281)",,,
48508646,,Groffeldstrasse,residential,30,,False,False,69.184,"LINESTRING (9.4719829 47.1621274, 9.4723945 47.1621997, 9.4727305 47.1622587, 9.4728689 47.162283)",,,
48795321,,Groffeldstrasse,residential,30,,False,False,89.773,"LINESTRING (9.4719829 47.1621274, 9.4719243 47.1621145, 9.4717961 47.1620919, 9.4713672 47.1620196, 9.4708716 47.1619323, 9.470852 47.1619286, 9.4708335 47.1619252)",,,
225308624,,Schulhausstrasse,residential,30,,False,True,130.863,"LINESTRING (9.4719829 47.1621274, 9.4720534 47.161922, 9.4721689 47.1615675, 9.4721788 47.1615355, 9.4722157 47.1614165, 9.4722919 47.1611709, 9.4723518 47.1609776)",,,
"[610475424, 1219697089, 1219697088, 610483406, 610475087, 610473970, 1219684756, 1219684757, 1219684758, 1219697145, 1219697146]",,Schulhausstrasse,residential,30,,False,True,238.517,"LINESTRING (9.4719829 47.1621274, 9.4719156 47.1623327, 9.4718853 47.162425, 9.4718361 47.1625749, 9.4717703 47.1627593, 9.4717045 47.1629648, 9.471684 47.1630286, 9.4716313 47.1631931, 9.4716196 47.1632281, 9.4715684 47.163381, 9.4714601 47.163705, 9.4714307 47.1637928, 9.4714073 47.1638628, 9.4713822 47.1639378, 9.4713751 47.1639591, 9.4713313 47.1640818, 9.4712824 47.1642188)",,,5
28868917,,Unterstüdtlistrasse,residential,30,,False,False,10.515,"LINESTRING (9.4699923 47.1655375, 9.4700011 47.1655816, 9.470011 47.1656312)",,,
