osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,access
24292489,primary,50,roundabout,True,False,15.507000000000001,"LINESTRING (7.0780453 47.4167015, 7.0780446 47.4166782, 7.0780543 47.4166559, 7.0780736 47.4166367, 7.0781006 47.4166224, 7.0781328 47.4166143, 7.0781671 47.4166132)",,,,,
685474062,living_street,20,,False,True,93.503,"LINESTRING (7.0780453 47.4167015, 7.0779542 47.4167102, 7.0778521 47.4167032, 7.0778093 47.4166964, 7.077433 47.4166363, 7.0771324 47.4165883, 7.0769498 47.4165592, 7.076832 47.4165404)",2,247,Faubourg St-Germain,,
24295592,residential,30,,True,False,113.455,"LINESTRING (7.0776381 47.4188336, 7.0772903 47.4190184, 7.0770729 47.4191343, 7.076795 47.4192824, 7.0764531 47.4194646)",,,Rue de la Synagogue,,
930566617,residential,,,False,False,31.072,"LINESTRING (7.0765217 47.4178227, 7.0761728 47.4179722)",,,Rue Gustave Amweg,,
24295596,residential,,,False,False,155.40200000000002,"LINESTRING (7.0765217 47.4178227, 7.0768764 47.4176412, 7.0769143 47.4176235, 7.0769569 47.4176064, 7.0769729 47.4176025, 7.0770059 47.4175945, 7.0770318 47.4175895, 7.0770562 47.4175854, 7.0770726 47.4175837, 7.0772938 47.4175721, 7.0774938 47.4175615, 7.0776983 47.4175508, 7.0777361 47.4175488, 7.0778011 47.4175454, 7.0778597 47.4175423, 7.077885 47.4175417, 7.0779094 47.417542, 7.078354 47.4175502, 7.0784744 47.417548)",,,Rue des Tanneurs,,
88300982,residential,,,True,False,140.327,"LINESTRING (7.0765217 47.4178227, 7.076786 47.4180604, 7.0768597 47.4181267, 7.0770556 47.4183028, 7.077342 47.4185655, 7.0773909 47.4186104, 7.0775267 47.4187348, 7.0775625 47.4187676, 7.0776381 47.4188336)",,,Rue Gustave Amweg,,
"[24295593, 73095123]",living_street,20,,False,True,65.699,"LINESTRING (7.076832 47.4165404, 7.0766299 47.4166345, 7.0764737 47.4167143, 7.0764474 47.4167295, 7.0764116 47.4167475, 7.0763963 47.4167864, 7.0763877 47.416876, 7.0763741 47.4169844)",2,,"['Route de Fontenais', 'Place des Bennelats']",,
685474062,living_street,20,,False,False,93.50299999999999,"LINESTRING (7.076832 47.4165404, 7.0769498 47.4165592, 7.0771324 47.4165883, 7.077433 47.4166363, 7.0778093 47.4166964, 7.0778521 47.4167032, 7.0779542 47.4167102, 7.0780453 47.4167015)",2,247,Faubourg St-Germain,,
"[753433456, 757054554]","['living_street', 'residential']","['20', '30']",,False,False,115.318,"LINESTRING (7.076832 47.4165404, 7.0768857 47.4164986, 7.0769859 47.4164015, 7.0771466 47.4162499, 7.0772266 47.4161724, 7.077272 47.4161209, 7.0773128 47.4160675, 7.0773876 47.4159663, 7.0774343 47.4158943, 7.0774862 47.4158032, 7.0775287 47.4157175, 7.0775564 47.4156374)",2,,Route de Fontenais,,
753433460,primary,,roundabout,True,False,12.548,"LINESTRING (7.0793144 47.4184254, 7.0792872 47.4184468, 7.0792521 47.418462, 7.079212 47.4184697, 7.0791703 47.4184694)",,,,,
