osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width,access,tunnel
56015682,True,1,122,Route de Clémenty,secondary,50,False,41.202999999999996,"LINESTRING (6.2381491 46.378423, 6.2380502 46.3784543, 6.2379359 46.3784731, 6.2378026 46.378479, 6.2376269 46.378463)",,,,
242030416,True,1,,,primary,50,False,15.410999999999998,"LINESTRING (6.2381491 46.378423, 6.2381175 46.3784152, 6.2380892 46.3784029, 6.2380654 46.3783867, 6.2380473 46.3783672, 6.2380357 46.3783455, 6.2380313 46.3783227)",roundabout,,,
"[364321505, 24756148]",False,2,1,Quai des Alpes,primary,50,False,255.663,"LINESTRING (6.2409619 46.3801767, 6.2415604 46.3803908, 6.2416362 46.3804334, 6.2416967 46.3804739, 6.2417504 46.3805285, 6.242171 46.3809798, 6.2424513 46.3812805, 6.2429735 46.3818421, 6.2430342 46.3819118)",,,,
25092767,False,,,Place de Savoie,residential,50,True,73.779,"LINESTRING (6.2409619 46.3801767, 6.240927 46.380224, 6.2409019 46.3802717, 6.240895 46.3803159, 6.2409196 46.3803602, 6.2411139 46.3805792, 6.2411839 46.3806599, 6.2412632 46.3807633)",,,,
171947635,False,2,1,Quai Louis-Bonnard,primary,50,True,263.687,"LINESTRING (6.2409619 46.3801767, 6.240756 46.3800879, 6.24066 46.3800403, 6.2405567 46.3799787, 6.2403878 46.3798566, 6.2398427 46.3794617, 6.2385292 46.3785101)",,,,
29060491,False,2,,Vy-Creuse,tertiary,30,True,26.568,"LINESTRING (6.2440179 46.3834534, 6.2437751 46.3836238)",,,,
"[295249112, 364368037]",False,"['2', '3']",1,Rue de Rive,primary,50,True,60.775,"LINESTRING (6.2440179 46.3834534, 6.2439977 46.3834344, 6.2439375 46.3833779, 6.2438556 46.3832915, 6.2437525 46.3831688, 6.2436244 46.3829807)",,,,
"[364368038, 91901255, 684639210, 24756146, 24756147]",False,2,1,"['Route de Lausanne', 'Rue de Rive']",primary,50,False,234.756,"LINESTRING (6.2440179 46.3834534, 6.2441267 46.3835402, 6.2442869 46.3836625, 6.2444398 46.3837852, 6.244515 46.3838363, 6.2446208 46.3838986, 6.2449548 46.3840841, 6.245165 46.3842101, 6.2453408 46.3843224, 6.2454846 46.384423, 6.2455818 46.3845058, 6.2457591 46.3846984, 6.2458315 46.3847915, 6.2458686 46.3848419, 6.2459691 46.3850008, 6.2459849 46.3850355)",,,,
219404969,False,,,Chemin des Pensées,residential,50,False,116.818,"LINESTRING (6.2343639 46.3790589, 6.2344273 46.379109, 6.2344694 46.3791422, 6.234667 46.3793118, 6.2349596 46.3795876, 6.2350524 46.3796466, 6.2352008 46.3798417, 6.2352501 46.3799065)",,,,
"[688590600, 242030437, 375033502]",False,3,122,Route de Clémenty,secondary,50,True,278.387,"LINESTRING (6.2343639 46.3790589, 6.2345127 46.379, 6.2346756 46.3789448, 6.23509 46.3788247, 6.2353661 46.3787309, 6.2354606 46.3786988, 6.2356584 46.3786218, 6.2358386 46.3785458, 6.23605 46.3784497, 6.2362106 46.3783725, 6.2363291 46.3783164, 6.2364111 46.3782869, 6.2365001 46.3782651, 6.2365987 46.3782511, 6.2366811 46.3782421, 6.2367719 46.3782412, 6.2368516 46.3782463, 6.2369473 46.3782573, 6.237037 46.3782805, 6.2372702 46.3783533, 6.2373468 46.3783803, 6.2374629 46.3784217, 6.2375384 46.3784453, 6.2376269 46.378463)",,,,
"[293813074, 163683581, 1076126358]",False,2,,"['Avenue Edouard-Rod', 'Place de la Gare']",tertiary,50,False,138.591,"LINESTRING (6.2356084 46.3837489, 6.2357039 46.3838821, 6.2357558 46.3839322, 6.2359136 46.3840688, 6.236184 46.3842891, 6.2365613 46.3845997, 6.2366358 46.3846506, 6.2366978 46.3846773, 6.2367613 46.3846871)",,,,
