osmid,oneway,lanes,name,highway,maxspeed,reversed,length,access,geometry
4987118,False,2,Bland Street,tertiary,60,False,131.022,,"LINESTRING (22.1526354 -34.1818377, 22.1512136 -34.1817672)"
4987121,False,2,Beach Street,residential,40,False,66.265,yes,"LINESTRING (22.1526354 -34.1818377, 22.1526199 -34.1824335)"
25064523,False,2,Bland Street,tertiary,60,False,125.823,,"LINESTRING (22.1526354 -34.1818377, 22.1539978 -34.1819385)"
4987121,False,2,Beach Street,residential,40,True,105.702,yes,"LINESTRING (22.1526354 -34.1818377, 22.1526378 -34.1817439, 22.1526429 -34.1816168, 22.1527032 -34.1808889)"
4987121,False,2,Beach Street,residential,40,False,69.323,yes,"LINESTRING (22.1525689 -34.1830154, 22.1525051 -34.1836366)"
4987121,False,2,Beach Street,residential,40,True,64.874,yes,"LINESTRING (22.1525689 -34.1830154, 22.1526199 -34.1824335)"
41467577,False,2,Marsh Street,tertiary,40,False,132.557,,"LINESTRING (22.1525689 -34.1830154, 22.1511298 -34.1829532)"
41467577,False,2,Marsh Street,tertiary,40,True,123.5,,"LINESTRING (22.1525689 -34.1830154, 22.1539052 -34.1831229)"
776792144,True,1,Point Street,tertiary,60,False,9.755,yes,"LINESTRING (22.1543679 -34.1835123, 22.1544709 -34.1835332)"
4987120,False,2,Marsh Street,tertiary,60,True,60.715,yes,"LINESTRING (22.1543679 -34.1835123, 22.1543386 -34.1834877, 22.1539052 -34.1831229)"
651296811,True,1,Point Street,tertiary,60,False,166.643,yes,"LINESTRING (22.1547105 -34.1835339, 22.1552329 -34.183134, 22.1553281 -34.1830852, 22.1553925 -34.1830563, 22.1554998 -34.1830364, 22.1562991 -34.1829598)"
23972945,False,2,Field Street,residential,40,False,65.551,,"LINESTRING (22.149658 -34.1816883, 22.1496183 -34.1822769)"
4987118,False,2,Bland Street,tertiary,60,True,143.365,,"LINESTRING (22.149658 -34.1816883, 22.1502787 -34.1817178, 22.1512136 -34.1817672)"
25064523,False,2,Bland Street,tertiary,60,True,136.85899999999998,,"LINESTRING (22.1562991 -34.1829598, 22.1562948 -34.1827357, 22.1562795 -34.18193, 22.1562735 -34.1818608, 22.1562645 -34.1818386, 22.1562495 -34.1818017, 22.1561961 -34.1817485)"
