osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,name
"[587277992, 587030854, 58894291, 587277990]",False,4,N2,trunk,80,True,345.09799999999996,yes,"LINESTRING (19.4327706 -34.2269238, 19.4314967 -34.227061, 19.4295505 -34.2273344, 19.4294526 -34.2273462, 19.4290608 -34.2273933)",
58894304,False,,,unclassified,,True,62.516,,"LINESTRING (19.4290608 -34.2273933, 19.4290576 -34.2273074, 19.4290557 -34.2271854, 19.429058 -34.2270458, 19.4290837 -34.2268322)",Hoop Street
"[587277992, 58894291, 587277990, 587030854]",False,4,N2,trunk,80,False,345.09799999999996,yes,"LINESTRING (19.4290608 -34.2273933, 19.4294526 -34.2273462, 19.4295505 -34.2273344, 19.4314967 -34.227061, 19.4327706 -34.2269238)",
"[587922651, 4616647]",False,2,R316,secondary,60,False,181.923,,"LINESTRING (19.4290608 -34.2273933, 19.4290494 -34.2275064, 19.4290269 -34.2278374, 19.429033 -34.2280038, 19.429037 -34.2281535, 19.4290417 -34.2282754, 19.429033 -34.2284018, 19.429037 -34.2285105, 19.4290383 -34.2286059, 19.4290437 -34.2287334, 19.4290464 -34.2288221, 19.4290467 -34.2289289, 19.4290474 -34.2290279)",Hoop Street
191701634,False,2,,residential,,False,56.513,,"LINESTRING (19.4289104 -34.2315201, 19.4295225 -34.2314732)",Meul Street
552972174,False,2,R316,secondary,60,False,45.857,,"LINESTRING (19.4289104 -34.2315201, 19.4287619 -34.2319138)",Plein Street
552972177,False,2,,unclassified,60,False,33.611,,"LINESTRING (19.4289104 -34.2315201, 19.4285502 -34.2315719)",Prince Alfred Road
587922652,False,2,R316,secondary,60,True,213.752,,"LINESTRING (19.4289104 -34.2315201, 19.4289438 -34.231374, 19.4289684 -34.2309079, 19.4290267 -34.2296017)",Hoop Street
58894310,False,,,residential,,False,148.741,,"LINESTRING (19.430774 -34.2329652, 19.4292113 -34.2326186)",Frouenfelder Street
58894282,False,,,residential,,True,58.197,,"LINESTRING (19.4277998 -34.2314047, 19.4271668 -34.2314107)",Victoria Street
58894319,False,,,residential,,True,41.238,,"LINESTRING (19.4277998 -34.2314047, 19.427771 -34.2317748)",Trinity Street
58894319,False,,,residential,,False,202.677,,"LINESTRING (19.4277998 -34.2314047, 19.4278203 -34.230896, 19.4278734 -34.229583)",Trinity Street
58894288,False,,,residential,,True,58.174,,"LINESTRING (19.4278734 -34.229583, 19.4272407 -34.2295748)",Albertyn Street
58894319,False,,,residential,,True,202.677,,"LINESTRING (19.4278734 -34.229583, 19.4278203 -34.230896, 19.4277998 -34.2314047)",Trinity Street
262724548,True,,,residential,,False,106.05199999999999,,"LINESTRING (19.4278734 -34.229583, 19.4283396 -34.2295938, 19.4290267 -34.2296017)",Albertyn Street
4616647,False,2,R316,secondary,60,True,21.15,,"LINESTRING (19.4290461 -34.2292181, 19.4290474 -34.2290279)",Hoop Street
587922652,False,2,R316,secondary,60,False,42.692,,"LINESTRING (19.4290461 -34.2292181, 19.4290267 -34.2296017)",Hoop Street
"[58894300, 587922653]",False,,,residential,,True,166.402,,"LINESTRING (19.4290461 -34.2292181, 19.4280734 -34.2291719, 19.42782 -34.2291619, 19.4277902 -34.2291615, 19.4272385 -34.2291422)",Human Street
