osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access
55881819,2,James Moroka Avenue,tertiary,False,False,204.305,"LINESTRING (27.0994386 -26.7111064, 27.0991113 -26.7110693, 27.097997 -26.7109881, 27.0973901 -26.7109438)",,
874543427,2,Goetz Street,residential,False,True,102.156,"LINESTRING (27.0994386 -26.7111064, 27.0995013 -26.7104575, 27.0995271 -26.7101911)",,
55881819,2,James Moroka Avenue,tertiary,False,False,106.714,"LINESTRING (27.0973901 -26.7109438, 27.0963181 -26.7108804)",,
55881819,2,James Moroka Avenue,tertiary,False,True,204.305,"LINESTRING (27.0973901 -26.7109438, 27.097997 -26.7109881, 27.0991113 -26.7110693, 27.0994386 -26.7111064)",,
"[617240544, 617240550]","['2', '3']",Walter Sisulu Avenue,residential,False,True,398.84999999999997,"LINESTRING (27.0973901 -26.7109438, 27.0974217 -26.7104592, 27.097492 -26.7096052, 27.0975954 -26.7081777, 27.0976597 -26.707365)",60,yes
24155605,,O.R. Tambo Avenue,residential,False,False,100.978,"LINESTRING (27.0953894 -26.7108139, 27.0953013 -26.7117186)",,
55881819,2,James Moroka Avenue,tertiary,False,False,62.946,"LINESTRING (27.0953894 -26.7108139, 27.0947578 -26.7107677)",,
24155605,,O.R. Tambo Avenue,residential,False,True,104.932,"LINESTRING (27.0953894 -26.7108139, 27.0954361 -26.7102894, 27.0954732 -26.7098732)",,
55881819,2,James Moroka Avenue,tertiary,False,True,92.549,"LINESTRING (27.0953894 -26.7108139, 27.0961393 -26.7108713, 27.0963181 -26.7108804)",,
24155606,,Evans Street,residential,False,True,105.141,"LINESTRING (27.0947578 -26.7107677, 27.0948442 -26.7098253)",,
55881819,2,James Moroka Avenue,tertiary,False,True,62.946,"LINESTRING (27.0947578 -26.7107677, 27.0953894 -26.7108139)",,
55881819,2,James Moroka Avenue,tertiary,False,False,138.166,"LINESTRING (27.0947578 -26.7107677, 27.0940151 -26.7106823, 27.0939612 -26.7106788, 27.0933755 -26.7106311)",,
144019381,,Piet Uys Street,residential,False,True,93.229,"LINESTRING (27.0995271 -26.7101911, 27.1004642 -26.7102382)",,
"[169816388, 144019381]",,"['Clark Street', 'Piet Uys Street']",residential,False,"[False, True]",395.219,"LINESTRING (27.0995271 -26.7101911, 27.0991543 -26.7101719, 27.09865 -26.7101336, 27.0985642 -26.7101144, 27.098532 -26.7100761, 27.0985106 -26.7100114, 27.0985132 -26.7099252, 27.0986447 -26.7082024, 27.0986636 -26.707904, 27.098701 -26.7074429)",,
615380476,2,Goetz Street,residential,False,True,200.829,"LINESTRING (27.0995271 -26.7101911, 27.0996404 -26.7087343, 27.0996666 -26.7083893)",,
874543427,2,Goetz Street,residential,False,False,102.156,"LINESTRING (27.0995271 -26.7101911, 27.0995013 -26.7104575, 27.0994386 -26.7111064)",,
24155604,,Auto Avenue,residential,False,True,99.033,"LINESTRING (27.0963181 -26.7108804, 27.0962543 -26.7117692)",,
55881819,2,James Moroka Avenue,tertiary,False,True,106.714,"LINESTRING (27.0963181 -26.7108804, 27.0973901 -26.7109438)",,
55881819,2,James Moroka Avenue,tertiary,False,False,92.549,"LINESTRING (27.0963181 -26.7108804, 27.0961393 -26.7108713, 27.0953894 -26.7108139)",,
24155605,,O.R. Tambo Avenue,residential,False,True,100.978,"LINESTRING (27.0953013 -26.7117186, 27.0953894 -26.7108139)",,
615557401,,Embert Street,residential,False,False,93.962,"LINESTRING (27.0953013 -26.7117186, 27.0943573 -26.711664)",,
615557401,,Embert Street,residential,False,True,94.827,"LINESTRING (27.0953013 -26.7117186, 27.0959283 -26.7117519, 27.0960936 -26.7117607, 27.0962543 -26.7117692)",,
24155606,,Evans Street,residential,False,False,105.141,"LINESTRING (27.0948442 -26.7098253, 27.0947578 -26.7107677)",,
185939479,,Fleischack Street,residential,False,False,26.559,"LINESTRING (27.0948442 -26.7098253, 27.0945778 -26.7098048)",,
185939479,,Fleischack Street,residential,False,True,62.705,"LINESTRING (27.0948442 -26.7098253, 27.0954732 -26.7098732)",,
