osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,maxspeed
"[186842339, 159430164, 186842357]",N11;R543,Dr. Nelson Mandela Drive,trunk,False,False,157.32999999999998,yes,"LINESTRING (29.886186 -27.3649578, 29.8863054 -27.3639281, 29.8863309 -27.3636983, 29.8863517 -27.3635506)",
159430164,N11;R543,Dr. Nelson Mandela Drive,trunk,False,True,150.269,,"LINESTRING (29.886186 -27.3649578, 29.8860942 -27.3656682, 29.8860097 -27.3663001)",
207942389,,Monument Street,residential,False,False,274.763,,"LINESTRING (29.886186 -27.3649578, 29.8851299 -27.36485, 29.8834237 -27.3646619)",
185583389,,Zondo Street,residential,False,False,274.727,,"LINESTRING (29.8832336 -27.3660339, 29.8804709 -27.3657433)",
185583398,,Vrede Street,residential,False,False,153.71,,"LINESTRING (29.8832336 -27.3660339, 29.8834237 -27.3646619)",
185583389,,Zondo Street,residential,False,True,275.738,,"LINESTRING (29.8832336 -27.3660339, 29.8844835 -27.3661482, 29.8860097 -27.3663001)",
185583401,,Kruger Street,residential,False,False,151.128,,"LINESTRING (29.8778357 -27.3641104, 29.8776686 -27.3654614)",
185583401,,Kruger Street,residential,False,True,152.548,,"LINESTRING (29.8778357 -27.3641104, 29.8780033 -27.3627466)",
207942389,,Monument Street,residential,False,True,278.872,,"LINESTRING (29.8778357 -27.3641104, 29.8806426 -27.3643855)",
185583401,,Kruger Street,residential,False,True,152.179,,"LINESTRING (29.8774829 -27.36682, 29.8776686 -27.3654614)",
55804970,R23;R543,Adelaide Thambo Street,primary,False,False,280.362,,"LINESTRING (29.8774829 -27.36682, 29.8795027 -27.3670331, 29.8803056 -27.3670859)",60
185583401,,Kruger Street,residential,False,False,152.179,,"LINESTRING (29.8776686 -27.3654614, 29.8774829 -27.36682)",
185583401,,Kruger Street,residential,False,True,151.128,,"LINESTRING (29.8776686 -27.3654614, 29.8778357 -27.3641104)",
185583389,,Zondo Street,residential,False,True,278.539,,"LINESTRING (29.8776686 -27.3654614, 29.879103 -27.3656266, 29.8804709 -27.3657433)",
159430164,N11;R543,Dr. Nelson Mandela Drive,trunk,False,False,150.269,,"LINESTRING (29.8860097 -27.3663001, 29.8860942 -27.3656682, 29.886186 -27.3649578)",
185583389,,Zondo Street,residential,False,False,275.738,,"LINESTRING (29.8860097 -27.3663001, 29.8844835 -27.3661482, 29.8832336 -27.3660339)",
