osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
636719080,2,Robertson Road,residential,False,True,227.189,,"LINESTRING (28.2898086 -24.8811174, 28.2875602 -24.881236)"
636719083,2,Mentz Avenue,unclassified,False,False,8.269,,"LINESTRING (28.2882734 -24.8791593, 28.288312 -24.8790937)"
636719083,2,Mentz Avenue,unclassified,False,True,132.932,,"LINESTRING (28.2882734 -24.8791593, 28.2876296 -24.8802024)"
750061554,2,Stofberg Street,residential,False,True,244.17399999999998,,"LINESTRING (28.2882734 -24.8791593, 28.2881815 -24.8791312, 28.2861388 -24.8781266)"
125543895,2,Pretoria Way,residential,False,True,86.199,,"LINESTRING (28.2931721 -24.8839816, 28.2926476 -24.8833696)"
125543851,2,Luna Road,residential,False,True,95.13,,"LINESTRING (28.2931721 -24.8839816, 28.2923054 -24.8840493, 28.2922325 -24.884055)"
636657146,,Pretoria Way,residential,False,False,137.28300000000002,,"LINESTRING (28.2931721 -24.8839816, 28.2935859 -24.8844617, 28.2939489 -24.8848828, 28.2940104 -24.8849542)"
8041625,2,Reitz Street,residential,False,False,81.152,,"LINESTRING (28.2896997 -24.8800311, 28.2905017 -24.8799739)"
125543849,2,Van Staden Street,residential,False,False,121.29,,"LINESTRING (28.2896997 -24.8800311, 28.2898086 -24.8811174)"
8041625,2,Reitz Street,residential,False,True,209.69799999999998,,"LINESTRING (28.2896997 -24.8800311, 28.2877081 -24.8801993, 28.2876296 -24.8802024)"
125543878,2,Robertson Road,residential,False,False,287.145,,"LINESTRING (28.2913683 -24.8809646, 28.2942075 -24.8807791)"
636657160,2,Driver Street,residential,False,False,116.395,,"LINESTRING (28.2913683 -24.8809646, 28.2914794 -24.8820065)"
636657160,2,Driver Street,residential,False,True,116.242,,"LINESTRING (28.2913683 -24.8809646, 28.2912581 -24.879924)"
8041632,1,Botha Street,residential,True,False,109.644,,"LINESTRING (28.2926355 -24.8772218, 28.293485 -24.8766067)"
606296676,2,Van der Merwe Street,residential,False,False,3.041,,"LINESTRING (28.2926355 -24.8772218, 28.2926544 -24.8772431)"
125543895,2,Pretoria Way,residential,False,False,54.16,,"LINESTRING (28.292318 -24.8829851, 28.2926476 -24.8833696)"
125543895,2,Pretoria Way,residential,False,True,137.828,,"LINESTRING (28.292318 -24.8829851, 28.2914794 -24.8820065)"
1012076565,2,Moffat Road,residential,False,False,59.349000000000004,,"LINESTRING (28.292318 -24.8829851, 28.2928335 -24.88295, 28.2929047 -24.8829451)"
