osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,junction,maxspeed
4230397,2,Jonk Avenue,residential,False,True,6.956,,"LINESTRING (28.179994 -25.838552, 28.1799786 -25.838491)",,
"[631043538, 631043542]","['2', '3']",Lyttelton Road,secondary,True,False,142.10999999999999,M34,"LINESTRING (28.179994 -25.838552, 28.1798351 -25.8385803, 28.1795876 -25.8386431, 28.1792772 -25.8387276, 28.1787461 -25.8388616, 28.1787039 -25.8388724, 28.1786257 -25.8388918)",,
"[4225049, 633050115, 633002643]","['1', '2', '3']",,motorway_link,True,False,679.456,,"LINESTRING (28.183956 -25.8326729, 28.1842996 -25.8358452, 28.1843184 -25.8360154, 28.1843868 -25.8364101, 28.1845075 -25.8368377, 28.1847994 -25.8375793, 28.184883 -25.8378042, 28.184955 -25.8380373, 28.1849812 -25.8381362, 28.1849973 -25.8383941, 28.184995 -25.8385825, 28.1849896 -25.8386796)",,
"[630772584, 630772583]",2,,motorway_link,True,False,636.105,,"LINESTRING (28.1829733 -25.8382798, 28.183245 -25.8375749, 28.1835806 -25.8363742, 28.1837179 -25.8356867, 28.1837866 -25.8349373, 28.1837954 -25.8344257, 28.1837806 -25.8340056, 28.1837592 -25.8337787, 28.1836897 -25.8326542)",,
631043542,2,Lyttelton Road,secondary,True,False,249.362,M34,"LINESTRING (28.182475 -25.8385351, 28.1823436 -25.8385146, 28.1821458 -25.8384958, 28.1819285 -25.838479, 28.1814813 -25.8384608, 28.1810682 -25.8384608, 28.1808402 -25.8384651, 28.1804426 -25.838491, 28.1802327 -25.838514, 28.179994 -25.838552)",,
546450803,1,,motorway_link,True,False,80.263,,"LINESTRING (28.1851995 -25.8392563, 28.1849581 -25.8391911, 28.1848414 -25.8391911, 28.1847623 -25.8392056, 28.1846594 -25.8392539, 28.1844646 -25.8393746)",,
632669383,2,Jean Avenue,secondary,True,False,47.762,M34,"LINESTRING (28.1851995 -25.8392563, 28.1849433 -25.8391356, 28.1847703 -25.8390692)",,
552482845,1,,motorway_link,True,False,72.178,,"LINESTRING (28.1829588 -25.8389676, 28.1828432 -25.8387288, 28.1827708 -25.8386612, 28.182689 -25.8386214, 28.182475 -25.8385351)",,
632669376,2,,motorway_link,True,False,37.052,,"LINESTRING (28.1829588 -25.8389676, 28.1829472 -25.8387932, 28.1829464 -25.8386347)",,
4230386,2,Von Willigh Avenue,residential,False,False,44.599,,"LINESTRING (28.1783102 -25.8376292, 28.1783894 -25.8380239)",,
4230386,2,Von Willigh Avenue,residential,False,True,46.433,,"LINESTRING (28.1783102 -25.8376292, 28.1782177 -25.83722)",,
4230396,2,Durham Road,residential,False,False,171.354,,"LINESTRING (28.1783102 -25.8376292, 28.1766379 -25.8379599)",,
5022101,2,Rykers Street,residential,False,False,147.154,,"LINESTRING (28.1783102 -25.8376292, 28.1788051 -25.8376316, 28.1789473 -25.8376171, 28.1791162 -25.8375954, 28.1797653 -25.8374795)",,
4230396,2,Durham Road,residential,False,True,101.908,,"LINESTRING (28.1756391 -25.8381383, 28.1766379 -25.8379599)",,
600405098,,Edinburgh Avenue,residential,False,False,45.944,,"LINESTRING (28.1756391 -25.8381383, 28.1757207 -25.8385449)",,
600405098,,Edinburgh Avenue,residential,False,True,79.316,,"LINESTRING (28.1756391 -25.8381383, 28.1754896 -25.8374378)",,
600405098,,Edinburgh Avenue,residential,False,False,79.316,,"LINESTRING (28.1754896 -25.8374378, 28.1756391 -25.8381383)",,
5022097,,Edinburgh Avenue,residential,False,False,93.313,,"LINESTRING (28.1754896 -25.8374378, 28.1756263 -25.8373899, 28.1757399 -25.8373188, 28.1758188 -25.8372322, 28.1758657 -25.8371512, 28.1758935 -25.8370799, 28.1759007 -25.8369547, 28.1759061 -25.8367764)",,
631058854,2,Cornell Road,residential,False,True,44.509,,"LINESTRING (28.1759061 -25.8367764, 28.1763415 -25.8366948)",,
5022097,,Edinburgh Avenue,residential,False,False,143.294,,"LINESTRING (28.1759061 -25.8367764, 28.17591 -25.8366291, 28.1759122 -25.8365022, 28.1759049 -25.8363816, 28.1758905 -25.8362588, 28.1757151 -25.835505)",,
5022097,,Edinburgh Avenue,residential,False,True,93.31299999999999,,"LINESTRING (28.1759061 -25.8367764, 28.1759007 -25.8369547, 28.1758935 -25.8370799, 28.1758657 -25.8371512, 28.1758188 -25.8372322, 28.1757399 -25.8373188, 28.1756263 -25.8373899, 28.1754896 -25.8374378)",,
600405098,,Edinburgh Avenue,residential,False,True,45.944,,"LINESTRING (28.1757207 -25.8385449, 28.1756391 -25.8381383)",,
5022096,2,Edinburgh Avenue East,residential,False,False,114.275,,"LINESTRING (28.1757207 -25.8385449, 28.1763651 -25.8389725, 28.1766257 -25.8391708)",,
4230386,2,Von Willigh Avenue,residential,False,False,141.162,,"LINESTRING (28.1774211 -25.8338825, 28.1777104 -25.8350885, 28.1777188 -25.8351234)",,
