osmid,lanes,highway,oneway,reversed,length,name,geometry,ref,width,maxspeed
228523930,2,residential,False,True,82.01,,"LINESTRING (-15.9750271 18.0750998, -15.9757893 18.0752374)",,,
228523932,2,tertiary,False,False,36.918,استقلال,"LINESTRING (-15.9750271 18.0750998, -15.9750857 18.0747725)",,,
228523932,2,tertiary,False,True,40.957,استقلال,"LINESTRING (-15.9750271 18.0750998, -15.974962 18.0754629)",,,
241082812,,residential,False,False,46.762,Diagana Ousmane Diallo dit Dembo,"LINESTRING (-15.9750271 18.0750998, -15.9745933 18.0750174)",,,
241089633,2,unclassified,False,False,50.107,Abdel Aziz Sy,"LINESTRING (-15.9798467 18.0779898, -15.9793755 18.0779407)",,,
241089633,2,unclassified,False,True,74.577,Abdel Aziz Sy,"LINESTRING (-15.9798467 18.0779898, -15.9805422 18.0781024)",,,
430829960,,residential,False,True,90.627,نهج باكاري حخة,"LINESTRING (-15.9798467 18.0779898, -15.9799697 18.0771832)",,,
332219011,2,residential,False,False,82.62299999999999,نهج باكاري حخة,"LINESTRING (-15.9798467 18.0779898, -15.9797517 18.0785278, -15.9797155 18.0787223)",,,
228523932,2,tertiary,False,False,31.843,استقلال,"LINESTRING (-15.9743922 18.0786445, -15.9744428 18.0783622)",,,
228523932,2,tertiary,False,True,11.223,استقلال,"LINESTRING (-15.9743922 18.0786445, -15.9743744 18.078744)",,,
241127127,,residential,False,True,46.109,الجزائر,"LINESTRING (-15.9743922 18.0786445, -15.9748226 18.0787119)",,,
93698258,2,unclassified,False,False,47.563,عبد العزيز سي,"LINESTRING (-15.9760498 18.0813334, -15.9761194 18.0809108)",,,
325382107,2,unclassified,False,True,36.755,نهج الحبيب,"LINESTRING (-15.9760498 18.0813334, -15.9759905 18.0816591)",,,
922806249,4,tertiary,False,False,120.524,طريق الأمل,"LINESTRING (-15.9760498 18.0813334, -15.9749289 18.0811348)",RN3,,
450721727,4,tertiary,False,True,71.333,طريق الأمل,"LINESTRING (-15.9760498 18.0813334, -15.9766492 18.0814322, -15.9767147 18.0814431)",RN3,,
422499021,,unclassified,False,True,44.432,,"LINESTRING (-15.9825026 18.0765121, -15.9821894 18.0762456)",,4,
93698267,4,tertiary,False,False,73.851,Avenue Kennedy,"LINESTRING (-15.9825026 18.0765121, -15.9824168 18.076749, -15.9823388 18.0769999, -15.9823058 18.0771486)",,4,50
91037331,2,unclassified,False,False,59.323,,"LINESTRING (-15.9773615 18.0754582, -15.9774723 18.0749352)",,4,
228523930,2,residential,False,False,68.307,,"LINESTRING (-15.9773615 18.0754582, -15.9767217 18.075372)",,,
228523930,2,residential,False,True,46.67,,"LINESTRING (-15.9773615 18.0754582, -15.9777966 18.0755294)",,,
91037331,2,unclassified,False,True,81.805,,"LINESTRING (-15.9773615 18.0754582, -15.9772617 18.0761046, -15.977246 18.0761856)",,4,
228523932,2,tertiary,False,False,79.622,استقلال,"LINESTRING (-15.9748356 18.0761688, -15.974962 18.0754629)",,,
228523932,2,tertiary,False,True,22.04,استقلال,"LINESTRING (-15.9748356 18.0761688, -15.9748006 18.0763642)",,,
325481299,,residential,False,False,46.528,,"LINESTRING (-15.9748356 18.0761688, -15.974401 18.0761025)",,,
228523932,2,tertiary,False,False,46.55,استقلال,"LINESTRING (-15.9742489 18.0794448, -15.9743228 18.0790321)",,,
228523932,2,tertiary,False,True,171.674,استقلال,"LINESTRING (-15.9742489 18.0794448, -15.9739763 18.0809668)",,,
