osmid,highway,oneway,reversed,length,name,maxspeed,geometry,lanes,bridge,ref,junction
172517047,residential,False,True,124.45,,,"LINESTRING (19.7419932 43.0355126, 19.7425732 43.0344768)",,,,
172517050,residential,False,True,121.455,,,"LINESTRING (19.7419932 43.0355126, 19.7432542 43.0360987)",,,,
414945595,residential,False,False,67.656,Meše Selimovića,,"LINESTRING (19.7419932 43.0355126, 19.7412852 43.0351926)",,,,
299525537,residential,False,False,53.257,,30,"LINESTRING (19.7419932 43.0355126, 19.7418573 43.0357195, 19.7417302 43.035951)",,,,
304849072,residential,False,False,67.388,Radomira Medojevića,40,"LINESTRING (19.7446485 43.0350418, 19.7448715 43.0344581)",,,,
22883521,residential,False,False,60.454,Kneza Miroslava,30,"LINESTRING (19.7446485 43.0350418, 19.744613 43.0351502, 19.7444751 43.0355705)",,,,
374912275,secondary,False,False,126.87700000000001,Treće sandžačke brigade,40,"LINESTRING (19.7446485 43.0350418, 19.7444245 43.0349702, 19.7441496 43.0348438, 19.7440396 43.0347742, 19.7439498 43.0347056, 19.7438478 43.0346134, 19.7435059 43.0342946)",2,,,
374912275,secondary,False,True,256.112,Treće sandžačke brigade,40,"LINESTRING (19.7446485 43.0350418, 19.744918 43.0351183, 19.7450978 43.0351781, 19.745252 43.0352506, 19.7454063 43.0353335, 19.7457601 43.0355236, 19.7458981 43.0355978, 19.7461988 43.0357594, 19.7464322 43.0358887, 19.746573 43.0359544, 19.7467614 43.0360177, 19.7469237 43.0360534, 19.7470613 43.0360702, 19.7472286 43.036086, 19.7473893 43.0360937)",2,,,
172517058,residential,False,False,125.016,,30,"LINESTRING (19.742272 43.033689, 19.7422146 43.0337571, 19.7421981 43.0337766, 19.7419188 43.0341078, 19.7419096 43.0341267, 19.7419097 43.0341475, 19.7419175 43.0341609, 19.7419494 43.0341935, 19.7425732 43.0344768)",,,,
374912275,secondary,False,False,45.568,Treće sandžačke brigade,40,"LINESTRING (19.742272 43.033689, 19.742216 43.0336639, 19.7421805 43.0336479, 19.7417943 43.0334745)",2,,,
374912275,secondary,False,True,59.329,Treće sandžačke brigade,40,"LINESTRING (19.742272 43.033689, 19.7423735 43.0337316, 19.7424045 43.0337446, 19.742905 43.0339547)",2,,,
136417836,residential,False,False,138.144,Radnička,30,"LINESTRING (19.7463882 43.0325975, 19.7453849 43.0336003)",,,,
302951508,residential,True,False,135.86,Muniba Kučevića,30,"LINESTRING (19.7463882 43.0325975, 19.746382 43.0336331, 19.7463807 43.0338193)",,,,
344009652,residential,False,False,67.519,,,"LINESTRING (19.7463882 43.0325975, 19.7464981 43.0323942, 19.7465665 43.0323237, 19.7466322 43.0323119, 19.7466954 43.0323285, 19.7467138 43.0323333, 19.7467513 43.0323617, 19.7468132 43.0325046)",,,,
297820818,residential,False,True,33.182,Muha Dizdarevića,40,"LINESTRING (19.7494171 43.0327235, 19.7493636 43.0328385, 19.7493078 43.0329163, 19.74922 43.0329781)",,,,
297820818,residential,False,False,33.182,Muha Dizdarevića,40,"LINESTRING (19.74922 43.0329781, 19.7493078 43.0329163, 19.7493636 43.0328385, 19.7494171 43.0327235)",,,,
297820818,residential,False,True,95.786,Muha Dizdarevića,40,"LINESTRING (19.74922 43.0329781, 19.748928 43.0331507, 19.7486272 43.0333109, 19.748271 43.033488)",,,,
297819442,residential,False,True,130.85500000000002,Lenke Jurišević,30,"LINESTRING (19.7501875 43.0333824, 19.7498444 43.0335351, 19.7495352 43.0336727, 19.7488603 43.0340459)",,,,
336099000,tertiary,False,True,137.997,Tršova,40,"LINESTRING (19.748271 43.033488, 19.7472332 43.0325058)",2,,,
297820818,residential,False,False,95.786,Muha Dizdarevića,40,"LINESTRING (19.748271 43.033488, 19.7486272 43.0333109, 19.748928 43.0331507, 19.74922 43.0329781)",,,,
336099000,tertiary,False,False,78.43100000000001,Tršova,40,"LINESTRING (19.748271 43.033488, 19.7485371 43.0337183, 19.7488603 43.0340459)",2,,,
344010835,residential,True,False,159.477,Trećeg Januara,40,"LINESTRING (19.748271 43.033488, 19.7479499 43.033599, 19.747733 43.0336586, 19.7474272 43.0337253, 19.7471958 43.0337644, 19.7463807 43.0338193)",,,,
414944149,residential,True,False,86.251,Muniba Kučevića,30,"LINESTRING (19.7463807 43.0338193, 19.746503 43.0345898)",,,,
414944151,residential,False,False,87.626,Trećeg Januara,40,"LINESTRING (19.7463807 43.0338193, 19.7462082 43.0338349, 19.7461018 43.0338317, 19.7459421 43.0338022, 19.7457164 43.0337454, 19.7454494 43.0336578, 19.7453849 43.0336003)",,,,
506437002,residential,False,False,139.735,Slobode,,"LINESTRING (19.74737 43.0345127, 19.7476415 43.0357536)",,,,
374706404,residential,True,False,132.724,Tomaša Žižića,40,"LINESTRING (19.74737 43.0345127, 19.7477815 43.0344437, 19.7481413 43.0343331, 19.7484841 43.0342139, 19.7488603 43.0340459)",,,,
343529066,residential,False,False,92.59100000000001,Lješnjička,40,"LINESTRING (19.7459118 43.0369599, 19.7459794 43.0369415, 19.7460484 43.0369352, 19.7463914 43.0369253, 19.7465232 43.0369154, 19.7469082 43.036869, 19.7470397 43.036865)",,,,
343529066,residential,False,True,66.337,Lješnjička,40,"LINESTRING (19.7459118 43.0369599, 19.7458689 43.036981, 19.7457522 43.0370558, 19.7455811 43.0371607, 19.7454452 43.0372439, 19.7453952 43.0372923, 19.7453281 43.03737)",,,,
344143938,tertiary,False,True,37.404,Voja Lješnjaka,40,"LINESTRING (19.7526351 43.0374039, 19.7523318 43.0371509)",2,,,
414949900,residential,False,False,70.11,,,"LINESTRING (19.7526351 43.0374039, 19.7522201 43.0377521, 19.7521185 43.0379036)",,,,
