osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,lanes,ref,tunnel
26630716,Ul. Dr. Sava Dimitrijevića,residential,False,False,20.821,,"LINESTRING (19.359615 43.3584285, 19.3598386 43.3583356)",,,,
728212337,Vuka Kneževića,residential,True,False,55.511,,"LINESTRING (19.359615 43.3584285, 19.3594955 43.3579369)",,,,
"[241217024, 57851237]",Ul. Dr. Sava Dimitrijevića,residential,False,False,44.923,yes,"LINESTRING (19.359615 43.3584285, 19.3593476 43.3585494, 19.3592652 43.3585874, 19.3591548 43.3586537)",,,,
1201167992,,residential,False,False,99.619,,"LINESTRING (19.359615 43.3584285, 19.3597074 43.3585505, 19.3597167 43.3585862, 19.3599199 43.3588222, 19.3599993 43.3589019, 19.360046 43.3589155, 19.360095 43.3589121, 19.360408 43.3587648)",,,,
"[241217024, 57851237]",Ul. Dr. Sava Dimitrijevića,residential,False,True,44.923,yes,"LINESTRING (19.3591548 43.3586537, 19.3592652 43.3585874, 19.3593476 43.3585494, 19.359615 43.3584285)",,,,
241217027,Ul. Dr. Sava Dimitrijevića,residential,False,False,66.872,,"LINESTRING (19.3591548 43.3586537, 19.359018 43.3587416, 19.3585095 43.3590296)",,,,
62898462,Mila Peruničića,residential,True,False,77.16,,"LINESTRING (19.3556659 43.3574738, 19.3557896 43.357525, 19.3558593 43.3575538, 19.3560632 43.3576045, 19.3564993 43.3576674, 19.35657 43.3576764)",,,,
233234568,Boljanička,residential,False,False,157.42899999999997,,"LINESTRING (19.3556659 43.3574738, 19.3555877 43.3574296, 19.3555398 43.3574025, 19.3555104 43.3573859, 19.3552736 43.3572599, 19.3550947 43.3571376, 19.3549424 43.3570623, 19.3548216 43.3570187, 19.3547142 43.3569692, 19.3545159 43.3568587, 19.354376 43.3567964, 19.3542499 43.3567583, 19.3540354 43.3567537)",,,,
"[921284593, 921284594, 173014731]",Kralja Petra I,residential,False,False,145.655,yes,"LINESTRING (19.3556659 43.3574738, 19.3557519 43.3574344, 19.355853 43.3573881, 19.3558808 43.3573754, 19.356039 43.3573028, 19.3560708 43.3572871, 19.3566367 43.3570067, 19.356807 43.3569055, 19.3569589 43.3568152, 19.3571393 43.3567222)",,,,
921284593,Kralja Petra I,residential,False,True,86.56800000000001,,"LINESTRING (19.3556659 43.3574738, 19.3554838 43.3575614, 19.3547678 43.3578977)",,,,
26630713,Vuka Kneževića,residential,False,False,45.274,,"LINESTRING (19.3571393 43.3567222, 19.3572282 43.3568257, 19.3572647 43.356864, 19.3573982 43.3569515, 19.3574944 43.3570336)",,,,
26630757,Borisa Kidriča,residential,False,False,151.05700000000002,,"LINESTRING (19.3571393 43.3567222, 19.3569786 43.3565644, 19.3567386 43.3564283, 19.3563547 43.3562104, 19.3557186 43.3558494)",,,,
"[921284593, 921284594, 173014731]",Kralja Petra I,residential,False,True,145.655,yes,"LINESTRING (19.3571393 43.3567222, 19.3569589 43.3568152, 19.356807 43.3569055, 19.3566367 43.3570067, 19.3560708 43.3572871, 19.356039 43.3573028, 19.3558808 43.3573754, 19.355853 43.3573881, 19.3557519 43.3574344, 19.3556659 43.3574738)",,,,
26630713,Vuka Kneževića,residential,False,False,91.621,,"LINESTRING (19.3574944 43.3570336, 19.3576283 43.3570174, 19.3580832 43.3569974, 19.358289 43.3570156, 19.3583799 43.35702, 19.3585585 43.3570512, 19.3586165 43.3570614)",,,,
