osmid,oneway,lanes,name,highway,maxspeed,access,junction,reversed,length,geometry
173944081,True,2,Trg Save Kovačevića,secondary,40,yes,roundabout,False,17.371,"LINESTRING (18.9477486 42.7708481, 18.947817 42.770862, 18.9478782 42.7708884, 18.947928 42.7709254)"
"[1178040050, 1178040053, 1178040054]",True,2,Bulevar 13. Jul,secondary,"['20', '40']",,,False,147.47299999999996,"LINESTRING (18.9477486 42.7708481, 18.9478832 42.7707151, 18.9479231 42.7706616, 18.9481224 42.7703942, 18.9482497 42.7702233, 18.9483271 42.7701193, 18.9484548 42.769948, 18.9484854 42.7699069, 18.9485219 42.7698579, 18.9485545 42.7698143, 18.9485752 42.7697864, 18.9486419 42.7696969)"
56688182,True,2,Vuka Mićunovića,secondary,40,yes,,False,152.01099999999997,"LINESTRING (18.9476361 42.771239, 18.9475227 42.7713328, 18.9475003 42.771363, 18.9473905 42.7715109, 18.9473588 42.7715535, 18.9468473 42.7722406, 18.9468126 42.7722873, 18.946708 42.7724209)"
173944081,True,2,Trg Save Kovačevića,secondary,40,yes,roundabout,False,12.637,"LINESTRING (18.9476361 42.771239, 18.9475654 42.7712159, 18.9475064 42.7711791)"
173944081,True,2,Trg Save Kovačevića,secondary,40,yes,roundabout,False,18.072,"LINESTRING (18.947955 42.7711353, 18.9479136 42.7711801, 18.9478573 42.7712152, 18.9477903 42.7712379)"
525220957,False,2,Ivana Milutinovića,tertiary,40,,,True,151.237,"LINESTRING (18.947955 42.7711353, 18.9480202 42.7711685, 18.9480647 42.7711911, 18.9480937 42.7712049, 18.9483022 42.7713045, 18.9484572 42.7713705, 18.948629 42.7714438, 18.949394 42.7717698, 18.9495441 42.7718338)"
169553679,False,,Serdara Šćepana,residential,,,,False,84.38,"LINESTRING (18.9521615 42.776652, 18.9522534 42.7767381, 18.952274 42.7767574, 18.9527502 42.7772034, 18.9527992 42.7772493)"
"[1173746737, 1173746738, 1173746739]",False,4,Nikole Tesle,tertiary,"['40', '30']",,,False,115.61,"LINESTRING (18.9521615 42.776652, 18.9522585 42.776596, 18.952287 42.7765795, 18.9526833 42.776351, 18.9529878 42.7761754, 18.9531243 42.7760975, 18.9531444 42.7760859, 18.9532042 42.7760506, 18.9532765 42.7760108)"
1173746740,False,,Serdara Šćepana,residential,,,,True,175.65000000000003,"LINESTRING (18.9521615 42.776652, 18.9520483 42.7765517, 18.9520311 42.7765365, 18.9509986 42.7756218, 18.950792 42.7754335)"
"[1173746741, 1173746742]",False,4,Nikole Tesle,tertiary,40,,,True,101.139,"LINESTRING (18.9521615 42.776652, 18.9520336 42.7766798, 18.9520025 42.7766866, 18.9519778 42.776692, 18.9513845 42.7768212, 18.9511055 42.7768819, 18.951062 42.7768914, 18.9509735 42.7769107)"
303522738,False,,Danila Bojovića,residential,,,,True,59.274,"LINESTRING (18.9519124 42.7748698, 18.9514399 42.774465)"
207638656,False,,,residential,,,,False,45.513,"LINESTRING (18.9519124 42.7748698, 18.9518445 42.7750267, 18.9517812 42.7751649, 18.9517678 42.775194, 18.9517382 42.7752586)"
303522738,False,,Danila Bojovića,residential,,,,False,66.445,"LINESTRING (18.9519124 42.7748698, 18.952033 42.7749094, 18.9520876 42.7749129, 18.9523907 42.7748859, 18.9525049 42.7748519, 18.9526768 42.7747789)"
207638667,False,,Pete Proleterske brigade,tertiary,40,,,False,63.527,"LINESTRING (18.9514399 42.774465, 18.9520447 42.7741054)"
207638668,False,,,tertiary,,,,False,108.723,"LINESTRING (18.9514399 42.774465, 18.9504005 42.7750765)"
