osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width
193450720,2,Marka Miljanova,secondary,50,False,True,13.317,"LINESTRING (19.2676814 42.4424065, 19.2676198 42.4422957)",,,
336116906,2,Beogradska,residential,50,True,False,66.36699999999999,"LINESTRING (19.2676814 42.4424065, 19.2677203 42.4424772, 19.2677443 42.4425204, 19.2679916 42.4429577)",,,
"[1160556992, 14368582]",2,Bulevar Ivana Crnojevića,secondary,50,True,False,139.301,"LINESTRING (19.2676814 42.4424065, 19.2674957 42.4424613, 19.2674743 42.4424676, 19.2668944 42.4426386, 19.266105 42.4428714)",,,
763501788,,Slobode,tertiary,,False,False,8.759,"LINESTRING (19.2622346 42.4389331, 19.2622737 42.4390064)",,,
"[28157937, 1112787418, 1028801917, 28157901]",3,"['Kralja Nikole', 'Most Braće Zlatičanin']",tertiary,,False,True,221.24200000000002,"LINESTRING (19.2622346 42.4389331, 19.2621752 42.4388104, 19.2621575 42.4387728, 19.2619873 42.4384125, 19.2618972 42.4382276, 19.2618847 42.438202, 19.2616025 42.4376952, 19.2615737 42.4376421, 19.2613183 42.4371704, 19.2612674 42.4370764)",yes,,
"[1028801923, 1028801924, 1189253317, 1028801925]","['2', '3']",Bulevar Svetog Petra Cetinjskog,secondary,,True,False,272.34,"LINESTRING (19.2622346 42.4389331, 19.2624136 42.4388819, 19.2630707 42.4386883, 19.2637266 42.4384961, 19.2638077 42.4384724, 19.2638323 42.4384658, 19.2645648 42.4382516, 19.2650542 42.4381084, 19.265143 42.4380824, 19.2653198 42.4380307)",,,
27497458,,Gojka Radonjića,residential,,False,False,145.42900000000003,"LINESTRING (19.2612674 42.4370764, 19.2612164 42.4370941, 19.2611999 42.4370998, 19.2609363 42.4371909, 19.2606579 42.437292, 19.2602442 42.4374354, 19.259976 42.4375116, 19.2599009 42.437522, 19.2598043 42.4375225, 19.259626 42.4375131)",,,
"[28157901, 28157937, 1112787418, 1028801917]",3,"['Kralja Nikole', 'Most Braće Zlatičanin']",tertiary,,False,False,221.242,"LINESTRING (19.2612674 42.4370764, 19.2613183 42.4371704, 19.2615737 42.4376421, 19.2616025 42.4376952, 19.2618847 42.438202, 19.2618972 42.4382276, 19.2619873 42.4384125, 19.2621575 42.4387728, 19.2621752 42.4388104, 19.2622346 42.4389331)",yes,,
"[1028801928, 1028801932, 27522861, 1028801927]",1,Vuka Karadžića,residential,,True,False,134.835,"LINESTRING (19.2627538 42.4398836, 19.2628183 42.4398664, 19.2631237 42.4397789, 19.2633713 42.4397079, 19.2640986 42.4394994, 19.264286 42.4394457)",,,
302917246,2,Slobode,residential,,False,False,106.723,"LINESTRING (19.2627538 42.4398836, 19.2627959 42.4399654, 19.2632429 42.4407729)",,,
