osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,bridge,junction
273839912,False,2,R-1,secondary,False,57.541000000000004,"LINESTRING (18.765337 42.4160655, 18.7654019 42.4160796, 18.7654667 42.4160968, 18.7655348 42.4161151, 18.7655963 42.4161388, 18.7656488 42.4161666, 18.7657119 42.4162124, 18.7657493 42.4162538, 18.7657686 42.4162765, 18.7658098 42.4163283, 18.76584 42.4163865)",,,,
"[207583610, 1042204854]",False,2,R-1,secondary,True,143.918,"LINESTRING (18.765337 42.4160655, 18.7651691 42.4160527, 18.7650222 42.4160465, 18.7648938 42.4160451, 18.764657 42.4160473, 18.7645857 42.4160507, 18.7644303 42.4160609, 18.7642402 42.4160815, 18.7641223 42.4160969, 18.7639722 42.41612, 18.7638335 42.4161431, 18.7636071 42.4161952)",,,,
1042204851,False,2,M-1,primary,False,4.701,"LINESTRING (18.76584 42.4163865, 18.7658494 42.4164282)",Put prvoboraca,40,,
273839912,False,2,R-1,secondary,True,57.541,"LINESTRING (18.76584 42.4163865, 18.7658098 42.4163283, 18.7657686 42.4162765, 18.7657493 42.4162538, 18.7657119 42.4162124, 18.7656488 42.4161666, 18.7655963 42.4161388, 18.7655348 42.4161151, 18.7654667 42.4160968, 18.7654019 42.4160796, 18.765337 42.4160655)",,,,
1042204853,False,2,M-1,primary,True,48.538000000000004,"LINESTRING (18.76584 42.4163865, 18.765823 42.4163021, 18.765809 42.4162412, 18.7657954 42.4161848, 18.7657732 42.4161258, 18.7657445 42.4160621, 18.7657147 42.4160051, 18.7656916 42.415966)",,60,,
118481478,False,2,M-1,primary,False,105.595,"LINESTRING (18.7660484 42.4176393, 18.7661358 42.4176615, 18.7662564 42.4176698, 18.7664096 42.4176713, 18.7665919 42.4176693, 18.7667446 42.4176659, 18.7668878 42.4176613, 18.7669356 42.4176605, 18.7670799 42.4176579, 18.7671655 42.4176599, 18.7672465 42.4176679, 18.767326 42.4176816)",Put prvoboraca,40,,
"[1042204851, 118481478]",False,2,M-1,primary,True,139.26,"LINESTRING (18.7660484 42.4176393, 18.7659809 42.4176018, 18.7659382 42.4175605, 18.7659143 42.417521, 18.7659004 42.4174653, 18.7658912 42.4173934, 18.765875 42.4171723, 18.7658777 42.4170447, 18.7658746 42.4168619, 18.7658506 42.4164591, 18.7658494 42.4164282)",Put prvoboraca,40,,
"[197909216, 744447380, 744447381]",False,,,residential,False,29.731,"LINESTRING (18.7660484 42.4176393, 18.7659766 42.4176671, 18.76586 42.4176743, 18.7657738 42.417675, 18.765696 42.4176778)",,,yes,
55536239,False,,,residential,False,40.86,"LINESTRING (18.7642171 42.4189539, 18.7641264 42.4189032, 18.7639568 42.4188562, 18.7637557 42.4188367)",Ivo Brkanović,,,
55536239,False,,,residential,True,114.32,"LINESTRING (18.7642171 42.4189539, 18.7642194 42.4190521, 18.7641879 42.4191946, 18.7641856 42.419447, 18.764185 42.4194742, 18.7642152 42.4199796)",Ivo Brkanović,,,
55536239,False,,,residential,False,161.27700000000002,"LINESTRING (18.7644135 42.421422, 18.7644093 42.421389, 18.7643373 42.420837, 18.7642289 42.4202085, 18.7642152 42.4199796)",Ivo Brkanović,,,
744188581,False,2,,tertiary,False,129.892,"LINESTRING (18.7644135 42.421422, 18.7640252 42.421457, 18.7635762 42.4215153, 18.7635009 42.4215422, 18.7634862 42.4215474, 18.762914 42.4217513)",Njegoševa,40,,
744188581,False,2,,tertiary,True,436.077,"LINESTRING (18.7644135 42.421422, 18.76457 42.4214114, 18.7650699 42.4214029, 18.7651407 42.4214002, 18.7652767 42.4213994, 18.7657123 42.4214184, 18.7663654 42.4214473, 18.7666101 42.4214607, 18.7667369 42.4214677, 18.7674212 42.4215052, 18.7678438 42.4215272, 18.7686624 42.4215698, 18.7692849 42.4216033, 18.769658 42.4216343, 18.7697129 42.4216388)",Njegoševa,40,,
118481478,False,2,M-1,primary,False,130.836,"LINESTRING (18.7698092 42.4202256, 18.770049 42.421117, 18.7700528 42.4213139, 18.7700533 42.4213848)",Put prvoboraca,40,,
118481478,False,2,M-1,primary,True,107.966,"LINESTRING (18.7698092 42.4202256, 18.7697382 42.4200751, 18.769677 42.4199811, 18.7696574 42.4199501, 18.7696061 42.4198881, 18.7694711 42.4197221, 18.7694196 42.4196623, 18.7692564 42.4194819, 18.7691673 42.4193827)",Put prvoboraca,40,,
118481478,False,2,M-1,primary,False,107.96600000000001,"LINESTRING (18.7691673 42.4193827, 18.7692564 42.4194819, 18.7694196 42.4196623, 18.7694711 42.4197221, 18.7696061 42.4198881, 18.7696574 42.4199501, 18.769677 42.4199811, 18.7697382 42.4200751, 18.7698092 42.4202256)",Put prvoboraca,40,,
118481478,False,2,M-1,primary,True,213.356,"LINESTRING (18.7691673 42.4193827, 18.7690515 42.4192563, 18.768999 42.4192003, 18.7688665 42.4190592, 18.7679652 42.4181079, 18.7678724 42.4180127, 18.7677457 42.4178866, 18.7677057 42.4178527, 18.7676612 42.4178202)",Put prvoboraca,40,,
165439807,False,,,residential,False,304.00699999999995,"LINESTRING (18.7691673 42.4193827, 18.7692064 42.4193631, 18.7692536 42.4193394, 18.7694704 42.4192153, 18.7696219 42.4191497, 18.7697022 42.419087, 18.7697526 42.4190413, 18.7697709 42.4190058, 18.7697824 42.41895, 18.7697208 42.4184124, 18.7696952 42.4182411, 18.7695015 42.4177979, 18.769378 42.4174804, 18.7692993 42.4172022, 18.7692414 42.4169123)",,,,
155906799,False,,,residential,True,293.634,"LINESTRING (18.7597249 42.4227593, 18.7597753 42.4222996, 18.7597799 42.4221758, 18.7597833 42.422021, 18.7597857 42.4219385, 18.7597122 42.4215654, 18.7596876 42.4213623, 18.7597637 42.4210667, 18.7600275 42.4204656, 18.7601947 42.4201871)",,,,
155906799,False,,,residential,False,510.78200000000004,"LINESTRING (18.7632993 42.416274, 18.7633261 42.4163798, 18.7633167 42.416464, 18.7632537 42.4165362, 18.7625188 42.4171144, 18.7623498 42.4172946, 18.7621513 42.4175302, 18.7617195 42.4181916, 18.7615639 42.4183698, 18.7612678 42.4187549, 18.7610543 42.4190272, 18.7608331 42.4193056, 18.7604267 42.4198767, 18.7601947 42.4201871)",,,,
207583610,False,2,R-1,secondary,False,26.746000000000002,"LINESTRING (18.7632993 42.416274, 18.7634511 42.4162367, 18.7636071 42.4161952)",,,,
1042204853,False,2,M-1,primary,False,48.538,"LINESTRING (18.7656916 42.415966, 18.7657147 42.4160051, 18.7657445 42.4160621, 18.7657732 42.4161258, 18.7657954 42.4161848, 18.765809 42.4162412, 18.765823 42.4163021, 18.76584 42.4163865)",,60,,
165439807,False,,,residential,True,53.557,"LINESTRING (18.7691771 42.416433, 18.7692414 42.4169123)",,,,
1184939875,False,,,residential,True,88.369,"LINESTRING (18.7691771 42.416433, 18.7681393 42.4166441)",,,,
165439807,False,,,residential,False,32.946,"LINESTRING (18.7691771 42.416433, 18.769113 42.4161897, 18.7691108 42.4161413)",,,,
