osmid,highway,oneway,reversed,length,geometry,ref,junction,name
358274412,unclassified,False,False,35.828,"LINESTRING (42.7437107 13.0060843, 42.7434549 13.0058801)",,,
89903693,secondary,False,False,159.41500000000002,"LINESTRING (42.7437107 13.0060843, 42.743017 13.0058452, 42.7428605 13.0058494, 42.7427166 13.0058782, 42.7425855 13.0059648, 42.7424205 13.0061776)",,,
421568501,secondary,False,False,47.42,"LINESTRING (42.7437107 13.0060843, 42.7438934 13.0062316, 42.7440478 13.0063563)",P-6,,
89903693,secondary,False,False,103.258,"LINESTRING (42.7424205 13.0061776, 42.7418238 13.0069017)",,,
616591881,residential,False,True,75.187,"LINESTRING (42.7424205 13.0061776, 42.7418911 13.0057404)",,,
89903693,secondary,False,True,159.41500000000002,"LINESTRING (42.7424205 13.0061776, 42.7425855 13.0059648, 42.7427166 13.0058782, 42.7428605 13.0058494, 42.743017 13.0058452, 42.7437107 13.0060843)",,,
616591880,unclassified,False,False,203.346,"LINESTRING (42.7424205 13.0061776, 42.7430418 13.0066459, 42.7438812 13.0073255)",,,
552997226,residential,False,True,140.637,"LINESTRING (42.744686 13.0115995, 42.7436721 13.0108097)",,,
89904563,secondary,False,False,73.286,"LINESTRING (42.744686 13.0115995, 42.7446619 13.011687, 42.7445747 13.0119053, 42.7444218 13.0122045)",P-6,,
89904563,secondary,False,True,48.277,"LINESTRING (42.744686 13.0115995, 42.7447115 13.0114923, 42.7447101 13.0113996, 42.7446719 13.0111712)",P-6,,
1038745033,secondary,True,False,53.673,"LINESTRING (42.7441346 13.0102228, 42.7444583 13.0098574)",P-6,roundabout,
96379076,tertiary,False,True,82.281,"LINESTRING (42.7441346 13.0102228, 42.7437509 13.0107135, 42.7436721 13.0108097)",,,
96379136,tertiary,False,False,243.269,"LINESTRING (42.7441346 13.0102228, 42.7432966 13.009548, 42.7423978 13.0088362)",,,
96379158,residential,False,True,69.888,"LINESTRING (42.740399 13.0062122, 42.740804 13.005723)",,,
616591882,residential,False,True,92.86,"LINESTRING (42.740399 13.0062122, 42.7410612 13.0067424)",,,
96379147,residential,False,False,140.229,"LINESTRING (42.740399 13.0062122, 42.7403007 13.0060984, 42.740251 13.0059651, 42.7402304 13.005865, 42.7402268 13.0057887, 42.740251 13.0055848, 42.7402671 13.0054659, 42.7402966 13.0053026, 42.7403455 13.0051634, 42.740373 13.0051131, 42.7404301 13.0050337)",,,
96379158,residential,False,False,90.673,"LINESTRING (42.740399 13.0062122, 42.7401474 13.0065163, 42.7399419 13.006891)",,,
96379187,residential,False,True,94.937,"LINESTRING (42.7438812 13.0073255, 42.7444255 13.0066564)",,,
616591880,unclassified,False,False,37.874,"LINESTRING (42.7438812 13.0073255, 42.7441509 13.0075422)",,,
616591880,unclassified,False,True,203.346,"LINESTRING (42.7438812 13.0073255, 42.7430418 13.0066459, 42.7424205 13.0061776)",,,
626233510,residential,False,False,66.953,"LINESTRING (42.7400176 13.0134158, 42.7404347 13.0129715)",,,
96378995,residential,False,False,47.724,"LINESTRING (42.7440369 13.0130146, 42.7436289 13.0128528)",,,
89904563,secondary,False,True,99.267,"LINESTRING (42.7440369 13.0130146, 42.7441804 13.0127036, 42.7444218 13.0122045)",P-6,,
96378995,residential,False,True,101.609,"LINESTRING (42.7425724 13.0121653, 42.743312 13.0127272)",,,
96379076,tertiary,False,False,120.622,"LINESTRING (42.7425724 13.0121653, 42.7432605 13.0113125)",,,
96379076,tertiary,False,True,74.802,"LINESTRING (42.7425724 13.0121653, 42.7421485 13.0126963)",,,
96378995,residential,False,False,175.31,"LINESTRING (42.7425724 13.0121653, 42.7421513 13.0118105, 42.7421379 13.0117563, 42.7421513 13.0116975, 42.7425188 13.010852)",,,
96379045,residential,False,False,64.488,"LINESTRING (42.7430539 13.0132498, 42.743312 13.0127272)",,,
96379155,residential,False,True,115.8,"LINESTRING (42.7430539 13.0132498, 42.7421485 13.0126963)",,,
96379155,residential,False,False,102.746,"LINESTRING (42.7430539 13.0132498, 42.7434263 13.0133369, 42.7434656 13.013338, 42.7434884 13.0133073, 42.7436289 13.0128528)",,,
96379134,secondary,False,False,93.147,"LINESTRING (42.7460095 13.0079448, 42.7459372 13.0080348, 42.745716 13.0082988, 42.7454748 13.0086007)",P-6,,
421568501,secondary,False,True,223.60500000000002,"LINESTRING (42.7460095 13.0079448, 42.7459761 13.0079153, 42.7458769 13.0078245, 42.74561 13.0076115, 42.7451661 13.0072391, 42.7444255 13.0066564)",P-6,,
421568502,residential,False,True,95.79500000000002,"LINESTRING (42.7460095 13.0079448, 42.7462363 13.0081302, 42.7464467 13.0083125, 42.7466842 13.0085014)",,,
96379112,residential,False,False,116.727,"LINESTRING (42.7410612 13.0067424, 42.740804 13.005723)",,,
616591882,residential,False,False,92.86,"LINESTRING (42.7410612 13.0067424, 42.740399 13.0062122)",,,
616591882,residential,False,True,26.977,"LINESTRING (42.7410612 13.0067424, 42.7412536 13.0068964)",,,
96379122,tertiary,False,True,76.782,"LINESTRING (42.7398735 13.0125498, 42.7404347 13.0129715)",,,
626233508,residential,False,True,22.332,"LINESTRING (42.7398735 13.0125498, 42.7400116 13.0124007)",,,
96379076,tertiary,False,False,25.861,"LINESTRING (42.7420029 13.0128806, 42.7421485 13.0126963)",,,
552997227,residential,False,True,56.209,"LINESTRING (42.7420029 13.0128806, 42.7415919 13.0125721)",,,
96379076,tertiary,False,True,47.013000000000005,"LINESTRING (42.7420029 13.0128806, 42.741875 13.0131087, 42.7418174 13.0132616)",,,
96379136,tertiary,False,False,49.359,"LINESTRING (42.7417921 13.0083525, 42.7414429 13.0080674)",,,
616568217,residential,False,True,49.473,"LINESTRING (42.7417921 13.0083525, 42.7415103 13.0087026)",,,
