osmid,ref,highway,junction,oneway,reversed,length,geometry,name,lanes,maxspeed,bridge
130074181,E491,primary,roundabout,True,False,7.457000000000001,"LINESTRING (-78.998788 -1.5895972, -78.9987878 -1.5896308, -78.9987777 -1.5896627)",,,,
146390253,,tertiary,,True,False,80.854,"LINESTRING (-78.998788 -1.5895972, -78.999052 -1.589634, -78.9995019 -1.5897339)",Avenida Candido Rada,,,
146390251,,residential,,False,False,78.832,"LINESTRING (-78.9977256 -1.5909207, -78.9979168 -1.590238)",Eloy Alfaro,,,
378064543,E491,primary,,True,False,115.274,"LINESTRING (-78.9977256 -1.5909207, -78.997805 -1.5909056, -78.9987424 -1.5910945)",,,,
169319233,E491,primary,,True,False,76.236,"LINESTRING (-78.9987424 -1.5910945, -78.9987186 -1.5907801, -78.9986715 -1.5904128)",Avenida General Enriquez,,,
378064543,E491,primary,,True,False,20.553,"LINESTRING (-78.9987424 -1.5910945, -78.9988059 -1.5910951, -78.9988661 -1.5910924, -78.9989214 -1.5910663)",,,,
86878158,,residential,,True,False,78.303,"LINESTRING (-79.002185 -1.5912233, -79.0014982 -1.5910666)",Azuay,,,
86878175,,residential,,True,False,82.25,"LINESTRING (-79.002185 -1.5912233, -79.0019996 -1.5919394)",Sucre,,,
86878158,,residential,,True,False,92.952,"LINESTRING (-79.0014982 -1.5910666, -79.0006843 -1.5908746)",Azuay,,,
86878166,,residential,,True,False,85.238,"LINESTRING (-79.0014982 -1.5910666, -79.0016444 -1.5903141)",Convención de 1884,,,
86878174,,residential,,True,False,78.966,"LINESTRING (-79.0018407 -1.5926633, -79.0011476 -1.5925074)",10 de Agosto,,,
86878175,,residential,,True,False,85.592,"LINESTRING (-79.0018407 -1.5926633, -79.0016509 -1.5934093)",Sucre,,,
86878166,,residential,,True,False,82.828,"LINESTRING (-79.0013215 -1.5917902, -79.0013277 -1.5917704, -79.0014982 -1.5910666)",Convención de 1884,,,
86878171,,residential,,True,False,77.183,"LINESTRING (-79.0013215 -1.5917902, -79.001522 -1.59183, -79.0019996 -1.5919394)",García Moreno,,,
86878166,,residential,,True,False,82.058,"LINESTRING (-79.0011476 -1.5925074, -79.0013215 -1.5917902)",Convención de 1884,,,
86878174,,residential,,True,False,84.709,"LINESTRING (-79.0011476 -1.5925074, -79.0008762 -1.592453, -79.0006719 -1.5924018, -79.0004089 -1.5923226)",10 de Agosto,,,
85440765,,residential,,False,False,86.873,"LINESTRING (-79.0018119 -1.5896089, -79.0010542 -1.5894173)",Selva Alegre,2,30,
85440765,,residential,,False,True,83.143,"LINESTRING (-79.0018119 -1.5896089, -79.0025433 -1.5897656)",Selva Alegre,2,30,
86878166,,residential,,True,False,100.059,"LINESTRING (-79.0018119 -1.5896089, -79.0020126 -1.5887317)",Convención de 1884,,,
85440756,,residential,,True,False,84.088,"LINESTRING (-79.0020126 -1.5887317, -79.0027466 -1.5889148)",Maldonado,,,
85440765,,residential,,False,True,76.586,"LINESTRING (-79.0003887 -1.5892389, -79.0010542 -1.5894173)",Selva Alegre,2,30,
100064289,,residential,,True,False,2.799,"LINESTRING (-79.0003887 -1.5892389, -79.0003641 -1.5892335)",Selva Alegre,,,no
85440756,,residential,,True,False,80.231,"LINESTRING (-79.0012358 -1.5885004, -79.0019273 -1.5887073)",Maldonado,,,
86878168,,residential,,True,False,103.934,"LINESTRING (-79.0012358 -1.5885004, -79.0010542 -1.5894173)",7 de Mayo,,,
107579222,,residential,,False,True,51.539,"LINESTRING (-79.0012358 -1.5885004, -79.0012647 -1.5880378)",Avenida 7 de Mayo,,,
85440756,,residential,,True,False,5.842,"LINESTRING (-79.0005594 -1.5883023, -79.0006094 -1.5883185)",Maldonado,,,
100064294,,residential,,True,False,53.275,"LINESTRING (-79.0005594 -1.5883023, -79.0006483 -1.5878315)",Caracas,,,
85440765,,residential,,False,False,76.586,"LINESTRING (-79.0010542 -1.5894173, -79.0003887 -1.5892389)",Selva Alegre,2,30,
85440765,,residential,,False,True,86.873,"LINESTRING (-79.0010542 -1.5894173, -79.0018119 -1.5896089)",Selva Alegre,2,30,
86878168,,residential,,True,False,82.053,"LINESTRING (-79.0010542 -1.5894173, -79.000883 -1.5901351)",7 de Mayo,,,
