osmid,name,highway,oneway,reversed,length,maxspeed,geometry,junction,lanes
207640337,Սուրեն Մնացականյան,residential,False,False,15.95,,"LINESTRING (44.6319893 40.274022, 44.632148 40.2740989)",,
207635746,Ռուսաստանի փողոց,secondary,True,False,282.579,60,"LINESTRING (44.6319893 40.274022, 44.6320412 40.2739675, 44.6323906 40.2735999, 44.6327291 40.2731605, 44.6329235 40.2729168, 44.6330937 40.2726609, 44.6333361 40.2722273, 44.6333794 40.2720857, 44.6333291 40.2717669)",,
668565884,Սուրեն Մնացականյան,residential,False,True,60.05,,"LINESTRING (44.6319893 40.274022, 44.6318754 40.2739697, 44.6314779 40.2739023, 44.6313116 40.2739187)",,
207635685,Հատիս փողոց,secondary,True,False,40.634,60,"LINESTRING (44.6335935 40.2720716, 44.6333291 40.2717669)",,
207635674,Ռուսաստանի փողոց,secondary,True,False,257.89599999999996,60,"LINESTRING (44.6335935 40.2720716, 44.6335125 40.2722944, 44.6332623 40.2727127, 44.633095 40.2729685, 44.6326049 40.273597, 44.6321976 40.2740444, 44.632148 40.2740989)",,
207640337,Սուրեն Մնացականյան,residential,False,True,15.95,,"LINESTRING (44.632148 40.2740989, 44.6319893 40.274022)",,
207635674,Ռուսաստանի փողոց,secondary,True,False,127.274,60,"LINESTRING (44.632148 40.2740989, 44.6315052 40.2746601, 44.6311405 40.2749465)",,
207640337,Սուրեն Մնացականյան,residential,False,False,51.533,,"LINESTRING (44.632148 40.2740989, 44.6322377 40.2741392, 44.6325803 40.2742932, 44.6326661 40.2743403)",,
207635712,,residential,False,False,14.182,,"LINESTRING (44.6380721 40.274831, 44.6379543 40.2749215)",,
207635684,Ավագյան փողոց,tertiary,False,False,15.86,60,"LINESTRING (44.631012 40.2748429, 44.6311405 40.2749465)",,
207635746,Ռուսաստանի փողոց,secondary,True,False,123.314,60,"LINESTRING (44.631012 40.2748429, 44.6319893 40.274022)",,
207635712,,residential,False,False,29.636,,"LINESTRING (44.6379543 40.2749215, 44.6377076 40.2751102)",,
207635712,,residential,False,True,14.182,,"LINESTRING (44.6379543 40.2749215, 44.6380721 40.274831)",,
207635685,Հատիս փողոց,secondary,True,False,488.522,60,"LINESTRING (44.6379543 40.2749215, 44.6378829 40.2748638, 44.6370884 40.2742221, 44.6363789 40.2737376, 44.6361022 40.2735489, 44.6358109 40.2733501, 44.6345179 40.2726252, 44.6338961 40.2722947, 44.6335935 40.2720716)",,
207635684,Ավագյան փողոց,tertiary,False,True,15.86,60,"LINESTRING (44.6311405 40.2749465, 44.631012 40.2748429)",,
207635674,Ռուսաստանի փողոց,secondary,True,False,193.603,60,"LINESTRING (44.6311405 40.2749465, 44.6310444 40.2750088, 44.6303205 40.2754822, 44.6302908 40.2755016, 44.6301411 40.2756173, 44.6299365 40.2758123, 44.6297794 40.2760573, 44.6296889 40.2762477)",,
207635684,Ավագյան փողոց,tertiary,False,False,188.07,60,"LINESTRING (44.6311405 40.2749465, 44.6312399 40.2750386, 44.632304 40.2760244, 44.6325286 40.2762645)",,
207635712,,residential,False,True,87.99,,"LINESTRING (44.6370474 40.2757205, 44.6377076 40.2751102)",,
207838378,,residential,False,False,8.519,,"LINESTRING (44.6370474 40.2757205, 44.6370708 40.275795)",,
207838378,,residential,False,True,46.537,,"LINESTRING (44.6370474 40.2757205, 44.6368773 40.2756144, 44.6366226 40.2754557)",,
207635676,,secondary,True,False,54.830999999999996,,"LINESTRING (44.6291609 40.2760173, 44.6293555 40.2760303, 44.6294929 40.276077, 44.6296071 40.2761515, 44.6296889 40.2762477)",roundabout,
207635746,Ռուսաստանի փողոց,secondary,True,False,204.315,60,"LINESTRING (44.6291609 40.2760173, 44.6294163 40.2758761, 44.6301878 40.2753687, 44.6309152 40.2749047, 44.631012 40.2748429)",,
207635676,,secondary,True,False,18.282,,"LINESTRING (44.6296889 40.2762477, 44.6297237 40.2763255, 44.6297368 40.2764071)",roundabout,
207635676,,secondary,True,False,67.887,,"LINESTRING (44.6297368 40.2764071, 44.6297224 40.2765083, 44.6296749 40.2766033, 44.6295975 40.2766862, 44.6294951 40.2767514, 44.6293745 40.2767948, 44.6292434 40.2768136)",roundabout,
207635683,Զորավաար Անդրանիկ փողոց,residential,True,False,137.54399999999998,60,"LINESTRING (44.6297368 40.2764071, 44.6299171 40.2766879, 44.6302493 40.2770134, 44.6303382 40.2770843, 44.6304963 40.2772104, 44.630729 40.2773706)",,2
207635676,,secondary,True,False,80.27,,"LINESTRING (44.6289923 40.2767769, 44.628861 40.2767103, 44.6287617 40.2766168, 44.6287033 40.276505, 44.6286912 40.2763851, 44.6287264 40.2762678, 44.6288059 40.2761639)",roundabout,
207635676,,secondary,True,False,21.854,,"LINESTRING (44.6292434 40.2768136, 44.6291149 40.2768071, 44.6289923 40.2767769)",roundabout,
207635684,Ավագյան փողոց,tertiary,False,True,25.144,60,"LINESTRING (44.6375209 40.2776226, 44.6372454 40.277706)",,
668565885,4-րդ միկրոշրջան,residential,False,False,157.207,,"LINESTRING (44.6375209 40.2776226, 44.6382934 40.2789077)",,
207635684,Ավագյան փողոց,tertiary,False,False,37.508,60,"LINESTRING (44.6357801 40.278149, 44.6361854 40.2780142)",,
207635684,Ավագյան փողոց,tertiary,False,True,136.21400000000003,60,"LINESTRING (44.6357801 40.278149, 44.6351962 40.2783282, 44.6343909 40.2785698, 44.6343504 40.2785743, 44.6342808 40.2785682)",,
