osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,ref,junction
34766597,False,2,residential,30,True,57.986,"LINESTRING (-52.4738848 5.0139111, -52.4736829 5.0138223, -52.4735345 5.0137765, -52.4733893 5.0137511)",,,
34766599,False,2,residential,30,False,87.538,"LINESTRING (-52.4738848 5.0139111, -52.47393 5.0138589, -52.4740675 5.0137003, -52.4740912 5.0136721, -52.4741508 5.0136041, -52.474282 5.0134388, -52.4743466 5.0133625, -52.4743686 5.0133374, -52.4743937 5.013309)",Rue Benjamin Constance,,
437499847,False,,residential,,False,70.956,"LINESTRING (-52.4738848 5.0139111, -52.4739901 5.0140393, -52.4742646 5.0144246)",,,
437499847,False,,residential,,True,70.956,"LINESTRING (-52.4742646 5.0144246, -52.4739901 5.0140393, -52.4738848 5.0139111)",,,
914722921,False,2,primary,50,False,234.895,"LINESTRING (-52.4742646 5.0144246, -52.4744327 5.0145198, -52.4745314 5.0145816, -52.4746391 5.0146595, -52.475802 5.0155897, -52.475946 5.0157072)",Route Nationale 1,N 1,
975459222,False,,primary,50,True,123.77000000000001,"LINESTRING (-52.4742646 5.0144246, -52.4740493 5.0143208, -52.4738426 5.0141928, -52.4736316 5.0140078, -52.4733893 5.0137511)",Route Nationale 1,N 1,
34766599,False,2,residential,30,True,87.538,"LINESTRING (-52.4743937 5.013309, -52.4743686 5.0133374, -52.4743466 5.0133625, -52.474282 5.0134388, -52.4741508 5.0136041, -52.4740912 5.0136721, -52.4740675 5.0137003, -52.47393 5.0138589, -52.4738848 5.0139111)",Rue Benjamin Constance,,
975279625,True,,residential,30,False,213.106,"LINESTRING (-52.4743937 5.013309, -52.4755218 5.0141259, -52.4759497 5.0144361)",Avenue Justin Catayée,,
975279626,False,2,residential,30,False,76.048,"LINESTRING (-52.4743937 5.013309, -52.4744123 5.0132877, -52.4744479 5.0132472, -52.4748443 5.012793)",Rue Benjamin Constance,,
975279626,False,2,residential,30,True,76.048,"LINESTRING (-52.4748443 5.012793, -52.4744479 5.0132472, -52.4744123 5.0132877, -52.4743937 5.013309)",Rue Benjamin Constance,,
975459221,True,,residential,,False,12.783,"LINESTRING (-52.4748443 5.012793, -52.4749072 5.0127515, -52.4749405 5.0127295)",Rue Raphaël Galant,,
34766604,True,1,residential,30,False,7.232,"LINESTRING (-52.4749405 5.0127295, -52.4748916 5.0126864)",Avenue Léopold Héder,,
34766600,True,,residential,,False,114.86,"LINESTRING (-52.4749405 5.0127295, -52.4754952 5.0121117, -52.475565 5.0120217, -52.4755731 5.0119317)",Rue Raphaël Galant,,
34766600,True,,residential,,False,216.236,"LINESTRING (-52.4755731 5.0119317, -52.4754339 5.009992)",Rue Raphaël Galant,,
58535948,False,,residential,,True,49.302,"LINESTRING (-52.4755731 5.0119317, -52.4759965 5.0120684)",Rue Carmen Nemouthe,,
58535955,False,,residential,,False,76.906,"LINESTRING (-52.4753042 5.0091394, -52.4747682 5.0086998)",Rue René Jadfard,,
437499840,True,,residential,,False,96.74700000000001,"LINESTRING (-52.4753042 5.0091394, -52.4752902 5.0091488, -52.4752745 5.0091755, -52.4752734 5.0092083, -52.4753362 5.0099953)",Rue Raphaël Galant,,
