osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access,junction,bridge
844585997,Rue de la Gare,tertiary,50,False,True,9.038,,"LINESTRING (2.833192 50.4281449, 2.8333067 50.4281805)",,,
"[1262121240, 1210330695]",Rue de la Gare,tertiary,50,False,False,60.015,3,"LINESTRING (2.833192 50.4281449, 2.8330518 50.4281043, 2.8330356 50.4280991, 2.8325871 50.4279748, 2.832564 50.4279685, 2.8325568 50.4279664, 2.8324172 50.4279266)",,,
1253174472,,busway,50,True,False,117.404,,"LINESTRING (2.833192 50.4281449, 2.8334889 50.4281897, 2.8347258 50.4285379)",no,,
64540299,Rue René Lanoy,secondary,50,False,True,29.361,2,"LINESTRING (2.8332018 50.4311303, 2.8332558 50.4308685)",,,
64540299,Rue René Lanoy,secondary,50,False,False,72.97399999999999,2,"LINESTRING (2.8332018 50.4311303, 2.8331864 50.4312053, 2.8330842 50.4317294, 2.833074 50.4317815)",,,
739726919,Rue René Lanoy,secondary,50,False,True,25.236,2,"LINESTRING (2.8330671 50.4320082, 2.833064 50.4319539, 2.8330665 50.4318378, 2.833074 50.4317815)",,,
739726920,Rue René Lanoy,secondary,50,True,False,46.321,3,"LINESTRING (2.8330671 50.4320082, 2.8331285 50.4320831, 2.8331865 50.432168, 2.833272 50.4322775, 2.833293 50.4323041, 2.8333078 50.4323233, 2.8333614 50.4323798)",,,
264472732,Rue Martin Luther King,residential,50,False,True,9.422,,"LINESTRING (2.8340268 50.4331723, 2.8339087 50.4332113)",,,
930793529,Rue René Lanoy,secondary,50,False,True,41.879,2,"LINESTRING (2.8340268 50.4331723, 2.833739 50.4328433)",,,
"[102440904, 1116851137]",,motorway_link,"['70', '50']",True,False,274.30899999999997,1,"LINESTRING (2.8337932 50.4260399, 2.833963 50.4260655, 2.8340792 50.4261227, 2.834229 50.4261908, 2.8343272 50.4262232, 2.8344143 50.4262415, 2.8345259 50.4262474, 2.8346451 50.4262392, 2.8347751 50.4262097, 2.8348546 50.4261738, 2.8349561 50.4261022, 2.8350118 50.4260368, 2.8350396 50.4259582, 2.8350416 50.4258787, 2.8350182 50.4258084, 2.834973 50.4257479, 2.8349265 50.425699, 2.834856 50.4256571, 2.8347514 50.4256165, 2.8332093 50.4252406)",,,
210868894,Rue Voltaire,tertiary,50,True,False,5.012,,"LINESTRING (2.8346863 50.4285753, 2.8347258 50.4285379)",,,
38231613,Avenue Alfred Van Pelt,tertiary,50,False,True,91.861,,"LINESTRING (2.8346863 50.4285753, 2.8348088 50.4286107, 2.8348436 50.4286207, 2.8356633 50.4288596, 2.8357 50.4288702, 2.8357407 50.4288815, 2.8358665 50.4289177)",,,
