osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,junction
83489612,True,2,D 900,primary,50,False,15.225999999999999,"LINESTRING (5.3930991 43.8766049, 5.3931646 43.8765734, 5.3932701 43.876548)",,,
316722191,True,,D 943,secondary,,False,24.261000000000003,"LINESTRING (5.3930991 43.8766049, 5.3930446 43.8765869, 5.3930157 43.8765726, 5.3929722 43.8765512, 5.3928305 43.8765059)",Avenue Philippe de Girard,,
"[687955236, 687955237]",True,,D 943,secondary,,False,16.807,"LINESTRING (5.3930991 43.8766049, 5.3931049 43.8766367, 5.3931056 43.8766502, 5.3931016 43.8766759, 5.393053 43.8767475)",Avenue Philippe de Girard,yes,
"[53835696, 441539768]",True,2,D 900,primary,50,False,41.179,"LINESTRING (5.3932701 43.876548, 5.3933394 43.876551, 5.3934285 43.8765655, 5.3934963 43.876578, 5.393583 43.8766029, 5.3936558 43.8766339, 5.3937376 43.8766815)",,,
"[687955240, 53835691]",False,2,D 900,primary,30,True,205.679,"LINESTRING (5.3965743 43.8772871, 5.3964921 43.877299, 5.3961884 43.8773265, 5.3959384 43.8773435, 5.3957165 43.8773424, 5.3955042 43.8773363, 5.3952343 43.8773087, 5.395086 43.8772882, 5.3948536 43.8772378, 5.3946118 43.8771622, 5.3944221 43.8770816, 5.3942799 43.8770178, 5.3942095 43.8769868, 5.3941348 43.8769498)",Quai de la Liberté,,
169241094,False,2,D 900,primary,30,False,74.743,"LINESTRING (5.3965743 43.8772871, 5.3966516 43.8772715, 5.3968087 43.8772392, 5.3972351 43.8771515, 5.3974698 43.8770997)",Quai Général Leclerc,,
292913679,True,,,living_street,,False,43.474000000000004,"LINESTRING (5.3965743 43.8772871, 5.3965724 43.8772341, 5.3965639 43.8768962)",Rue d'Estienne d'Orves,,
"[28103459, 384947028, 384947029]",False,,,residential,,True,33.37,"LINESTRING (5.3965743 43.8772871, 5.3965857 43.8773365, 5.3966609 43.8775448, 5.3966697 43.877579)",Pont de Coquière,yes,
369090257,True,1,D 900,primary,50,False,55.596,"LINESTRING (5.4002137 43.8756188, 5.4002549 43.8755423, 5.4003687 43.8753987, 5.4004508 43.8753258, 5.4004838 43.8752861, 5.4005103 43.8752163, 5.4005047 43.8751765)",,,
441539908,True,,,tertiary,,False,10.526,"LINESTRING (5.4002137 43.8756188, 5.400151 43.8756233, 5.4000827 43.8756241)",,,
369090622,False,3,D 900,primary,50,True,24.487,"LINESTRING (5.400151 43.8758422, 5.400038 43.8760468)",,,
"[369090257, 1205686813]",True,1,D 900,primary,50,False,17.792,"LINESTRING (5.400151 43.8758422, 5.4001833 43.8757163, 5.400193 43.8756851)",,,
4077699,True,,,primary,50,False,27.476000000000003,"LINESTRING (5.4005047 43.8751765, 5.4004584 43.87514, 5.4004326 43.8750942, 5.4004307 43.8750448, 5.4004527 43.874998, 5.4004959 43.8749597)",,,roundabout
"[490117704, 1135883419]",True,,,primary,50,False,24.944000000000003,"LINESTRING (5.4008051 43.8750204, 5.4008155 43.8750646, 5.4008059 43.875109, 5.4007927 43.8751272, 5.4007772 43.8751488, 5.4007325 43.87518, 5.4006764 43.8751994)",,,roundabout
"[1135883418, 27944317]",True,1,D 900,primary,50,False,31.311,"LINESTRING (5.4006764 43.8751994, 5.4006197 43.8752546, 5.4005352 43.8753304, 5.4004423 43.8754247)",,,
490161021,True,,,primary,50,False,14.462999999999997,"LINESTRING (5.4006764 43.8751994, 5.4006167 43.875205, 5.4005576 43.8751971, 5.4005047 43.8751765)",,,roundabout
1046920021,True,,,primary,50,False,16.105999999999998,"LINESTRING (5.4004959 43.8749597, 5.400538 43.8749399, 5.4005856 43.8749285, 5.4006358 43.8749264, 5.400685 43.8749337)",,,roundabout
5055980,True,1,D 900,primary,50,False,29.564999999999998,"LINESTRING (5.4011101 43.8747941, 5.4010309 43.8748439, 5.4009561 43.8748997, 5.4008466 43.8749799)",Avenue de la Libération,,
"[27944320, 178490186]",False,2,D 900,primary,50,False,169.59599999999998,"LINESTRING (5.4011101 43.8747941, 5.4011221 43.8747884, 5.4012131 43.874756, 5.4012936 43.8747358, 5.4013791 43.8747186, 5.4014583 43.8747135, 5.4015077 43.8747135, 5.401552 43.8747143, 5.4015936 43.8747173, 5.4016427 43.8747231, 5.4016949 43.8747317, 5.4017824 43.8747519, 5.4018523 43.874768, 5.4020162 43.8748056, 5.4020574 43.874818, 5.4022267 43.874869, 5.4022462 43.8748749, 5.4025017 43.8749528, 5.4025844 43.874983, 5.4029011 43.8751296, 5.403048 43.8751976)",Avenue de la Libération,,
"[27944320, 178490186]",False,2,D 900,primary,50,True,169.59599999999998,"LINESTRING (5.403048 43.8751976, 5.4029011 43.8751296, 5.4025844 43.874983, 5.4025017 43.8749528, 5.4022462 43.8748749, 5.4022267 43.874869, 5.4020574 43.874818, 5.4020162 43.8748056, 5.4018523 43.874768, 5.4017824 43.8747519, 5.4016949 43.8747317, 5.4016427 43.8747231, 5.4015936 43.8747173, 5.401552 43.8747143, 5.4015077 43.8747135, 5.4014583 43.8747135, 5.4013791 43.8747186, 5.4012936 43.8747358, 5.4012131 43.874756, 5.4011221 43.8747884, 5.4011101 43.8747941)",Avenue de la Libération,,
"[168645590, 292913679]",True,,,"['living_street', 'residential']",,False,59.282,"LINESTRING (5.3965639 43.8768962, 5.3965737 43.8767711, 5.3965836 43.8767503, 5.3965997 43.8767338, 5.3966796 43.8767295, 5.3967675 43.8767276, 5.3968017 43.8767177, 5.3968265 43.8766981, 5.3968486 43.8766343, 5.396885 43.8765114)",Rue d'Estienne d'Orves,,
"[168655232, 292913682]",True,,,living_street,,False,76.219,"LINESTRING (5.3965639 43.8768962, 5.3963218 43.8768975, 5.3962699 43.876891, 5.3962343 43.8768802, 5.3962123 43.8768619, 5.3962069 43.8768363, 5.396228 43.8766701, 5.396231 43.8766026, 5.3962181 43.8764423)","['Rue Eugène Brunel', 'Rue de la République']",,
115711032,False,,,residential,,False,99.911,"LINESTRING (5.3968158 43.8759637, 5.3966024 43.875979, 5.3962084 43.8760075, 5.3960387 43.8760328, 5.3959736 43.8760256, 5.3955813 43.8759821)",Rue des Marchands,,
115711032,False,,,residential,,True,77.47399999999999,"LINESTRING (5.3968158 43.8759637, 5.3976608 43.8759061, 5.3976711 43.8759072, 5.39767 43.8759744, 5.3976698 43.8759846)",Rue des Marchands,,
292913681,False,,,residential,,True,55.245,"LINESTRING (5.3968158 43.8759637, 5.3968725 43.8762021, 5.3968864 43.8764293, 5.3968848 43.8764568)",Rue de la Cathédrale,,
168655222,True,,,living_street,,False,43.197,"LINESTRING (5.3951335 43.8758614, 5.3951374 43.8757913, 5.395131 43.8757203, 5.3951041 43.8755495, 5.3950911 43.8754748)",Boulevard du Maréchal Foch,,
"[1134051131, 168655253]",False,,,residential,,True,141.528,"LINESTRING (5.3951335 43.8758614, 5.3950448 43.8758618, 5.3948258 43.8758663, 5.3947563 43.8758641, 5.3946207 43.8758351, 5.3943523 43.8758675, 5.3939746 43.8759483, 5.3934274 43.8760886)",Rue du Jardin de l'Evéché,,
28103457,False,,,residential,,True,99.974,"LINESTRING (5.3927459 43.8769061, 5.3927857 43.8769204, 5.3928454 43.8769345, 5.3929068 43.8769377, 5.3929675 43.8769398, 5.393062 43.8769494, 5.3931512 43.8769688, 5.3932316 43.8769909, 5.3936087 43.8771193, 5.3937245 43.8771674, 5.393891 43.8772368)",Quai Léon Sagy,,
83489613,True,1,D 900,primary,50,False,32.818,"LINESTRING (5.3927459 43.8769061, 5.3926349 43.8769388, 5.3925137 43.8769582, 5.3924166 43.8769729, 5.3923515 43.8769814)",,,
4077701,False,,,tertiary,,False,91.25,"LINESTRING (5.3985271 43.874742, 5.3977789 43.8741235)",,,
4077703,True,,,tertiary,,False,38.622,"LINESTRING (5.3985271 43.874742, 5.3986164 43.8747578, 5.3987464 43.8747919, 5.398993 43.8748277)",Cours Lauze de Perret,,
26629201,False,,,residential,,False,42.734,"LINESTRING (5.3994177 43.8756768, 5.3996451 43.8760244)",,,
26629201,False,,,residential,,True,42.734,"LINESTRING (5.3996451 43.8760244, 5.3994177 43.8756768)",,,
168655244,False,,,residential,,True,61.655,"LINESTRING (5.3996451 43.8760244, 5.3989168 43.8762028)",Rue des Martyrs de la Résistance,,
369090594,False,,,residential,,False,13.0,"LINESTRING (5.3996451 43.8760244, 5.399804 43.8760478)",Place Saint-Pierre,,
