osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction,access
80341909,True,Rue des Authieux,residential,50,False,150.263,"LINESTRING (1.1540217 49.0240059, 1.1535038 49.0238477, 1.1521535 49.0234355)",,,,
80763396,False,Rue du Puits Carré,residential,50,False,54.939,"LINESTRING (1.1540217 49.0240059, 1.1542426 49.0242329, 1.1543986 49.0243866, 1.1544381 49.0244173)",,,,
80763396,False,Rue du Puits Carré,residential,50,True,54.93900000000001,"LINESTRING (1.1544381 49.0244173, 1.1543986 49.0243866, 1.1542426 49.0242329, 1.1540217 49.0240059)",,,,
561640517,True,Rue Saint-Louis,residential,50,False,98.947,"LINESTRING (1.1544381 49.0244173, 1.1542112 49.0246595, 1.1538496 49.025134, 1.1537965 49.0252006)",,,,
319124770,False,Rue de la Justice,residential,30,True,96.01,"LINESTRING (1.155276 49.0235418, 1.1555303 49.0235734, 1.1565737 49.0236878)",,,,
327314909,False,Rue Lepouzé,secondary,50,False,209.13000000000002,"LINESTRING (1.155276 49.0235418, 1.1552764 49.0236308, 1.1552927 49.0237033, 1.155537 49.024467, 1.1555903 49.0247363, 1.1556225 49.0251088, 1.155659 49.0253612, 1.1556642 49.025401)",,,,
327314910,False,Rue Lepouzé,secondary,50,True,57.114,"LINESTRING (1.155276 49.0235418, 1.1552961 49.0234755, 1.1553592 49.0233692, 1.1555338 49.0230576)",,,,
561640517,True,Rue Saint-Louis,residential,50,False,117.06899999999999,"LINESTRING (1.155276 49.0235418, 1.1551428 49.0235887, 1.1550259 49.0236953, 1.1546469 49.0242348, 1.1545752 49.0243059, 1.1544381 49.0244173)",,,,
93450707,False,Rue Buzot,residential,,True,164.84799999999998,"LINESTRING (1.1554395 49.0272903, 1.1555436 49.0272409, 1.1556476 49.0271914, 1.1571782 49.0264505, 1.1572582 49.0264096)",2,,,
307461291,False,Rue Buzot,residential,,False,189.57600000000002,"LINESTRING (1.1554395 49.0272903, 1.1553998 49.0273109, 1.1552688 49.0273788, 1.1534708 49.0283044, 1.1533948 49.0283435)",2,,,
327314909,False,Rue Lepouzé,secondary,50,True,159.755,"LINESTRING (1.1554395 49.0272903, 1.1554786 49.0270866, 1.1556031 49.0266183, 1.1556399 49.0264763, 1.1556959 49.0262357, 1.1556894 49.0258671)",,,,
"[307461289, 903361429]",False,Rue Lepouzé,secondary,50,False,120.918,"LINESTRING (1.1554395 49.0272903, 1.1554254 49.0275012, 1.1554084 49.0277556, 1.1553549 49.0283763)",,,,
80512198,False,Rue du Moulin l'Abbesse,residential,50,True,98.87799999999999,"LINESTRING (1.1553522 49.028647, 1.1553048 49.0286554, 1.155237 49.0286675, 1.1547557 49.0288445, 1.1541632 49.0290699)",,,,
307461289,False,Rue Lepouzé,secondary,50,False,153.821,"LINESTRING (1.1553522 49.028647, 1.1553845 49.0288088, 1.1555174 49.0292138, 1.155658 49.0296817, 1.1558063 49.029996)",,,,
307461289,False,Rue Lepouzé,secondary,50,True,30.116,"LINESTRING (1.1553522 49.028647, 1.155347 49.0285353, 1.15535 49.0284606, 1.1553522 49.0284071, 1.1553549 49.0283763)",,,,
"[1025700185, 1025700186, 17729999]",False,Rue 28 Régiment d'Infanterie,residential,50,False,142.02400000000003,"LINESTRING (1.150676 49.0304794, 1.1507649 49.0304488, 1.1509042 49.0304009, 1.1509745 49.0303895, 1.1511733 49.0303412, 1.151546 49.0302426, 1.1516652 49.0302049, 1.1520417 49.030083, 1.1523813 49.0299863, 1.1524577 49.0299677)",,yes,,
274512310,False,Rue Isambard,primary,30,True,95.83,"LINESTRING (1.150676 49.0304794, 1.1504781 49.0302897, 1.1503106 49.0301292, 1.1498933 49.0297878)",,,,
1025700185,False,Rue 28 Régiment d'Infanterie,residential,50,False,16.406,"LINESTRING (1.1524577 49.0299677, 1.1526711 49.0299209)",,,,
80925467,False,Place Dupont de l'Eure,residential,50,False,76.039,"LINESTRING (1.1524577 49.0299677, 1.1523739 49.0298969, 1.1522682 49.0297861, 1.1522387 49.0297559, 1.1521998 49.0297134, 1.1521423 49.029648, 1.1520894 49.0295171, 1.152085 49.0294635, 1.1520997 49.0293504)",,,,
"[1025700185, 1025700186, 17729999]",False,Rue 28 Régiment d'Infanterie,residential,50,True,142.024,"LINESTRING (1.1524577 49.0299677, 1.1523813 49.0299863, 1.1520417 49.030083, 1.1516652 49.0302049, 1.151546 49.0302426, 1.1511733 49.0303412, 1.1509745 49.0303895, 1.1509042 49.0304009, 1.1507649 49.0304488, 1.150676 49.0304794)",,yes,,
318874550,False,Rue de la Harpe,unclassified,30,False,45.345,"LINESTRING (1.1499589 49.0231328, 1.1494643 49.02338)",2,,,
903361430,True,Boulevard de Chambaudoin,residential,50,False,48.516000000000005,"LINESTRING (1.1499589 49.0231328, 1.1500767 49.0231612, 1.1503382 49.0232144, 1.1504019 49.0232381, 1.1505697 49.0233004)",,,,
79931282,False,Rue Georges Bernard,residential,50,False,126.438,"LINESTRING (1.1520441 49.0276476, 1.1520763 49.0276595, 1.1521002 49.0276684, 1.1522716 49.0277318, 1.152453 49.027808, 1.1525452 49.0278434, 1.1527867 49.0279362, 1.1530739 49.028107, 1.1533343 49.0282931, 1.1533948 49.0283435)",,,,
