osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,bridge,access
85254329,secondary,50,roundabout,True,False,8.64,"LINESTRING (3.2438788 45.5458045, 3.2439047 45.5457903, 3.2439397 45.5457837, 3.2439806 45.5457898)",,,,,
51137177,residential,,,True,False,67.90200000000002,"LINESTRING (3.2497981 45.5409537, 3.2496948 45.5409114, 3.2494696 45.540893, 3.2491345 45.5408436, 3.2490222 45.5408341, 3.2489528 45.5408282)",Rue du Moulin Charrier,,,,
85063120,residential,,,False,True,15.959,"LINESTRING (3.2497981 45.5409537, 3.2498375 45.5409941, 3.2498798 45.5410401, 3.2498903 45.5410793)",Rue de l'Ancienne Caserne,,,,
880121102,tertiary,,,False,True,4.017,"LINESTRING (3.2497031 45.5460932, 3.2497544 45.5460894)",Boulevard Jules Cibrand,3,D 716A,,
191432655,tertiary,,,False,True,54.015,"LINESTRING (3.2497031 45.5460932, 3.2492775 45.5461215, 3.2491256 45.5461317, 3.2490121 45.5461301)",Boulevard Jules Cibrand,3,D 716A,,
191445476,tertiary,,,True,False,61.79600000000001,"LINESTRING (3.2497031 45.5460932, 3.2496386 45.5461233, 3.2493807 45.5461549, 3.2492921 45.546193, 3.2492489 45.5462281, 3.249221 45.5462711, 3.2492014 45.5463269, 3.2491899 45.5464208)",Boulevard Jules Cibrand,1,D 716A,,
1242009260,secondary,30,,False,False,3.765,"LINESTRING (3.2498903 45.5410793, 3.2499221 45.5410538)",Rue de Brioude,,D 32,,
26715281,secondary,30,,False,True,11.452,"LINESTRING (3.2498903 45.5410793, 3.249863 45.5411044, 3.2497995 45.5411603)",Rue de Brioude,,D 32,,
85063120,residential,,,False,False,15.959,"LINESTRING (3.2498903 45.5410793, 3.2498798 45.5410401, 3.2498375 45.5409941, 3.2497981 45.5409537)",Rue de l'Ancienne Caserne,,,,
26714969,secondary,,,False,False,3.888,"LINESTRING (3.2494604 45.541549, 3.2494151 45.5415343)",Boulevard Georges Hainl,,D 996,,
