osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,lanes,ref,maxspeed,access
"[160942354, 161075115, 161075116]",Rue du Pont de Caernarfon,secondary,False,True,95.38000000000001,yes,"LINESTRING (-4.2524213 48.449333, -4.2524098 48.4492997, -4.2523851 48.4492281, -4.2523304 48.4491148, -4.2523045 48.4490541, -4.252295 48.4490318, -4.2521084 48.448617, -4.2521044 48.4486059, -4.2520976 48.4485911, -4.2520603 48.4485096)",,,,,
618972753,,primary,True,False,13.668,,"LINESTRING (-4.2524213 48.449333, -4.2524039 48.4493399, -4.252387 48.4493477, -4.2523722 48.4493572, -4.2523599 48.4493682, -4.2523554 48.4493738, -4.2523502 48.4493803, -4.2523436 48.4493933, -4.2523401 48.4494068, -4.2523399 48.4494205, -4.2523429 48.449434)",roundabout,,,,
161071094,Rue Alain Daniel,tertiary,False,True,159.90099999999998,,"LINESTRING (-4.2547588 48.4510316, -4.2547535 48.4509911, -4.2547494 48.4509588, -4.2547412 48.4508951, -4.2546896 48.4504241, -4.2546615 48.4501694, -4.2546417 48.4499972, -4.2546302 48.4499244, -4.254607 48.4497656, -4.2545924 48.449668, -4.2545827 48.4495984)",,1,,,
161084639,Boulevard de la Gare,tertiary,False,False,49.823,,"LINESTRING (-4.2547588 48.4510316, -4.2548101 48.4511218, -4.2549372 48.4513006, -4.2549611 48.4513583, -4.2549727 48.4513863, -4.2550145 48.4514452)",,2,,,
161084702,Rue de Brest,secondary,False,False,96.345,,"LINESTRING (-4.2547588 48.4510316, -4.2548617 48.4510275, -4.2550274 48.4510237, -4.2550862 48.4510222, -4.2555459 48.4510108, -4.2560645 48.4510112)",,,,,
199401555,Rue de Brest,secondary,False,True,78.72800000000001,,"LINESTRING (-4.2547588 48.4510316, -4.2546333 48.4510154, -4.2545669 48.4510069, -4.2545319 48.4510024, -4.2539889 48.4509251, -4.2539511 48.4509185, -4.2538814 48.4509063, -4.2538221 48.4508916, -4.2537724 48.4508737, -4.2537349 48.4508518)",,,,,
161071152,Rue de Verdun,residential,False,False,74.464,,"LINESTRING (-4.2607014 48.4506161, -4.2606964 48.4505928, -4.2606796 48.4505128, -4.2605624 48.4499528)",,,,,
1111152221,Rue Hervé de Guébriant,secondary,False,True,68.922,,"LINESTRING (-4.2607014 48.4506161, -4.259878 48.450697, -4.2597766 48.4507051)",,,,,
161071137,Rue de Dixmude,residential,False,False,75.592,,"LINESTRING (-4.2597766 48.4507051, -4.2597705 48.450679, -4.2596384 48.4500315)",,,,,
"[161084691, 161084702, 964049263]","['Rue de Brest', 'Rue Hervé de Guébriant']",secondary,False,True,231.61100000000002,,"LINESTRING (-4.2597766 48.4507051, -4.2588981 48.4507862, -4.2588375 48.4507917, -4.2586345 48.4508113, -4.2583763 48.4508363, -4.2582671 48.4508469, -4.2579398 48.4508787, -4.2574558 48.4509184, -4.2573271 48.4509279, -4.2570031 48.4509535, -4.2567481 48.4509733, -4.2566638 48.4509799)",,,,,
1111152221,Rue Hervé de Guébriant,secondary,False,False,68.922,,"LINESTRING (-4.2597766 48.4507051, -4.259878 48.450697, -4.2607014 48.4506161)",,,,,
161071162,Rue de la Paix,residential,False,False,167.90800000000002,,"LINESTRING (-4.2560645 48.4510112, -4.2560578 48.4509813, -4.2558845 48.4502029, -4.2558514 48.450054, -4.2557456 48.4495786, -4.2557422 48.4495536, -4.2557696 48.4495216)",,,,,
161084702,Rue de Brest,secondary,False,False,44.361000000000004,,"LINESTRING (-4.2560645 48.4510112, -4.2563851 48.4510012, -4.2566638 48.4509799)",,,,,
161084702,Rue de Brest,secondary,False,True,96.345,,"LINESTRING (-4.2560645 48.4510112, -4.2555459 48.4510108, -4.2550862 48.4510222, -4.2550274 48.4510237, -4.2548617 48.4510275, -4.2547588 48.4510316)",,,,,
