osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
34356810,False,,Rue Denis Diderot,residential,30,True,144.41100000000003,"LINESTRING (2.4696945 49.2736793, 2.4692356 49.2734233, 2.4692041 49.2734154, 2.4691704 49.2734099, 2.4691263 49.2734189, 2.468915 49.2735055, 2.4688813 49.2734825, 2.4688366 49.2734548, 2.4688004 49.2734355, 2.4687613 49.2734191, 2.4687087 49.2733987, 2.4686502 49.2733743, 2.468619 49.2733577, 2.4685851 49.2733363, 2.4683073 49.2731082, 2.4682537 49.2730652, 2.4682103 49.2730299)",,
34356807,True,,Rue du Général de Gaulle,living_street,20,False,17.845,"LINESTRING (2.4679683 49.2744864, 2.4679971 49.2745126, 2.4680467 49.2745564, 2.4680735 49.2745826, 2.468107 49.2746188)",,
34079080,False,,Rue du Général de Gaulle,residential,,False,43.468,"LINESTRING (2.4689977 49.2759425, 2.4689654 49.2759161, 2.4689358 49.2758857, 2.4689037 49.275847, 2.4688768 49.2758085, 2.4688527 49.2757708, 2.4688017 49.2756877, 2.4687397 49.2755914)",,
566826951,False,D 123,Rue de Verdun,secondary,,False,79.0,"LINESTRING (2.4705194 49.2693975, 2.4699011 49.2688127)",,
566826951,False,D 123,Rue de Verdun,secondary,,True,29.843,"LINESTRING (2.4705194 49.2693975, 2.4707563 49.2696169)",,
34550900,False,,Rue Alphonse de Lamartine,residential,,False,42.001,"LINESTRING (2.4705194 49.2693975, 2.4704495 49.2694295, 2.4700404 49.2696096)",,
34550900,False,,Rue Alphonse de Lamartine,residential,,True,42.001,"LINESTRING (2.4700404 49.2696096, 2.4704495 49.2694295, 2.4705194 49.2693975)",,
36832479,True,,Rue Alphonse de Lamartine,residential,,False,62.513,"LINESTRING (2.4700404 49.2696096, 2.4700527 49.2696222, 2.4700616 49.2696361, 2.4700668 49.2696507, 2.4700682 49.2696657, 2.4700658 49.2696806, 2.4700595 49.2696951, 2.4700497 49.2697087, 2.4700365 49.269721, 2.4700203 49.2697317, 2.4700017 49.2697404, 2.4699853 49.2697459, 2.469968 49.2697499, 2.4699501 49.2697523, 2.4699318 49.2697532, 2.4699135 49.2697525, 2.4698955 49.2697502, 2.4698781 49.2697463, 2.4698617 49.269741, 2.4698465 49.2697342, 2.4698328 49.2697263, 2.4698185 49.269715, 2.4698072 49.2697024, 2.4697992 49.2696888, 2.4697947 49.2696744, 2.4697939 49.2696598, 2.4697966 49.2696453, 2.469803 49.2696313, 2.4698128 49.2696182, 2.4698257 49.2696062, 2.4698414 49.2695958, 2.4698595 49.2695872, 2.4698795 49.2695806, 2.4699009 49.2695763, 2.469923 49.2695743, 2.4699454 49.2695746, 2.4699674 49.2695773, 2.4699885 49.2695823, 2.470008 49.2695895, 2.4700254 49.2695987, 2.4700404 49.2696096)",roundabout,
35560054,False,,Rue Paul Claudel,residential,,False,23.974,"LINESTRING (2.4634395 49.2679929, 2.4635151 49.2680172, 2.4635835 49.2680391, 2.4636358 49.2680575, 2.4637314 49.2680937)",,
35560904,False,,Allée Charles Baudelaire,residential,,True,77.60100000000001,"LINESTRING (2.4658323 49.2697907, 2.4659265 49.2697859, 2.4664767 49.2697581, 2.466554 49.269756, 2.4666575 49.269753, 2.4667311 49.2697542, 2.4667995 49.2697569, 2.4668558 49.2697621, 2.4668983 49.2697673)",,
1090210714,False,,Rue Marceau,residential,50,True,74.816,"LINESTRING (2.4658323 49.2697907, 2.4658017 49.269826, 2.4657628 49.2698698, 2.4657096 49.2699187, 2.4654861 49.2701178, 2.4652368 49.2703394)",,
35560056,False,,Rue Clément Marot,residential,,False,94.001,"LINESTRING (2.4661502 49.2692635, 2.4661008 49.2692485, 2.4660659 49.2692353, 2.4660324 49.2692213, 2.465891 49.2691549, 2.4655558 49.2689987, 2.4651656 49.2688169, 2.465088 49.2687807)",,
35564487,True,,Rue Marceau,residential,50,False,62.995999999999995,"LINESTRING (2.4661502 49.2692635, 2.4661129 49.269326, 2.4658745 49.2697207, 2.4658323 49.2697907)",,
35560056,False,,Rue Clément Marot,residential,,True,94.001,"LINESTRING (2.465088 49.2687807, 2.4651656 49.2688169, 2.4655558 49.2689987, 2.465891 49.2691549, 2.4660324 49.2692213, 2.4660659 49.2692353, 2.4661008 49.2692485, 2.4661502 49.2692635)",,
35560061,False,,Rue François Villon,residential,,False,19.744,"LINESTRING (2.465088 49.2687807, 2.4650484 49.2686611, 2.465052 49.2686385, 2.4650662 49.2686192, 2.4650756 49.26861)",,
35564932,False,,Rue Marcel Proust,residential,,True,74.288,"LINESTRING (2.466215 49.2676232, 2.4662023 49.2676605, 2.4661944 49.2677045, 2.4661866 49.2677372, 2.4661759 49.2677678, 2.4661572 49.2677958, 2.4661303 49.2678256, 2.4657409 49.2682042)",,
35560061,False,,Rue François Villon,residential,,True,66.639,"LINESTRING (2.4657409 49.2682042, 2.4656501 49.2682894, 2.4656247 49.2683112, 2.4655942 49.268334, 2.4655536 49.2683629, 2.4655066 49.2683882, 2.4653337 49.2684736, 2.4651432 49.2685677, 2.4651057 49.2685869, 2.4650849 49.2686011, 2.4650756 49.26861)",,
35564932,False,,Rue Marcel Proust,residential,,False,74.288,"LINESTRING (2.4657409 49.2682042, 2.4661303 49.2678256, 2.4661572 49.2677958, 2.4661759 49.2677678, 2.4661866 49.2677372, 2.4661944 49.2677045, 2.4662023 49.2676605, 2.466215 49.2676232)",,
35560904,False,,Allée Charles Baudelaire,residential,,False,109.384,"LINESTRING (2.4701935 49.2707228, 2.470109 49.2707134, 2.4699558 49.2706966, 2.4693505 49.2706356, 2.4692874 49.2706274, 2.469254 49.2706202, 2.4692342 49.270616, 2.4691482 49.2705898, 2.4687742 49.27044)",,
1067924457,False,D 916,Rue Gambetta,secondary,50,False,64.79599999999999,"LINESTRING (2.4701935 49.2707228, 2.4703681 49.270512, 2.4704298 49.2704403, 2.4705024 49.2703619, 2.4705841 49.2702732, 2.470639 49.270218)",,
1067924457,False,D 916,Rue Gambetta,secondary,50,True,183.44199999999998,"LINESTRING (2.4701935 49.2707228, 2.4701174 49.2708109, 2.4700643 49.2708746, 2.4700013 49.270953, 2.4697611 49.2712491, 2.4693924 49.2716963, 2.4691035 49.2720442, 2.4690633 49.2720924, 2.4690297 49.2721309, 2.4689882 49.2721728)",,
35560904,False,,Allée Charles Baudelaire,residential,,False,77.601,"LINESTRING (2.4668983 49.2697673, 2.4668558 49.2697621, 2.4667995 49.2697569, 2.4667311 49.2697542, 2.4666575 49.269753, 2.466554 49.269756, 2.4664767 49.2697581, 2.4659265 49.2697859, 2.4658323 49.2697907)",,
35560904,False,,Allée Charles Baudelaire,residential,,True,156.138,"LINESTRING (2.4668983 49.2697673, 2.4669498 49.2697744, 2.4670328 49.2697919, 2.4671227 49.2698111, 2.4672005 49.2698295, 2.4672876 49.2698531, 2.4674836 49.2699107, 2.4675585 49.2699345, 2.4676511 49.2699669, 2.4677241 49.2699927, 2.4678241 49.2700325, 2.4687018 49.2704097, 2.4687327 49.2704226, 2.4687742 49.27044)",,
35560907,False,,Allée Paul Verlaine,residential,,False,97.764,"LINESTRING (2.4668983 49.2697673, 2.4669338 49.2697061, 2.4672768 49.2691468, 2.467301 49.2691084, 2.4673279 49.2690752, 2.467373 49.2690278, 2.467436 49.2689633)",,
35560906,False,,Rue Ronsard,residential,,False,61.95600000000001,"LINESTRING (2.4655219 49.2708415, 2.4655817 49.2708848, 2.4656134 49.2709072, 2.4656354 49.2709286, 2.4656584 49.2709542, 2.4656744 49.2709776, 2.4656863 49.2710047, 2.4656971 49.2710345, 2.4657064 49.2710692, 2.4657091 49.2711106, 2.4657091 49.2711517, 2.4657038 49.2711872, 2.4656957 49.27122, 2.465681 49.2712567, 2.465663 49.2712886, 2.4656385 49.2713177, 2.4656043 49.2713469)",,
35564486,True,,Rue Rabelais,residential,,False,56.608000000000004,"LINESTRING (2.4655219 49.2708415, 2.465445 49.2708043, 2.4653953 49.2707772, 2.4652345 49.2706757, 2.4650754 49.2705718, 2.4650443 49.2705446, 2.4650287 49.2705188, 2.4650131 49.27047)",,
1000060030,False,,Rue Ambroise Paré,residential,,False,14.128,"LINESTRING (2.4648109 49.2720739, 2.4646952 49.2721761)",,
35564483,True,,Avenue Saint-Exupéry,tertiary,,False,18.301,"LINESTRING (2.4648109 49.2720739, 2.4648677 49.2721252, 2.4649067 49.2721599, 2.4649623 49.2722055)",,
"[54570707, 54570708, 884063991]",False,,Rue Ronsard,residential,,True,48.672000000000004,"LINESTRING (2.4648109 49.2720739, 2.4648727 49.2720173, 2.4650334 49.2718702, 2.4650417 49.2718622, 2.4651404 49.2717661, 2.4651503 49.2717565, 2.4651944 49.2717148)",,building_passage
