osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,junction,bridge,maxspeed
27375828,False,Rue du Priolat,secondary,False,55.369,"LINESTRING (1.0426396 44.8666615, 1.0431749 44.866984)",,,,,
324471857,False,Rue Eugène Le Roy,residential,True,255.335,"LINESTRING (1.0426396 44.8666615, 1.0426341 44.8666995, 1.0426528 44.8667955, 1.0426836 44.8669533, 1.042693 44.867074, 1.0426394 44.8672374, 1.0425627 44.8673861, 1.0424851 44.8675788, 1.0424687 44.8676542, 1.0425053 44.8678601, 1.0426782 44.8685396, 1.0427999 44.8689099)",,,,,
786245165,False,Rue du Priolat,secondary,True,105.385,"LINESTRING (1.0426396 44.8666615, 1.0423848 44.8664885, 1.0418981 44.8660857, 1.0417528 44.8659538)",,,,,
26066253,False,Rue Gambetta,secondary,False,164.70999999999998,"LINESTRING (1.0453629 44.8690576, 1.0458055 44.8690424, 1.0461712 44.8690296, 1.0465119 44.8690123, 1.0467035 44.8690037, 1.0467233 44.8690028, 1.0470769 44.8689868, 1.0474456 44.8690271)",D 703e1,,,,
27375828,False,Rue du Priolat,secondary,True,73.73400000000001,"LINESTRING (1.0453629 44.8690576, 1.0453574 44.8690125, 1.0452944 44.8689621, 1.0452039 44.8689231, 1.0450399 44.8688873, 1.044876 44.8688363, 1.0447977 44.8687851, 1.0447365 44.8687321, 1.0446819 44.8686587)",,,,,
129994289,True,Rue Gambetta,secondary,False,134.017,"LINESTRING (1.0453629 44.8690576, 1.0453086 44.86906, 1.0446053 44.8690981, 1.0440204 44.8691285, 1.0439319 44.8691331, 1.043667 44.869147)",D 703e1,,,,
26066253,False,Rue Gambetta,secondary,True,164.70999999999998,"LINESTRING (1.0474456 44.8690271, 1.0470769 44.8689868, 1.0467233 44.8690028, 1.0467035 44.8690037, 1.0465119 44.8690123, 1.0461712 44.8690296, 1.0458055 44.8690424, 1.0453629 44.8690576)",D 703e1,,,,
72613539,False,Route de Beynac,secondary,False,102.656,"LINESTRING (1.0474456 44.8690271, 1.0476033 44.8689009, 1.0479944 44.8687867, 1.0481123 44.868755, 1.0485877 44.8686134)",D 703e1,,,,
254616109,False,,tertiary,False,35.057,"LINESTRING (1.0474456 44.8690271, 1.0476935 44.869146, 1.0478157 44.869202)",D 703e,,,,
207066252,False,Route du Château de la Roque,tertiary,True,12.091,"LINESTRING (1.0478157 44.869202, 1.0479429 44.8692628)",D 25,2,,,
