osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction,access,tunnel
49047597,True,D 986,Avenue Pasteur,primary,50,False,21.333,"LINESTRING (3.7112298 43.9320025, 3.7112077 43.9320737, 3.7112021 43.9321319, 3.711217 43.9321915)",,,,,
"[202012928, 1123581410, 1123581412, 49047596]",False,D 986,"['Pont de Laroque', 'Avenue Pasteur', ""Avenue de l'Europe""]",primary,50,True,112.86300000000001,"LINESTRING (3.7112298 43.9320025, 3.7112747 43.9319384, 3.7113325 43.9318598, 3.7113409 43.9318477, 3.7118662 43.9311899, 3.7118742 43.9311798, 3.7118997 43.9311479, 3.7119111 43.9311336, 3.7119229 43.9311189)",2,yes,,,
34054114,False,D 4,Rue Armand Sabatier,tertiary,,False,69.887,"LINESTRING (3.703784 43.933434, 3.7038396 43.9334784, 3.7038792 43.9335228, 3.7042262 43.9339742)",2,,,,
34053707,True,,Cours de la République,residential,,False,115.235,"LINESTRING (3.7042262 43.9339742, 3.7042791 43.9339641, 3.7056227 43.933724)",,,,,
34054114,False,D 4,Rue Armand Sabatier,tertiary,,False,22.723999999999997,"LINESTRING (3.7042262 43.9339742, 3.704296 43.9340668, 3.7043616 43.9341538)",2,,,,
34054114,False,D 4,Rue Armand Sabatier,tertiary,,True,69.887,"LINESTRING (3.7042262 43.9339742, 3.7038792 43.9335228, 3.7038396 43.9334784, 3.703784 43.933434)",2,,,,
34051669,False,,Rue Louis Stehlé,residential,,False,55.548,"LINESTRING (3.7048146 43.9346663, 3.7050004 43.9351476)",,,,,
34054114,False,D 4,Rue Armand Sabatier,tertiary,,True,68.088,"LINESTRING (3.7048146 43.9346663, 3.704771 43.9346489, 3.7047341 43.9346122, 3.7043616 43.9341538)",2,,,,
34054118,True,D 4,Rue Biron,tertiary,,False,88.153,"LINESTRING (3.7048146 43.9346663, 3.7048696 43.9346687, 3.7049206 43.9346658, 3.705888 43.9344994)",2,,,,
84273437,False,D 4,Rue Biron,tertiary,,True,12.523,"LINESTRING (3.7079743 43.9341685, 3.7078186 43.9341791)",2,,,,
684015942,False,,Avenue Pasteur,tertiary,,False,10.748,"LINESTRING (3.7079743 43.9341685, 3.7080976 43.9341303)",,,,,
34054425,True,,Avenue des Anciens Combattants,tertiary,,False,17.267,"LINESTRING (3.708158 43.9351193, 3.7083735 43.9351249)",1,,,,
34054120,True,D 4,Avenue du Jeu de Ballon,tertiary,,False,90.52199999999999,"LINESTRING (3.708158 43.9351193, 3.7081178 43.9350193, 3.707936 43.9343215)",2,,,,
"[1002021836, 34052532]",True,D 4,"['Rue Louis Pierre Saunier', 'Place de la Marianne']",tertiary,,False,63.047000000000004,"LINESTRING (3.7082999 43.9366379, 3.7082869 43.9365811, 3.7082327 43.9364712, 3.7081363 43.9363576, 3.7080837 43.936265, 3.7080666 43.9361589, 3.7080654 43.9361061)",2,,,,
"[34052729, 1002021837]",True,D 4,"['Avenue de Sumène', 'Rue de Figou']",tertiary,,False,179.52899999999997,"LINESTRING (3.707111 43.9379774, 3.7071381 43.9378605, 3.707207 43.9377321, 3.7072186 43.9377106, 3.7072892 43.9376172, 3.707396 43.9375027, 3.7075117 43.937381, 3.7075608 43.9373073, 3.7076081 43.9372312, 3.7076529 43.9371892, 3.7079602 43.9368816, 3.708143 43.9367442, 3.7082492 43.9366848, 3.7082999 43.9366379)",2,,,,
34052733,False,D 4,Avenue de Sumène,tertiary,,False,14.674,"LINESTRING (3.707114 43.9380533, 3.7071676 43.9381795)",2,,,,
1002021837,True,D 4,Avenue de Sumène,tertiary,,False,8.443,"LINESTRING (3.707114 43.9380533, 3.707111 43.9379774)",2,,,,
43781627,False,,Rue Élie Gounelle,residential,,True,15.043000000000001,"LINESTRING (3.707114 43.9380533, 3.7070843 43.9380441, 3.7069604 43.9379764)",,,,,
24910697,True,D 999,Avenue du Mont Aigoual,primary,50,False,96.246,"LINESTRING (3.704641 43.9311976, 3.7051416 43.9307122, 3.7052065 43.930604, 3.7051973 43.9304611)",,,,,
30698491,False,D 999,Avenue de Nîmes,primary,30,True,55.614000000000004,"LINESTRING (3.7132569 43.9377968, 3.7133601 43.9378731, 3.7134694 43.9379711, 3.7135861 43.9380899, 3.7136719 43.9381956)",2,,,,
300965886,False,D 999,Avenue de Nîmes,primary,30,False,122.68,"LINESTRING (3.7132569 43.9377968, 3.713049 43.9376674, 3.7129819 43.9376259, 3.7128441 43.9375454, 3.7126529 43.9374338, 3.712479 43.9373323, 3.7122537 43.9371903, 3.7120974 43.9370767)",2,,,,
"[1123593060, 34054127]",False,D 999,La Rocade,primary,"['50', '30']",True,531.46,"LINESTRING (3.7116274 43.9326329, 3.7118741 43.9327188, 3.7120823 43.9328077, 3.7121175 43.9328282, 3.7122607 43.9329115, 3.7123915 43.9330025, 3.712503 43.9330893, 3.712619 43.9332006, 3.7127052 43.9332927, 3.7128242 43.9334672, 3.712949 43.9337103, 3.7132479 43.9344329, 3.7132925 43.9345839, 3.7133029 43.934691, 3.7133059 43.9348194, 3.7132836 43.9349533, 3.7132419 43.9350721, 3.71316 43.9352319, 3.7130635 43.9353526, 3.7129595 43.9354468, 3.7128019 43.9355614, 3.7126175 43.9356735, 3.7120096 43.9359365, 3.7119117 43.9359783, 3.7115195 43.936158, 3.7114526 43.9361944, 3.7113928 43.9362429, 3.7113498 43.9363062)",2,,,,
1123581414,True,D 999,La Rocade,primary,50,False,43.956,"LINESTRING (3.7116274 43.9326329, 3.7113883 43.9325614, 3.7112223 43.9325271, 3.7111057 43.9325365)",,,,,
1094974414,True,,,primary,50,False,10.199,"LINESTRING (3.7057025 43.9302599, 3.705744 43.9302947, 3.7057746 43.9303349)",,,roundabout,,
"[1204462552, 24910737, 1204462566]",False,D 999,Avenue du Mont Aigoual,primary,50,True,413.3449999999999,"LINESTRING (3.7061378 43.9304073, 3.7064966 43.930346, 3.7068767 43.9303388, 3.7073394 43.9303933, 3.7077383 43.93052, 3.7080156 43.9306508, 3.7085145 43.930969, 3.7089824 43.9312675, 3.7095286 43.9316158, 3.7096633 43.9316842, 3.7097928 43.9317491, 3.7099115 43.931809, 3.7100564 43.931884, 3.7101032 43.9319077, 3.7101423 43.931929, 3.7104613 43.9321065)",,,,,
60696596,True,D 999,Avenue du Mont Aigoual,primary,50,False,34.358000000000004,"LINESTRING (3.7061378 43.9304073, 3.7059367 43.9304538, 3.7058178 43.9305063, 3.705751 43.9305358)",,,,,
24910666,True,,,primary,50,False,12.363,"LINESTRING (3.7042018 43.9316381, 3.7042052 43.9316104, 3.7042196 43.9315846, 3.7042436 43.9315629, 3.7042754 43.9315471)",,,roundabout,,
1204462553,True,,,primary,50,False,4.41,"LINESTRING (3.7042754 43.9315471, 3.7043012 43.9315403, 3.7043285 43.9315374)",,,roundabout,,
1204462564,False,D 4,,secondary,50,False,23.338,"LINESTRING (3.7042754 43.9315471, 3.704252 43.9315188, 3.7042285 43.931499, 3.7041669 43.9314613, 3.7040568 43.9314133)",,,,,
1094974411,True,,,primary,50,False,10.186,"LINESTRING (3.7044538 43.9315923, 3.7044653 43.9316217, 3.7044633 43.9316522, 3.7044481 43.9316807)",,,roundabout,,
34051656,False,,Rue Ferdinand Paloc,residential,,False,82.946,"LINESTRING (3.7044481 43.9316807, 3.7044807 43.9316936, 3.7045166 43.9317078, 3.7046051 43.9317698, 3.7047677 43.9318838, 3.7049788 43.9320512, 3.7051071 43.9322411)",,,,,
1094974411,True,,,primary,50,False,13.178,"LINESTRING (3.7044481 43.9316807, 3.7044281 43.9316995, 3.7044022 43.9317142, 3.7043722 43.9317238, 3.7043397 43.9317278, 3.7043069 43.9317259)",,,roundabout,,
24910704,True,D 999,Avenue du Mont Aigoual,primary,50,False,16.164,"LINESTRING (3.7043069 43.9317259, 3.7042547 43.93174, 3.7041327 43.9317979)",,,,,
1094974412,True,,,primary,50,False,13.795,"LINESTRING (3.7043069 43.9317259, 3.7042667 43.9317147, 3.7042337 43.9316948, 3.7042112 43.9316684, 3.7042018 43.9316381)",,,roundabout,,
23996041,False,D 999,Avenue du Mont Aigoual,primary,50,False,122.17399999999999,"LINESTRING (3.7041327 43.9317979, 3.7039657 43.9320095, 3.7035101 43.93261, 3.7033962 43.9327601)",,,,,
54180076,True,D 999,Avenue du Mont Aigoual,primary,50,False,18.625999999999998,"LINESTRING (3.7041327 43.9317979, 3.7041756 43.9316878, 3.7042018 43.9316381)",,,,,
