osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,width,junction,bridge,access
66861960,Rue de la Banque,residential,False,True,61.286,,,"LINESTRING (3.4953548 44.5178967, 3.4955563 44.5184288)",,,,,
322636078,Avenue du Maréchal Foch,primary,False,False,8.929,N 88,50,"LINESTRING (3.4953548 44.5178967, 3.4954613 44.5178706)",,,,,
322636078,Avenue du Maréchal Foch,primary,False,True,83.49,N 88,50,"LINESTRING (3.4953548 44.5178967, 3.4948838 44.5179922, 3.4944911 44.5180523, 3.494333 44.5180765)",,,,,
25380869,Boulevard Henri Bourrillon,primary,True,False,43.829,N 88,50,"LINESTRING (3.4974643 44.5166788, 3.497611 44.5165137, 3.4977845 44.5163582)",2,,,,
25380869,Boulevard Henri Bourrillon,primary,True,False,73.271,N 88,50,"LINESTRING (3.4977845 44.5163582, 3.4980477 44.5162172, 3.49821 44.5161841, 3.4985419 44.5161847, 3.4986361 44.5161849)",2,,,,
66861969,Rue des Carces,residential,True,False,194.525,,50,"LINESTRING (3.4977845 44.5163582, 3.4977327 44.5163199, 3.4976738 44.5162783, 3.4971803 44.5159679, 3.4971155 44.5159837, 3.4966603 44.5163653, 3.4960806 44.5167712, 3.4960323 44.5167889)",,,,,
25380875,Chemin de Saint-Ilpide,residential,False,False,168.42699999999996,,,"LINESTRING (3.4986361 44.5161849, 3.4986385 44.516168, 3.4986489 44.516095, 3.4986595 44.516036, 3.4987026 44.5158751, 3.4987049 44.5158192, 3.4986627 44.5157762, 3.4985694 44.5157295, 3.4984639 44.5157004, 3.4983662 44.5156877, 3.4981901 44.5156903, 3.4980341 44.515688, 3.4975686 44.5155724, 3.4973562 44.5154632, 3.4972597 44.5154136)",,,,,
429657076,Boulevard Henri Bourrillon,primary,True,False,50.697,N 88,50,"LINESTRING (3.4986361 44.5161849, 3.498978 44.5161964, 3.4991571 44.5162119, 3.4992685 44.5162367)",2,,,,
25380876,Boulevard du Soubeyran,primary,True,False,175.42699999999996,N 88,50,"LINESTRING (3.4992685 44.5162367, 3.4994477 44.5162843, 3.4996085 44.516354, 3.4997728 44.5164339, 3.5000443 44.5165885, 3.5002764 44.5167596, 3.5004846 44.5169426, 3.5005427 44.5170027, 3.5005778 44.5170416, 3.5008608 44.5172959)",2,,,,
429657082,Rue du Soubeyran,living_street,True,False,47.043,,,"LINESTRING (3.4992685 44.5162367, 3.4991712 44.5164522, 3.4991597 44.5166487)",,,,,
"[1259474988, 25380884]",Rue des Écoles,tertiary,False,True,46.667,,,"LINESTRING (3.4992685 44.5162367, 3.4992831 44.5162068, 3.4993066 44.5161563, 3.4993165 44.5161382, 3.4994626 44.5158405)",,,,,
25380870,Place Charles de Gaulle,primary,True,False,35.645,N 88,50,"LINESTRING (3.5012896 44.5177339, 3.5014952 44.5178047, 3.5016006 44.5178219, 3.5017124 44.5178342)",1,,,,
25380877,Place Charles de Gaulle,primary,True,False,26.943,N 88,50,"LINESTRING (3.5012896 44.5177339, 3.5013773 44.5178418, 3.5014102 44.517903, 3.5014273 44.5179536)",,,,,
66835547,Place Charles de Gaulle,primary,True,False,25.721,D 806,50,"LINESTRING (3.5012896 44.5177339, 3.5014963 44.5178924, 3.5015105 44.5179033)",,,,,
43157813,Place Charles de Gaulle,primary,True,False,17.756,N 88,50,"LINESTRING (3.5017124 44.5178342, 3.5015105 44.5179033)",,,,,
