osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,ref,lanes,junction,tunnel
127998851,True,Rue Victor Hugo,tertiary,30,False,90.029,"LINESTRING (4.8281756 46.3048949, 4.8278428 46.3045273, 4.827563 46.3042047)",,,,,
"[167452161, 685748811, 685748812, 1233248621]",True,Rue Lacretelle,unclassified,30,False,148.958,"LINESTRING (4.8281756 46.3048949, 4.8281201 46.304918, 4.827932 46.3050034, 4.8270499 46.3054035, 4.8269961 46.3054271, 4.8266655 46.3055721, 4.8266331 46.305586, 4.8265487 46.3056238)",yes,,,,
127998851,True,Rue Victor Hugo,tertiary,30,False,94.30000000000001,"LINESTRING (4.827563 46.3042047, 4.8274488 46.3040786, 4.8270302 46.3036167, 4.8269664 46.3035891, 4.82688 46.3035497, 4.8268426 46.3035329)",,,,,
159929238,True,Rue Charles Rolland,residential,30,False,148.516,"LINESTRING (4.827563 46.3042047, 4.8275996 46.3041892, 4.8277794 46.3041128, 4.8291585 46.3035271, 4.82921 46.3035052)",,,,,
169308577,True,Rue Gabriel Jeanton,residential,30,False,35.825,"LINESTRING (4.829585 46.3038956, 4.8298006 46.3041376, 4.8298294 46.30417)",,,,,
168660760,False,Place Poissonnière,residential,50,True,1.551,"LINESTRING (4.8338477 46.3046741, 4.8338318 46.3046827)",,,,,
281073873,True,Place Poissonnière,living_street,,False,73.482,"LINESTRING (4.8338477 46.3046741, 4.8343482 46.3043758, 4.8344729 46.3043083, 4.8345782 46.3042476)",,,,,
167289947,False,Rue de Strasbourg,residential,30,False,43.675000000000004,"LINESTRING (4.8354152 46.30697, 4.8353764 46.3069156, 4.8351713 46.3066152)",,,,,
167289947,False,Rue de Strasbourg,residential,30,True,38.069,"LINESTRING (4.8354152 46.30697, 4.8354525 46.3070224, 4.8354782 46.3070643, 4.8356393 46.3072752)",,,,,
284445145,False,Place de la Préfecture,residential,30,False,38.465,"LINESTRING (4.8354152 46.30697, 4.8354594 46.3069543, 4.8356593 46.3068836, 4.8358609 46.3068123)",,,,,
167289501,True,Rue Chatillon,living_street,,False,39.128,"LINESTRING (4.8359207 46.3067911, 4.8359566 46.3068459, 4.8359656 46.3068636, 4.8361196 46.307115)",,,,,
767834757,False,Place de la Baille,living_street,,True,19.194,"LINESTRING (4.832955 46.3067028, 4.8332048 46.3066985)",,,,,
167369106,False,Rue des Ursulines,living_street,,False,60.980999999999995,"LINESTRING (4.832955 46.3067028, 4.8329204 46.3067316, 4.8328493 46.3067842, 4.832819 46.3068424, 4.8328297 46.3072195)",,,,,
767834756,False,Place de la Baille,living_street,,False,46.004,"LINESTRING (4.832955 46.3067028, 4.8329526 46.3066312, 4.8329533 46.3062891)",,,,,
996119355,False,Rue Gambetta,tertiary,30,False,3.538,"LINESTRING (4.8302969 46.3023698, 4.8303368 46.3023539)",,D 54EN,,,
"[168660762, 428293435, 996119354]",True,"['Place Carnot', 'Rue Carnot']",living_street,,False,49.315,"LINESTRING (4.8302969 46.3023698, 4.8303967 46.3024238, 4.8306426 46.3025678, 4.8306032 46.3025935, 4.8304963 46.3026545)",,,,,
"[365887545, 996119355]",False,Rue Gambetta,tertiary,30,True,22.099,"LINESTRING (4.8302969 46.3023698, 4.83021 46.3023943, 4.8300956 46.3024222, 4.8300271 46.3024386)",,D 54EN,,,
767834223,False,,residential,,False,7.243,"LINESTRING (4.8351658 46.3047215, 4.8350845 46.3047545)",,,,,
217797834,True,Quai Lamartine,primary,,False,82.214,"LINESTRING (4.8351658 46.3047215, 4.835763 46.3052751, 4.8357984 46.3053175)",,D 906,,,
157742427,False,Quai Jean Jaurès,primary,50,True,35.087,"LINESTRING (4.8366479 46.3065786, 4.8365265 46.3062744)",,D 906,,,
39157644,True,Rue de l'Épée,living_street,,False,60.650999999999996,"LINESTRING (4.8366479 46.3065786, 4.836507 46.3066203, 4.8359454 46.3067842, 4.8359207 46.3067911)",,,,,
157742427,False,Quai Jean Jaurès,primary,50,False,116.54,"LINESTRING (4.8366479 46.3065786, 4.8366961 46.3067477, 4.8369861 46.3076002)",,D 906,,,
230929720,False,Rue Gambetta,tertiary,50,False,11.19,"LINESTRING (4.8314866 46.302003, 4.8316238 46.3019692)",,,,,
52472362,True,Avenue Édouard Herriot,primary,,False,140.441,"LINESTRING (4.8314866 46.302003, 4.8313694 46.3019123, 4.8311458 46.3017391, 4.8303623 46.3011924, 4.8302197 46.3010929)",,D 906,,,
"[996119356, 52472366]",False,Rue Gambetta,tertiary,30,True,96.66600000000001,"LINESTRING (4.8314866 46.302003, 4.8312752 46.3020529, 4.8311962 46.3020756, 4.8311296 46.302093, 4.8306779 46.3022419, 4.8306425 46.3022538, 4.830467 46.3023126, 4.8304135 46.3023305, 4.8303792 46.302341, 4.8303368 46.3023539)",,D 54EN,,,
144475762,False,Pont Saint-Laurent,secondary,50,True,10.344,"LINESTRING (4.8357984 46.3053175, 4.8359192 46.3052764)",,D 1079,,,
167289497,True,Pont Saint-Laurent,secondary,50,False,10.172,"LINESTRING (4.8357984 46.3053175, 4.8357443 46.3053293, 4.8356721 46.305345)",,D 1079,,,
