osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,ref,bridge,lanes,access
22958957,secondary,roundabout,True,False,9.974,"LINESTRING (4.3189355 45.3959126, 4.3189129 45.3959284, 4.318885 45.3959394, 4.318854 45.3959448, 4.3188221 45.3959441)",,,,,,
22958957,secondary,roundabout,True,False,9.703,"LINESTRING (4.3188221 45.3959441, 4.3187924 45.3959377, 4.3187661 45.3959261, 4.3187451 45.3959101, 4.3187307 45.3958907)",,,,,,
"[166269945, 734817602, 485750597]",unclassified,,False,True,267.837,"LINESTRING (4.3188221 45.3959441, 4.318795 45.3960068, 4.3187938 45.3960607, 4.3188043 45.3960925, 4.3188269 45.3961231, 4.3189693 45.396237, 4.3191644 45.3963999, 4.3193278 45.3965319, 4.3194572 45.3966366, 4.3195774 45.3967187, 4.3197255 45.3967829, 4.319872 45.3968237, 4.320021 45.3968621, 4.3201852 45.3969173, 4.3203567 45.3969831, 4.3206115 45.3970946, 4.3207579 45.397131, 4.3209257 45.3971736, 4.3209464 45.3971786, 4.3210755 45.3972099, 4.3211527 45.3972286, 4.3213304 45.3972696, 4.3214275 45.3972926)",Rue Édouard Michot,"['50', '30']",,,,
22958957,secondary,roundabout,True,False,9.743,"LINESTRING (4.3187307 45.3958907, 4.318724 45.3958693, 4.3187256 45.3958474, 4.3187352 45.3958266, 4.3187524 45.3958083)",,,,,,
22958957,secondary,roundabout,True,False,15.459,"LINESTRING (4.3187524 45.3958083, 4.3187829 45.3957906, 4.3188201 45.395781, 4.3188597 45.3957806, 4.3188973 45.3957895, 4.3189285 45.3958065)",,,,,,
22958957,secondary,roundabout,True,False,12.754999999999999,"LINESTRING (4.3189285 45.3958065, 4.3189505 45.3958307, 4.3189594 45.3958587, 4.3189542 45.3958871, 4.3189355 45.3959126)",,,,,,
22958958,secondary,,True,False,157.337,"LINESTRING (4.3189285 45.3958065, 4.3193469 45.3958254, 4.3199102 45.3958614, 4.3209361 45.395927)",Rue de la République,,M 88,,,
86694741,residential,,True,False,77.697,"LINESTRING (4.3223942 45.3960274, 4.3224089 45.3959637, 4.3224302 45.3959275, 4.3227611 45.3956486, 4.3228324 45.3955871, 4.3229698 45.3954687)",Rue Fleury Demeure,,,,,
498245470,secondary,,True,False,81.80199999999999,"LINESTRING (4.3223942 45.3960274, 4.3227085 45.3960451, 4.3230806 45.3960674, 4.3233721 45.3960897, 4.3234374 45.3960945)",Rue de la République,,M 88,,,
86694720,residential,,True,False,111.31,"LINESTRING (4.3234374 45.3960945, 4.323412 45.3961594, 4.3233735 45.3962644, 4.3233662 45.3962831, 4.3233089 45.3964244, 4.3232581 45.396553, 4.3232643 45.3965854, 4.3232793 45.3966041, 4.3233128 45.3966186, 4.3238825 45.3967323, 4.3239206 45.3967401)",Rue des Halles,,,,,
498245470,secondary,,True,False,55.972,"LINESTRING (4.3234374 45.3960945, 4.3235043 45.3960987, 4.3240677 45.3961315, 4.3241518 45.396136)",Rue de la République,,M 88,,,
86694678,secondary,,True,False,12.359,"LINESTRING (4.3289402 45.3968586, 4.3290953 45.3968808)",Rue Gambetta,,M 88,,,
1008205018,residential,,True,False,18.806,"LINESTRING (4.3289402 45.3968586, 4.329029 45.3969094, 4.3290401 45.3969409, 4.3290145 45.3969942)",Rue Jules Michelet,,,,,
